Epoch,train_loss,train_acc,intra_pre_acc,intra_pre_loss,intra_acc_best,intra_acc_worst,intra_acc_mean,intra_acc_final,intra_loss_best,intra_loss_worst,intra_loss_mean,intra_loss_final
0,1.7674417440707868,35.34847361141735,36.389965899005,1.8070215426740193,37.856775820993136,36.5441210818891,37.143924884383615,36.5441210818891,1.7243161421446573,1.8235288943563188,1.7827279442832584,1.8235288943563188
1,1.3409477077997647,50.850888973521215,41.047320969776244,1.7994292325207166,42.31326201709721,42.103050404073436,42.21236044284579,42.31326201709721,1.7408765288335937,1.756943513240133,1.7478717593210085,1.7451162061520986
2,1.180572352042565,56.67381587123413,45.44775073574065,1.6465513862314678,44.71901714392489,44.415378147334984,44.58821880693231,44.639603867893676,1.654650329833939,1.6705191965614046,1.6633977197465444,1.6665809473821096
3,1.089596619361486,61.0274810078374,46.760405474844674,1.7906196640715712,46.554865230999205,45.947587237819405,46.094268230018216,45.947587237819405,1.7651276620371001,1.7815337830356188,1.770539688815673,1.7815337830356188
4,0.9307751560822511,67.0508528934234,48.00766104545242,1.768504086172297,48.48414070163965,47.75540710982389,48.086140047647966,47.82547764749848,1.7132239749743825,1.7490779147261666,1.7316578836668104,1.7421638319889705
5,0.8355025340349246,70.60474252841308,49.936936516092864,1.64866154640913,49.32498715373476,48.591582192740695,48.87653571261737,48.60559630027561,1.6514654329844884,1.6864750587514468,1.671390529012396,1.6864750587514468
6,0.7685431607258626,73.11832267634148,53.220909048442095,1.6410161104230654,52.80515719157285,51.59994394356986,51.88022609426823,51.64198626617461,1.5865142898900169,1.654466262530713,1.637920364524637,1.6435741986192407
7,0.7080010775572214,75.1969372005853,53.72074555052086,1.5847945209769976,52.20255056757136,51.081421964777874,51.438314570000465,51.081421964777874,1.59833910209792,1.6455677506469546,1.6191326438671065,1.6157794083867754
8,0.6591821123392154,77.16931588125638,52.67435885458028,1.6439154277599992,51.50184519082543,50.55822861680759,50.82729948147802,50.55822861680759,1.652072525095372,1.6870597184059166,1.6771376245433376,1.6810946265856426
9,0.8219382436611713,71.8174347050452,36.707619003129814,1.8438713153203328,39.664595692997615,13.43485775680852,27.463913673097586,39.664595692997615,1.8123117273762113,2.6027597650176,2.075648657197044,1.8123117273762113
10,1.7232087193391261,38.65581591132314,32.8257112159574,1.947649673337028,35.79203064418181,35.240809081141684,35.524828327182696,35.51174849348344,1.9284217953681946,1.9619997122458048,1.9384357221069792,1.9293606387717384
11,1.6897097890193646,40.54400769708754,31.783995889195122,1.9326320872420357,31.405614985752322,20.997804456486197,24.105199233895455,20.997804456486197,1.9466266135374706,1.974241703748703,1.9559064635208674,1.948617208571661
12,1.4832613523189837,46.68965102527611,37.88947540524128,1.8593199341779663,40.08969028822348,39.23950109777176,39.664595692997615,40.08969028822348,1.7991611755320005,1.8293617648028193,1.8099598519858862,1.7991611755320005
13,1.3670687629626348,52.02349215257872,41.4724155650021,1.781804396283059,37.40365301069743,29.75662166581025,34.676507684402296,33.62451534544775,1.8111209503951526,1.9351596917424883,1.8419855787640524,1.825385801848911
14,1.13114927258247,60.037282767744394,45.46643621245387,1.7608823357593446,43.62591675620124,37.10468538328584,40.63156911290699,41.818096884196756,1.7525754943490028,1.8410195779232752,1.7847673976705187,1.7525754943490028
