Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,1.970752429394495,52.07175223057878,"tensor(0.0722, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
2,2.500736591361818,46.358667725510344,"tensor(0.0765, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
3,2.500736591361818,46.358667725510344,"tensor(0.1192, device='cuda:0', dtype=torch.float16)","tensor(2.1887, device='cuda:0')"
4,1.9610601213006746,51.34301863876302,"tensor(0.1155, device='cuda:0', dtype=torch.float16)","tensor(2.1887, device='cuda:0')"
5,1.7296177911616506,53.39842107721773,"tensor(0.0946, device='cuda:0', dtype=torch.float16)","tensor(0.7321, device='cuda:0')"
6,1.7431781011677923,52.88457046760406,"tensor(0.0698, device='cuda:0', dtype=torch.float16)","tensor(1.2431, device='cuda:0')"
7,1.827255745374021,52.07175223057878,"tensor(0.0775, device='cuda:0', dtype=torch.float16)","tensor(1.4373, device='cuda:0')"
8,1.9524701008839267,51.04405101135143,"tensor(0.0789, device='cuda:0', dtype=torch.float16)","tensor(1.0533, device='cuda:0')"
9,2.0648186256488166,50.1097771756902,"tensor(0.0925, device='cuda:0', dtype=torch.float16)","tensor(0.8141, device='cuda:0')"
10,2.115162530470462,50.002335684589156,"tensor(0.0905, device='cuda:0', dtype=torch.float16)","tensor(0.8657, device='cuda:0')"
11,2.1035645912800516,50.072406222263744,"tensor(0.0831, device='cuda:0', dtype=torch.float16)","tensor(0.9920, device='cuda:0')"
12,2.042935633588405,50.58625683187742,"tensor(0.0991, device='cuda:0', dtype=torch.float16)","tensor(1.0251, device='cuda:0')"
13,1.9597185058962732,51.156163871630774,"tensor(0.0882, device='cuda:0', dtype=torch.float16)","tensor(0.9336, device='cuda:0')"
14,1.878087299742869,51.898911570981454,"tensor(0.0621, device='cuda:0', dtype=torch.float16)","tensor(0.8112, device='cuda:0')"
15,1.8161549067923002,52.641659270332134,"tensor(0.0766, device='cuda:0', dtype=torch.float16)","tensor(0.7557, device='cuda:0')"
16,1.793676313367628,52.702387069650115,"tensor(0.0776, device='cuda:0', dtype=torch.float16)","tensor(0.7853, device='cuda:0')"
17,1.8063991491993268,52.51553230251787,"tensor(0.0720, device='cuda:0', dtype=torch.float16)","tensor(0.8243, device='cuda:0')"
