Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,1.970752429394495,52.07175223057878,"tensor(0.1003, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
2,1.970752429394495,52.07175223057878,"tensor(0.0848, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
3,1.9901129562585127,51.99701032372588,"tensor(0.0910, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
4,1.9720720457179206,52.109123184005234,"tensor(0.0864, device='cuda:0', dtype=torch.float16)","tensor(0.6777, device='cuda:0')"
5,1.946252476246584,52.436119026486665,"tensor(0.0876, device='cuda:0', dtype=torch.float16)","tensor(0.6728, device='cuda:0')"
6,1.92626494754638,52.478161349091415,"tensor(0.0906, device='cuda:0', dtype=torch.float16)","tensor(0.6693, device='cuda:0')"
7,1.9214277361475287,52.53421777923109,"tensor(0.0787, device='cuda:0', dtype=torch.float16)","tensor(0.6762, device='cuda:0')"
8,1.9231224320828915,52.3894053347036,"tensor(0.0789, device='cuda:0', dtype=torch.float16)","tensor(0.6711, device='cuda:0')"
9,1.9293763603837717,52.29597795113748,"tensor(0.0782, device='cuda:0', dtype=torch.float16)","tensor(0.6612, device='cuda:0')"
10,1.9292294980869407,52.29597795113748,"tensor(0.0672, device='cuda:0', dtype=torch.float16)","tensor(0.6580, device='cuda:0')"
11,1.9287822287352312,52.17452235250152,"tensor(0.0779, device='cuda:0', dtype=torch.float16)","tensor(0.6568, device='cuda:0')"
12,1.9233698075016339,52.18386509085813,"tensor(0.0662, device='cuda:0', dtype=torch.float16)","tensor(0.6542, device='cuda:0')"
13,1.9124944034431661,52.26794973606764,"tensor(0.0845, device='cuda:0', dtype=torch.float16)","tensor(0.6464, device='cuda:0')"
14,1.9040676889320214,52.30532068949409,"tensor(0.0806, device='cuda:0', dtype=torch.float16)","tensor(0.6460, device='cuda:0')"
15,1.9009327512411844,52.32400616620732,"tensor(0.0730, device='cuda:0', dtype=torch.float16)","tensor(0.6439, device='cuda:0')"
16,1.8994247874333745,52.17452235250152,"tensor(0.0792, device='cuda:0', dtype=torch.float16)","tensor(0.6402, device='cuda:0')"
