Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,2.5243010160823665,46.38669594058018,"tensor(0.5498, device='cuda:0')","tensor(0.6435, device='cuda:0')"
2,1.9798570129842985,51.43177465315084,"tensor(0.6523, device='cuda:0')","tensor(2.2019, device='cuda:0')"
3,1.7347459713263171,53.6740318587378,"tensor(0.6660, device='cuda:0')","tensor(0.7278, device='cuda:0')"
4,1.7376597780911696,53.174195356659034,"tensor(0.6441, device='cuda:0')","tensor(1.1728, device='cuda:0')"
5,1.8065106909544695,52.60895968608399,"tensor(0.7044, device='cuda:0')","tensor(1.4411, device='cuda:0')"
6,1.9234453437938577,51.6279721586397,"tensor(0.6848, device='cuda:0')","tensor(1.0981, device='cuda:0')"
7,2.035010720292727,50.83851076750596,"tensor(0.5071, device='cuda:0')","tensor(0.8188, device='cuda:0')"
8,2.0982218761706637,50.399402064745175,"tensor(0.5965, device='cuda:0')","tensor(0.8390, device='cuda:0')"
9,2.098041366430975,50.57691409352081,"tensor(0.6113, device='cuda:0')","tensor(0.9647, device='cuda:0')"
10,2.050623867838156,50.7964684449012,"tensor(0.5738, device='cuda:0')","tensor(1.0122, device='cuda:0')"
11,1.9756091998091765,51.53921614425188,"tensor(0.4856, device='cuda:0')","tensor(0.9447, device='cuda:0')"
12,1.8942940966004418,52.20255056757136,"tensor(0.5814, device='cuda:0')","tensor(0.8245, device='cuda:0')"
13,1.8327637192394053,52.893913205960665,"tensor(0.4884, device='cuda:0')","tensor(0.7537, device='cuda:0')"
14,1.8025245494430973,53.029382912131545,"tensor(0.7009, device='cuda:0')","tensor(0.7696, device='cuda:0')"
15,1.8064756792570864,52.85654225253422,"tensor(0.6813, device='cuda:0')","tensor(0.8189, device='cuda:0')"
16,1.8488718079669135,52.361377119633765,"tensor(0.5067, device='cuda:0')","tensor(0.8248, device='cuda:0')"
17,1.9153599212212222,51.58125846685664,"tensor(0.7587, device='cuda:0')","tensor(0.7660, device='cuda:0')"
18,2.0010822197156295,50.44144438734993,"tensor(0.6031, device='cuda:0')","tensor(0.6877, device='cuda:0')"
19,2.0785447014939216,49.479142336618864,"tensor(0.4998, device='cuda:0')","tensor(0.6614, device='cuda:0')"
20,2.118301654145831,49.26425935441678,"tensor(0.4593, device='cuda:0')","tensor(0.6863, device='cuda:0')"
21,2.11249129137113,49.25024524688186,"tensor(0.4868, device='cuda:0')","tensor(0.7154, device='cuda:0')"
22,2.060586588900714,49.80146680992199,"tensor(0.7865, device='cuda:0')","tensor(0.7090, device='cuda:0')"
23,1.9883380555326031,50.42275891063671,"tensor(0.6361, device='cuda:0')","tensor(0.6662, device='cuda:0')"
24,1.9176758052337737,51.45046012986406,"tensor(0.6167, device='cuda:0')","tensor(0.6320, device='cuda:0')"
25,1.865386070594901,52.11846592236184,"tensor(0.6219, device='cuda:0')","tensor(0.6338, device='cuda:0')"
26,1.8407852596470289,52.38006259634699,"tensor(0.5819, device='cuda:0')","tensor(0.6553, device='cuda:0')"
27,1.8447576344368004,52.239921520997804,"tensor(0.6138, device='cuda:0')","tensor(0.6626, device='cuda:0')"
28,1.8680141497225988,51.9316111552296,"tensor(0.5196, device='cuda:0')","tensor(0.6412, device='cuda:0')"
29,1.9015615601979552,51.37104685383286,"tensor(0.5757, device='cuda:0')","tensor(0.6132, device='cuda:0')"
30,1.9336169642351924,50.93193815107208,"tensor(0.5881, device='cuda:0')","tensor(0.6045, device='cuda:0')"
31,1.9468820307935988,50.83851076750596,"tensor(0.6586, device='cuda:0')","tensor(0.6128, device='cuda:0')"
32,1.9418843267928987,50.861867613397486,"tensor(0.5876, device='cuda:0')","tensor(0.6199, device='cuda:0')"
33,1.9185435598095257,51.43177465315084,"tensor(0.5473, device='cuda:0')","tensor(0.6120, device='cuda:0')"
34,1.8898757328944547,51.70271406549259,"tensor(0.5639, device='cuda:0')","tensor(0.5961, device='cuda:0')"
35,1.8651742752464044,51.99701032372588,"tensor(0.5522, device='cuda:0')","tensor(0.5902, device='cuda:0')"
36,1.8467341448579515,52.38473396552529,"tensor(0.7161, device='cuda:0')","tensor(0.5943, device='cuda:0')"
37,1.8397413822157043,52.40341944223852,"tensor(0.5532, device='cuda:0')","tensor(0.6004, device='cuda:0')"
38,1.8479103185236454,52.33802027374223,"tensor(0.4273, device='cuda:0')","tensor(0.6006, device='cuda:0')"
39,1.865968322115285,52.03905264633064,"tensor(0.4938, device='cuda:0')","tensor(0.5897, device='cuda:0')"
40,1.8837342771391075,51.898911570981454,"tensor(0.5095, device='cuda:0')","tensor(0.5790, device='cuda:0')"
41,1.8963447443786121,51.543887513430185,"tensor(0.6681, device='cuda:0')","tensor(0.5799, device='cuda:0')"
42,1.9004780208425862,51.52520203671696,"tensor(0.4672, device='cuda:0')","tensor(0.5766, device='cuda:0')"
43,1.891521589209636,51.60928668192647,"tensor(0.7036, device='cuda:0')","tensor(0.5741, device='cuda:0')"
44,1.8830307856911705,51.604615312748166,"tensor(0.5849, device='cuda:0')","tensor(0.5691, device='cuda:0')"
45,1.8827102035284042,51.796141449058716,"tensor(0.5934, device='cuda:0')","tensor(0.5651, device='cuda:0')"
46,1.888565957723629,51.68402858877937,"tensor(0.5638, device='cuda:0')","tensor(0.5675, device='cuda:0')"
47,1.90373331201928,51.529873405895266,"tensor(0.4440, device='cuda:0')","tensor(0.5678, device='cuda:0')"
48,1.9235185546179612,51.51585929836035,"tensor(0.5532, device='cuda:0')","tensor(0.5650, device='cuda:0')"
49,1.9379375207991827,51.29630494697996,"tensor(0.4757, device='cuda:0')","tensor(0.5598, device='cuda:0')"
50,1.9425317304474967,51.24491988601859,"tensor(0.5866, device='cuda:0')","tensor(0.5597, device='cuda:0')"
51,1.9362198635935783,51.29630494697996,"tensor(0.4836, device='cuda:0')","tensor(0.5597, device='cuda:0')"
52,1.9188073080565249,51.441117391507454,"tensor(0.4341, device='cuda:0')","tensor(0.5565, device='cuda:0')"
53,1.9005158025593984,51.53454477507358,"tensor(0.5409, device='cuda:0')","tensor(0.5489, device='cuda:0')"
54,1.8860214395182473,51.679357219601066,"tensor(0.6558, device='cuda:0')","tensor(0.5495, device='cuda:0')"
55,1.8785231908162434,51.754099126453966,"tensor(0.4957, device='cuda:0')","tensor(0.5488, device='cuda:0')"
56,1.8813256199161212,51.63731489699631,"tensor(0.5646, device='cuda:0')","tensor(0.5505, device='cuda:0')"
57,1.8875507974908465,51.54855888260849,"tensor(0.6336, device='cuda:0')","tensor(0.5482, device='cuda:0')"
58,1.90047233267909,51.50651656000374,"tensor(0.5261, device='cuda:0')","tensor(0.5441, device='cuda:0')"
59,1.9091207785975366,51.31499042369318,"tensor(0.4400, device='cuda:0')","tensor(0.5430, device='cuda:0')"
60,1.909124016584385,51.23557714766198,"tensor(0.6369, device='cuda:0')","tensor(0.5422, device='cuda:0')"
61,1.9043392221487703,51.39440369972439,"tensor(0.4351, device='cuda:0')","tensor(0.5423, device='cuda:0')"
62,1.8944586675081934,51.52520203671696,"tensor(0.5074, device='cuda:0')","tensor(0.5395, device='cuda:0')"
63,1.8839522128303845,51.56724435932172,"tensor(0.6100, device='cuda:0')","tensor(0.5389, device='cuda:0')"
64,1.882412829392013,51.66534311206615,"tensor(0.7037, device='cuda:0')","tensor(0.5394, device='cuda:0')"
65,1.881863593168202,51.632643527818004,"tensor(0.5503, device='cuda:0')","tensor(0.5381, device='cuda:0')"
66,1.8883156306332065,51.497173821647124,"tensor(0.6518, device='cuda:0')","tensor(0.5367, device='cuda:0')"
67,1.89328315907291,51.366375484654554,"tensor(0.4401, device='cuda:0')","tensor(0.5354, device='cuda:0')"
68,1.8963519606207098,51.27294810108843,"tensor(0.4984, device='cuda:0')","tensor(0.5338, device='cuda:0')"
