Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.506141177068154,48.88629465328041,0,0
1,1.5266126429750806,47.69087088489377,"tensor(0.0596, device='cuda:0')","tensor(1.3110, device='cuda:0')"
2,1.5406957971198219,48.03642306794303,"tensor(0.0622, device='cuda:0')","tensor(1.4556, device='cuda:0')"
3,1.5137306943181015,48.88162502918515,"tensor(0.0557, device='cuda:0')","tensor(1.3868, device='cuda:0')"
4,1.5155348852276802,48.73219705813682,"tensor(0.0494, device='cuda:0')","tensor(1.2874, device='cuda:0')"
5,1.5146084090783483,48.75554517861312,"tensor(0.0653, device='cuda:0')","tensor(1.3374, device='cuda:0')"
6,1.5084768037001293,49.283212701377536,"tensor(0.0628, device='cuda:0')","tensor(1.3438, device='cuda:0')"
7,1.515306406432674,49.16647209899603,"tensor(0.0576, device='cuda:0')","tensor(1.2840, device='cuda:0')"
8,1.5297841578722,48.825589540042024,"tensor(0.0576, device='cuda:0')","tensor(1.2554, device='cuda:0')"
9,1.5389628665787833,48.17184216670558,"tensor(0.0641, device='cuda:0')","tensor(1.2697, device='cuda:0')"
10,1.5389111201678003,47.71421900537007,"tensor(0.0683, device='cuda:0')","tensor(1.2788, device='cuda:0')"
11,1.5358274288120723,47.71421900537007,"tensor(0.0575, device='cuda:0')","tensor(1.2652, device='cuda:0')"
12,1.5349933320567721,47.751575998132154,"tensor(0.0715, device='cuda:0')","tensor(1.2487, device='cuda:0')"
13,1.5365420249955994,47.872986224608916,"tensor(0.0542, device='cuda:0')","tensor(1.2382, device='cuda:0')"
14,1.540619579454263,48.00840532337147,"tensor(0.0507, device='cuda:0')","tensor(1.2333, device='cuda:0')"
15,1.5462309572668302,47.85897735232314,"tensor(0.0490, device='cuda:0')","tensor(1.2408, device='cuda:0')"
16,1.5490644428701628,47.994396451085684,"tensor(0.0530, device='cuda:0')","tensor(1.2428, device='cuda:0')"
17,1.5505892744376546,47.872986224608916,"tensor(0.0594, device='cuda:0')","tensor(1.2342, device='cuda:0')"
18,1.5515498536683263,47.70021013308428,"tensor(0.0517, device='cuda:0')","tensor(1.2190, device='cuda:0')"
19,1.552128323486873,47.50408592108335,"tensor(0.0648, device='cuda:0')","tensor(1.2094, device='cuda:0')"
20,1.5547517566453843,47.53677328975017,"tensor(0.0528, device='cuda:0')","tensor(1.2077, device='cuda:0')"
21,1.556546916919095,47.392014942797104,"tensor(0.0562, device='cuda:0')","tensor(1.2088, device='cuda:0')"
22,1.5553763643616723,47.424702311463925,"tensor(0.0574, device='cuda:0')","tensor(1.2065, device='cuda:0')"
23,1.5541290701145218,47.56012141022648,"tensor(0.0619, device='cuda:0')","tensor(1.1988, device='cuda:0')"
24,1.5537350536102341,47.499416296988095,"tensor(0.0487, device='cuda:0')","tensor(1.1912, device='cuda:0')"
25,1.5516172973882585,47.793602614989496,"tensor(0.0486, device='cuda:0')","tensor(1.1910, device='cuda:0')"
26,1.5512833632528782,47.92902171375204,"tensor(0.0552, device='cuda:0')","tensor(1.1908, device='cuda:0')"
27,1.551890574040867,47.91968246556152,"tensor(0.0535, device='cuda:0')","tensor(1.1918, device='cuda:0')"
28,1.554633027918282,47.840298855942095,"tensor(0.0500, device='cuda:0')","tensor(1.1843, device='cuda:0')"
29,1.5570963266349973,47.816950735465795,"tensor(0.0538, device='cuda:0')","tensor(1.1767, device='cuda:0')"
30,1.5598679163626261,47.64884426803642,"tensor(0.0452, device='cuda:0')","tensor(1.1736, device='cuda:0')"
31,1.5604913773990812,47.51809479336914,"tensor(0.0448, device='cuda:0')","tensor(1.1726, device='cuda:0')"
32,1.5601832696369715,47.555451786131215,"tensor(0.0492, device='cuda:0')","tensor(1.1714, device='cuda:0')"
33,1.559052010377248,47.588139154798036,"tensor(0.0588, device='cuda:0')","tensor(1.1688, device='cuda:0')"
34,1.5585952979468165,47.588139154798036,"tensor(0.0481, device='cuda:0')","tensor(1.1629, device='cuda:0')"
35,1.5603755300953275,47.42937193555919,"tensor(0.0670, device='cuda:0')","tensor(1.1612, device='cuda:0')"
36,1.5627383614579837,47.28928321270138,"tensor(0.0558, device='cuda:0')","tensor(1.1607, device='cuda:0')"
37,1.5645427122002555,47.31730095727294,"tensor(0.0606, device='cuda:0')","tensor(1.1610, device='cuda:0')"
38,1.5657413286112605,47.30796170908242,"tensor(0.0568, device='cuda:0')","tensor(1.1586, device='cuda:0')"
39,1.5667912438511848,47.3219705813682,"tensor(0.0421, device='cuda:0')","tensor(1.1551, device='cuda:0')"
40,1.5675040547336851,47.31730095727294,"tensor(0.0681, device='cuda:0')","tensor(1.1523, device='cuda:0')"
41,1.5682483223222552,47.39668456689237,"tensor(0.0607, device='cuda:0')","tensor(1.1504, device='cuda:0')"
42,1.5675723481745947,47.45738968013075,"tensor(0.0717, device='cuda:0')","tensor(1.1494, device='cuda:0')"
43,1.567756942340306,47.40602381508288,"tensor(0.0582, device='cuda:0')","tensor(1.1464, device='cuda:0')"
44,1.5694928765296936,47.2752743404156,"tensor(0.0485, device='cuda:0')","tensor(1.1436, device='cuda:0')"
45,1.5731536015158607,47.223908475367736,"tensor(0.0546, device='cuda:0')","tensor(1.1437, device='cuda:0')"
46,1.5768185832670756,47.116507121176745,"tensor(0.0498, device='cuda:0')","tensor(1.1415, device='cuda:0')"
47,1.5792815958460171,46.89236516460425,"tensor(0.0489, device='cuda:0')","tensor(1.1394, device='cuda:0')"
48,1.5801955670827912,47.0277842633668,"tensor(0.0619, device='cuda:0')","tensor(1.1369, device='cuda:0')"
49,1.5782546035590626,47.018445015176276,"tensor(0.0539, device='cuda:0')","tensor(1.1329, device='cuda:0')"
50,1.5754086463933898,47.12584636936727,"tensor(0.0492, device='cuda:0')","tensor(1.1320, device='cuda:0')"
51,1.5728785257254327,47.16787298622461,"tensor(0.0618, device='cuda:0')","tensor(1.1301, device='cuda:0')"
52,1.5712894988911492,47.28928321270138,"tensor(0.0600, device='cuda:0')","tensor(1.1299, device='cuda:0')"
53,1.570955288197313,47.223908475367736,"tensor(0.0389, device='cuda:0')","tensor(1.1307, device='cuda:0')"
54,1.5721684729769116,47.12584636936727,"tensor(0.0436, device='cuda:0')","tensor(1.1290, device='cuda:0')"
55,1.5761080139449664,47.07915012841466,"tensor(0.0629, device='cuda:0')","tensor(1.1264, device='cuda:0')"
56,1.580327152851082,46.808311930889566,"tensor(0.0542, device='cuda:0')","tensor(1.1245, device='cuda:0')"
57,1.5818985413227762,46.8036423067943,"tensor(0.0544, device='cuda:0')","tensor(1.1221, device='cuda:0')"
58,1.5803735238455592,46.845668923651644,"tensor(0.0568, device='cuda:0')","tensor(1.1216, device='cuda:0')"
59,1.5772916745571863,46.920382909175814,"tensor(0.0553, device='cuda:0')","tensor(1.1204, device='cuda:0')"
60,1.5747352157320296,46.89703478869951,"tensor(0.0465, device='cuda:0')","tensor(1.1182, device='cuda:0')"
61,1.5739839882368134,47.093159000700446,"tensor(0.0595, device='cuda:0')","tensor(1.1167, device='cuda:0')"
62,1.575175283210618,47.08848937660518,"tensor(0.0532, device='cuda:0')","tensor(1.1161, device='cuda:0')"
63,1.5771100538827123,46.999766518795234,"tensor(0.0528, device='cuda:0')","tensor(1.1134, device='cuda:0')"
64,1.5790031183333624,46.87368666822321,"tensor(0.0482, device='cuda:0')","tensor(1.1122, device='cuda:0')"
65,1.579275100358895,46.798972682699045,"tensor(0.0523, device='cuda:0')","tensor(1.1089, device='cuda:0')"
66,1.576852522790432,46.976418398318934,"tensor(0.0535, device='cuda:0')","tensor(1.1087, device='cuda:0')"
67,1.5757215413309278,47.06514125612888,"tensor(0.0459, device='cuda:0')","tensor(1.1068, device='cuda:0')"
68,1.5755753733572506,47.02311463927154,"tensor(0.0585, device='cuda:0')","tensor(1.1069, device='cuda:0')"
69,1.5771025777572678,46.887695540508986,"tensor(0.0537, device='cuda:0')","tensor(1.1030, device='cuda:0')"
70,1.576064949943906,46.93439178146159,"tensor(0.0453, device='cuda:0')","tensor(1.1045, device='cuda:0')"
71,1.573325311144193,47.10249824889097,"tensor(0.0632, device='cuda:0')","tensor(1.1015, device='cuda:0')"
72,1.5746724101759138,47.130515993462524,"tensor(0.0522, device='cuda:0')","tensor(1.0991, device='cuda:0')"
73,1.578080048873311,46.887695540508986,"tensor(0.0497, device='cuda:0')","tensor(1.1005, device='cuda:0')"
74,1.580638053516547,46.94840065374737,"tensor(0.0482, device='cuda:0')","tensor(1.0967, device='cuda:0')"
75,1.5801930580110777,47.04179313565258,"tensor(0.0542, device='cuda:0')","tensor(1.0950, device='cuda:0')"
76,1.5779622956400825,47.130515993462524,"tensor(0.0566, device='cuda:0')","tensor(1.0931, device='cuda:0')"
77,1.5759674917374338,47.093159000700446,"tensor(0.0538, device='cuda:0')","tensor(1.0903, device='cuda:0')"
78,1.576763857333433,47.14452486574831,"tensor(0.0497, device='cuda:0')","tensor(1.0907, device='cuda:0')"
79,1.5785744537909825,47.06047163203362,"tensor(0.0476, device='cuda:0')","tensor(1.0884, device='cuda:0')"
80,1.579936791743551,46.81298155498482,"tensor(0.0368, device='cuda:0')","tensor(1.0861, device='cuda:0')"
81,1.5818626061081886,46.6869017044128,"tensor(0.0420, device='cuda:0')","tensor(1.0840, device='cuda:0')"
82,1.5830166950112297,46.57950035022181,"tensor(0.0457, device='cuda:0')","tensor(1.0826, device='cuda:0')"
83,1.5832473759849865,46.74293719355592,"tensor(0.0559, device='cuda:0')","tensor(1.0821, device='cuda:0')"
84,1.5796259375555175,46.94840065374737,"tensor(0.0551, device='cuda:0')","tensor(1.0818, device='cuda:0')"
85,1.575778521952175,46.97174877422368,"tensor(0.0705, device='cuda:0')","tensor(1.0820, device='cuda:0')"
86,1.5747860638158662,47.13518561755779,"tensor(0.0473, device='cuda:0')","tensor(1.0812, device='cuda:0')"
87,1.5761386007070541,47.009105766985755,"tensor(0.0518, device='cuda:0')","tensor(1.0804, device='cuda:0')"
88,1.5782059274968647,46.953070277842635,"tensor(0.0481, device='cuda:0')","tensor(1.0779, device='cuda:0')"
89,1.5792245708760762,46.953070277842635,"tensor(0.0511, device='cuda:0')","tensor(1.0758, device='cuda:0')"
90,1.5795320134077753,46.99042727060472,"tensor(0.0553, device='cuda:0')","tensor(1.0751, device='cuda:0')"
91,1.5760302171111107,46.962409526033156,"tensor(0.0688, device='cuda:0')","tensor(1.0726, device='cuda:0')"
92,1.5740970930173284,47.139855241653045,"tensor(0.0457, device='cuda:0')","tensor(1.0713, device='cuda:0')"
93,1.5734948987762134,47.18655148260565,"tensor(0.0403, device='cuda:0')","tensor(1.0683, device='cuda:0')"
94,1.574741020089104,47.345318701844505,"tensor(0.0526, device='cuda:0')","tensor(1.0678, device='cuda:0')"
95,1.576545951621873,47.05580200793836,"tensor(0.0523, device='cuda:0')","tensor(1.0658, device='cuda:0')"
