Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.506141177068154,48.88629465328041,0,0
1,1.9952359235002881,32.80410926920383,"tensor(-0.5919, device='cuda:0')","tensor(1.3110, device='cuda:0')"
2,1.7093275185851824,44.982488909642775,"tensor(1.8308, device='cuda:0')","tensor(2.6481, device='cuda:0')"
3,1.7249615534785248,42.862479570394584,"tensor(1.2230, device='cuda:0')","tensor(2.1564, device='cuda:0')"
4,1.7533919069738615,41.63903805743637,"tensor(0.2689, device='cuda:0')","tensor(1.8789, device='cuda:0')"
5,1.6370140743397532,44.566892365164605,"tensor(0.3319, device='cuda:0')","tensor(1.8895, device='cuda:0')"
6,1.577262971727621,45.05253327107168,"tensor(0.4101, device='cuda:0')","tensor(1.9618, device='cuda:0')"
7,1.5635583563929512,45.24865748307261,"tensor(0.5048, device='cuda:0')","tensor(2.0854, device='cuda:0')"
8,1.5268738422365415,47.093159000700446,"tensor(0.4637, device='cuda:0')","tensor(2.0869, device='cuda:0')"
9,1.5193752632254647,48.330609385944435,"tensor(0.2848, device='cuda:0')","tensor(1.9114, device='cuda:0')"
10,1.5690157417030561,44.4968480037357,"tensor(0.0456, device='cuda:0')","tensor(1.7645, device='cuda:0')"
11,1.6438174386109625,37.697875321036655,"tensor(0.1965, device='cuda:0')","tensor(1.7615, device='cuda:0')"
12,1.6980994475029765,33.78939995330376,"tensor(0.1135, device='cuda:0')","tensor(1.8430, device='cuda:0')"
13,1.7108477361145473,32.40252159701144,"tensor(0.4622, device='cuda:0')","tensor(1.8687, device='cuda:0')"
14,1.6932303543601717,32.64067242586972,"tensor(0.0109, device='cuda:0')","tensor(1.8033, device='cuda:0')"
15,1.6659336267482667,33.80340882558954,"tensor(0.2210, device='cuda:0')","tensor(1.7181, device='cuda:0')"
16,1.6460288990111578,36.231613355124914,"tensor(0.2271, device='cuda:0')","tensor(1.6483, device='cuda:0')"
17,1.6274737655406906,39.47700210133084,"tensor(-0.1179, device='cuda:0')","tensor(1.6201, device='cuda:0')"
18,1.6077138948298635,42.59164137286948,"tensor(-0.1576, device='cuda:0')","tensor(1.6095, device='cuda:0')"
19,1.5873612353489512,44.68363296754611,"tensor(-0.0383, device='cuda:0')","tensor(1.6043, device='cuda:0')"
20,1.5734082353966576,46.1919215503152,"tensor(0.0461, device='cuda:0')","tensor(1.5897, device='cuda:0')"
21,1.5767060213145756,46.26663553583936,"tensor(-0.1387, device='cuda:0')","tensor(1.5813, device='cuda:0')"
22,1.592786897151243,45.61755778659818,"tensor(-0.0697, device='cuda:0')","tensor(1.5730, device='cuda:0')"
23,1.6037151160694303,45.36072846135886,"tensor(0.0605, device='cuda:0')","tensor(1.5508, device='cuda:0')"
24,1.61827198132163,44.622927854307726,"tensor(0.1249, device='cuda:0')","tensor(1.5175, device='cuda:0')"
25,1.6344855335496722,43.84777025449451,"tensor(0.1906, device='cuda:0')","tensor(1.5018, device='cuda:0')"
26,1.6340289467147417,43.9318234882092,"tensor(0.0538, device='cuda:0')","tensor(1.4985, device='cuda:0')"
27,1.6313292802799315,43.628297922017275,"tensor(0.0267, device='cuda:0')","tensor(1.4655, device='cuda:0')"
28,1.6302505163919359,43.00723791734765,"tensor(-0.0197, device='cuda:0')","tensor(1.4398, device='cuda:0')"
29,1.6380002654734112,41.71375204296054,"tensor(0.1032, device='cuda:0')","tensor(1.4312, device='cuda:0')"
30,1.6561748782793682,39.28087788932991,"tensor(-0.2022, device='cuda:0')","tensor(1.4531, device='cuda:0')"
31,1.6702323375003678,37.18421667055802,"tensor(0.0004, device='cuda:0')","tensor(1.5064, device='cuda:0')"
32,1.6797208530562264,37.52976885360729,"tensor(-0.1053, device='cuda:0')","tensor(1.5314, device='cuda:0')"
33,1.6897697509044693,39.066075180947934,"tensor(-0.1489, device='cuda:0')","tensor(1.5292, device='cuda:0')"
34,1.670244571353708,40.989960308195194,"tensor(0.0612, device='cuda:0')","tensor(1.5464, device='cuda:0')"
35,1.642877300935132,43.133317767919685,"tensor(0.0585, device='cuda:0')","tensor(1.5337, device='cuda:0')"
36,1.6252005178303945,44.39411627363997,"tensor(-0.0449, device='cuda:0')","tensor(1.4944, device='cuda:0')"
37,1.6185570863031207,44.97781928554751,"tensor(0.1002, device='cuda:0')","tensor(1.4700, device='cuda:0')"
38,1.612938241589637,45.692271772122346,"tensor(-0.3216, device='cuda:0')","tensor(1.4457, device='cuda:0')"
39,1.6358873638368787,45.22063973850105,"tensor(-0.0613, device='cuda:0')","tensor(1.4203, device='cuda:0')"
40,1.650562237415995,44.34275040859211,"tensor(-0.0567, device='cuda:0')","tensor(1.4976, device='cuda:0')"
41,1.67268560365552,42.106000466962406,"tensor(0.1036, device='cuda:0')","tensor(1.5320, device='cuda:0')"
42,1.7370692700857209,40.3175344384777,"tensor(0.4547, device='cuda:0')","tensor(1.5733, device='cuda:0')"
43,1.6865108790142196,39.29488676161569,"tensor(0.5823, device='cuda:0')","tensor(1.6894, device='cuda:0')"
44,1.6876384938756626,39.775858043427505,"tensor(0.5321, device='cuda:0')","tensor(1.6007, device='cuda:0')"
45,1.6846851855516434,39.24819052066309,"tensor(0.7305, device='cuda:0')","tensor(1.6155, device='cuda:0')"
46,1.6687176834259714,39.392948867616155,"tensor(0.4304, device='cuda:0')","tensor(1.5833, device='cuda:0')"
47,1.651670505957944,41.12070978286248,"tensor(0.6414, device='cuda:0')","tensor(1.5164, device='cuda:0')"
48,1.6163326909854299,42.71305159934625,"tensor(0.1659, device='cuda:0')","tensor(1.4498, device='cuda:0')"
49,1.6084279173186846,43.63296754611254,"tensor(-0.2404, device='cuda:0')","tensor(1.3818, device='cuda:0')"
50,1.6065056160801934,44.520196124212,"tensor(-0.1763, device='cuda:0')","tensor(1.3659, device='cuda:0')"
51,1.5963661213006293,45.486808311930886,"tensor(-0.4163, device='cuda:0')","tensor(1.3680, device='cuda:0')"
52,1.5824715942144394,46.56549147793603,"tensor(-0.4920, device='cuda:0')","tensor(1.3742, device='cuda:0')"
53,1.576527435864721,46.87368666822321,"tensor(-0.5677, device='cuda:0')","tensor(1.3772, device='cuda:0')"
