Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.0127133172714995,63.406321490265654,0,0
1,1.0127133172714995,63.406321490265654,"tensor(-0.0528, device='cuda:0')","tensor(0.9944, device='cuda:0')"
2,1.026993426982136,62.75736495634717,"tensor(-0.0528, device='cuda:0')","tensor(0.9944, device='cuda:0')"
3,1.2515600595978045,58.919650777347215,"tensor(0.0098, device='cuda:0')","tensor(1.2585, device='cuda:0')"
4,1.0314676824602342,63.12619636771091,"tensor(0.0687, device='cuda:0')","tensor(1.5936, device='cuda:0')"
5,0.9970941264182329,64.05994677622671,"tensor(-0.0206, device='cuda:0')","tensor(1.0316, device='cuda:0')"
6,0.9890515837995779,64.37742191512208,"tensor(-0.0409, device='cuda:0')","tensor(1.3430, device='cuda:0')"
7,0.993358457815789,64.24669685792988,"tensor(-0.0519, device='cuda:0')","tensor(1.2581, device='cuda:0')"
8,1.0437885965442373,62.5285961062608,"tensor(-0.0580, device='cuda:0')","tensor(1.0703, device='cuda:0')"
9,1.083487900062686,61.6602082263411,"tensor(-0.0435, device='cuda:0')","tensor(1.1110, device='cuda:0')"
10,1.0652181422781377,62.07572715813063,"tensor(-0.0280, device='cuda:0')","tensor(1.1859, device='cuda:0')"
11,1.021821613733967,63.378308978010175,"tensor(-0.0313, device='cuda:0')","tensor(1.1018, device='cuda:0')"
12,0.9968275649561769,63.97124048741772,"tensor(-0.0427, device='cuda:0')","tensor(1.0068, device='cuda:0')"
13,0.9965227138960645,63.82184042205518,"tensor(-0.0485, device='cuda:0')","tensor(1.0279, device='cuda:0')"
14,1.0090426890445607,63.62575283626687,"tensor(-0.0457, device='cuda:0')","tensor(1.0719, device='cuda:0')"
15,1.031770904149328,62.87408375741165,"tensor(-0.0403, device='cuda:0')","tensor(1.0514, device='cuda:0')"
16,1.0605705696202459,62.26714599187637,"tensor(-0.0343, device='cuda:0')","tensor(1.0163, device='cuda:0')"
17,1.0778696659420217,62.14575843876932,"tensor(-0.0288, device='cuda:0')","tensor(1.0154, device='cuda:0')"
18,1.0701738266895215,62.38386479294085,"tensor(-0.0289, device='cuda:0')","tensor(1.0171, device='cuda:0')"
19,1.0437085810339166,63.191558896307015,"tensor(-0.0337, device='cuda:0')","tensor(0.9904, device='cuda:0')"
20,1.019177022611811,63.9525654792474,"tensor(-0.0400, device='cuda:0')","tensor(0.9668, device='cuda:0')"
21,1.0053351503752528,64.30272188244082,"tensor(-0.0437, device='cuda:0')","tensor(0.9777, device='cuda:0')"
22,1.0024655055964278,64.2653718661002,"tensor(-0.0438, device='cuda:0')","tensor(0.9898, device='cuda:0')"
23,1.010461088979528,63.994584247630605,"tensor(-0.0450, device='cuda:0')","tensor(0.9789, device='cuda:0')"
24,1.0273538783547425,63.453009010691446,"tensor(-0.0429, device='cuda:0')","tensor(0.9634, device='cuda:0')"
25,1.0426042257320314,63.05616508707222,"tensor(-0.0400, device='cuda:0')","tensor(0.9583, device='cuda:0')"
