Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,1.7567669616213866,54.47283598822815,"tensor(0.4415, device='cuda:0')","tensor(0.6435, device='cuda:0')"
2,1.8830041951012044,53.08543934227122,"tensor(0.1667, device='cuda:0')","tensor(1.0203, device='cuda:0')"
3,1.8194148414546536,53.31433643200822,"tensor(0.4455, device='cuda:0')","tensor(0.9267, device='cuda:0')"
4,1.7327440106088208,53.580604475171675,"tensor(0.1687, device='cuda:0')","tensor(0.7648, device='cuda:0')"
5,1.7464725274060453,52.97799785117018,"tensor(0.2682, device='cuda:0')","tensor(0.8074, device='cuda:0')"
6,1.772768211329267,52.93128415938712,"tensor(0.1511, device='cuda:0')","tensor(0.8226, device='cuda:0')"
7,1.738784338037173,53.62731816695474,"tensor(0.2209, device='cuda:0')","tensor(0.7630, device='cuda:0')"
8,1.698029657027551,54.37006586630542,"tensor(-0.1389, device='cuda:0')","tensor(0.7372, device='cuda:0')"
9,1.6563233860901423,54.8885878450974,"tensor(0.1395, device='cuda:0')","tensor(0.7452, device='cuda:0')"
10,1.6064419898958433,55.477180361563974,"tensor(0.0556, device='cuda:0')","tensor(0.7512, device='cuda:0')"
11,1.644357154411929,54.986686597841825,"tensor(0.0342, device='cuda:0')","tensor(0.7935, device='cuda:0')"
12,1.6821177381844747,54.41210818891017,"tensor(0.2053, device='cuda:0')","tensor(0.7634, device='cuda:0')"
13,1.7318423037372885,53.79081608819545,"tensor(0.1168, device='cuda:0')","tensor(0.7344, device='cuda:0')"
14,1.743691838035981,53.636660905311345,"tensor(0.1234, device='cuda:0')","tensor(0.7298, device='cuda:0')"
15,1.7267446202181636,53.74877376559069,"tensor(0.0116, device='cuda:0')","tensor(0.7384, device='cuda:0')"
16,1.7191221958824567,53.96832811697109,"tensor(-0.0904, device='cuda:0')","tensor(0.7236, device='cuda:0')"
17,1.7280945967705477,53.772130611482226,"tensor(0.0753, device='cuda:0')","tensor(0.7126, device='cuda:0')"
18,1.7484148921711105,53.6039613210632,"tensor(0.0224, device='cuda:0')","tensor(0.7105, device='cuda:0')"
19,1.7190052168000312,54.127154669033494,"tensor(0.0029, device='cuda:0')","tensor(0.7096, device='cuda:0')"
20,1.6646071840964614,54.82786004577942,"tensor(0.0149, device='cuda:0')","tensor(0.6859, device='cuda:0')"
21,1.6410759485193662,55.27631148689681,"tensor(0.1975, device='cuda:0')","tensor(0.7051, device='cuda:0')"
22,1.6431408421624274,55.30901107114495,"tensor(0.0110, device='cuda:0')","tensor(0.7085, device='cuda:0')"
23,1.6575920133008843,54.86523099920587,"tensor(0.0367, device='cuda:0')","tensor(0.6895, device='cuda:0')"
24,1.686450408328147,54.5102069416546,"tensor(-0.0049, device='cuda:0')","tensor(0.6869, device='cuda:0')"
25,1.710339949599334,54.14116877656841,"tensor(0.1325, device='cuda:0')","tensor(0.6813, device='cuda:0')"
26,1.7253168078050727,53.86555799504835,"tensor(0.0029, device='cuda:0')","tensor(0.6738, device='cuda:0')"
27,1.7157481500790233,53.88891484093988,"tensor(-0.0618, device='cuda:0')","tensor(0.6611, device='cuda:0')"
28,1.7249714405763716,53.87957210258327,"tensor(-0.0832, device='cuda:0')","tensor(0.6594, device='cuda:0')"
29,1.7332352694301378,53.641332274489656,"tensor(0.0229, device='cuda:0')","tensor(0.6619, device='cuda:0')"
30,1.7301463749082315,53.60863269024151,"tensor(0.2534, device='cuda:0')","tensor(0.6616, device='cuda:0')"
31,1.7142530135100795,53.98701359368431,"tensor(-0.0060, device='cuda:0')","tensor(0.6503, device='cuda:0')"
32,1.7241156605027972,53.725416919699164,"tensor(0.1066, device='cuda:0')","tensor(0.6469, device='cuda:0')"
33,1.6963945173081898,54.276638482739294,"tensor(-0.0859, device='cuda:0')","tensor(0.6459, device='cuda:0')"
34,1.6748589238240605,54.71574718550007,"tensor(0.0148, device='cuda:0')","tensor(0.6422, device='cuda:0')"
35,1.6512368848281247,55.033400289624886,"tensor(0.0505, device='cuda:0')","tensor(0.6447, device='cuda:0')"
36,1.6551180682366802,55.09412808894287,"tensor(0.2147, device='cuda:0')","tensor(0.6582, device='cuda:0')"
37,1.672927453581776,54.93530153688046,"tensor(0.0856, device='cuda:0')","tensor(0.6566, device='cuda:0')"
38,1.689595761043685,54.79983183070958,"tensor(-0.0142, device='cuda:0')","tensor(0.6486, device='cuda:0')"
39,1.682281356304884,54.972672490306906,"tensor(-0.0392, device='cuda:0')","tensor(0.6397, device='cuda:0')"
40,1.6716476925427006,55.14084178072593,"tensor(-0.0443, device='cuda:0')","tensor(0.6292, device='cuda:0')"
41,1.669953331528675,55.019386182089974,"tensor(-0.0091, device='cuda:0')","tensor(0.6362, device='cuda:0')"
42,1.693055389182908,54.71574718550007,"tensor(0.2377, device='cuda:0')","tensor(0.6388, device='cuda:0')"
43,1.73546591915545,54.03372728546737,"tensor(-0.0426, device='cuda:0')","tensor(0.6277, device='cuda:0')"
44,1.7371485478111677,53.61330405941982,"tensor(0.0650, device='cuda:0')","tensor(0.6413, device='cuda:0')"
45,1.695367156040101,54.14584014574672,"tensor(0.0089, device='cuda:0')","tensor(0.6487, device='cuda:0')"
46,1.6554723039624237,54.53823515672443,"tensor(0.0193, device='cuda:0')","tensor(0.6456, device='cuda:0')"
47,1.635895453570854,54.89793058345401,"tensor(-0.0120, device='cuda:0')","tensor(0.6579, device='cuda:0')"
48,1.6274053901433945,55.22025505675713,"tensor(0.0924, device='cuda:0')","tensor(0.6545, device='cuda:0')"
49,1.6269306075714884,55.346382024571405,"tensor(0.1112, device='cuda:0')","tensor(0.6428, device='cuda:0')"
50,1.632951574133975,55.41178119306769,"tensor(0.0339, device='cuda:0')","tensor(0.6267, device='cuda:0')"
51,1.652961345123393,55.122156304012705,"tensor(-0.1206, device='cuda:0')","tensor(0.6169, device='cuda:0')"
52,1.6741434035911447,54.81851730742281,"tensor(0.0535, device='cuda:0')","tensor(0.6297, device='cuda:0')"
53,1.661260350829079,54.91194469098893,"tensor(0.0485, device='cuda:0')","tensor(0.6388, device='cuda:0')"
54,1.6846932146166052,54.64100527864717,"tensor(0.0494, device='cuda:0')","tensor(0.6197, device='cuda:0')"
55,1.6652404236651601,54.9633297519503,"tensor(-0.0568, device='cuda:0')","tensor(0.6255, device='cuda:0')"
56,1.653703216818117,54.93530153688046,"tensor(0.1355, device='cuda:0')","tensor(0.6455, device='cuda:0')"
57,1.6471404427928584,54.991357967020136,"tensor(-0.1065, device='cuda:0')","tensor(0.6210, device='cuda:0')"
58,1.6517685809660525,54.9633297519503,"tensor(0.1027, device='cuda:0')","tensor(0.6193, device='cuda:0')"
59,1.6389784289612657,55.13149904236932,"tensor(-0.1040, device='cuda:0')","tensor(0.6431, device='cuda:0')"
60,1.6292630989281904,55.16886999579577,"tensor(-0.0826, device='cuda:0')","tensor(0.6240, device='cuda:0')"
61,1.6097571723872708,55.48185173074228,"tensor(0.0592, device='cuda:0')","tensor(0.6137, device='cuda:0')"
62,1.6304414236829394,55.35572476292801,"tensor(-0.0080, device='cuda:0')","tensor(0.6120, device='cuda:0')"
63,1.6538705318456604,55.033400289624886,"tensor(-0.0784, device='cuda:0')","tensor(0.5993, device='cuda:0')"
64,1.705330109312421,54.41677955808848,"tensor(-0.0599, device='cuda:0')","tensor(0.5916, device='cuda:0')"
65,1.7181175083276772,54.29999532863082,"tensor(0.0492, device='cuda:0')","tensor(0.6102, device='cuda:0')"
66,1.6717264194573676,54.991357967020136,"tensor(-0.0725, device='cuda:0')","tensor(0.6070, device='cuda:0')"
67,1.6290951573422976,55.62199280609146,"tensor(-0.0480, device='cuda:0')","tensor(0.6002, device='cuda:0')"
68,1.6260952603604113,55.6500210211613,"tensor(-0.1674, device='cuda:0')","tensor(0.6255, device='cuda:0')"
69,1.6229165246089299,55.673377867052835,"tensor(-0.0612, device='cuda:0')","tensor(0.6048, device='cuda:0')"
70,1.602967127093247,55.90227495678983,"tensor(0.0220, device='cuda:0')","tensor(0.6017, device='cuda:0')"
71,1.5947317355090664,55.850889895828466,"tensor(0.0040, device='cuda:0')","tensor(0.6068, device='cuda:0')"
72,1.596488687786318,55.687391974587754,"tensor(0.0085, device='cuda:0')","tensor(0.6061, device='cuda:0')"
73,1.630355728346677,55.32302517867987,"tensor(0.0840, device='cuda:0')","tensor(0.5953, device='cuda:0')"
74,1.669838939926454,54.617648432755644,"tensor(-0.1225, device='cuda:0')","tensor(0.5894, device='cuda:0')"
75,1.6617941322426002,54.77180361563975,"tensor(0.0179, device='cuda:0')","tensor(0.6115, device='cuda:0')"
76,1.6490274971084935,54.93530153688046,"tensor(-0.0521, device='cuda:0')","tensor(0.6123, device='cuda:0')"
77,1.644116833806038,55.210912318400524,"tensor(0.0673, device='cuda:0')","tensor(0.6058, device='cuda:0')"
78,1.6687062348993051,55.033400289624886,"tensor(0.1982, device='cuda:0')","tensor(0.5940, device='cuda:0')"
79,1.6696408944470542,54.8885878450974,"tensor(-0.0186, device='cuda:0')","tensor(0.6121, device='cuda:0')"
80,1.6460247813236146,55.407109823889385,"tensor(0.0881, device='cuda:0')","tensor(0.6277, device='cuda:0')"
81,1.62532700527282,55.65469239033961,"tensor(0.0741, device='cuda:0')","tensor(0.5992, device='cuda:0')"
82,1.6197006081541379,55.67804923623114,"tensor(-0.0228, device='cuda:0')","tensor(0.6110, device='cuda:0')"
