Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.3861886399487655,54.50181750396123,0,0
1,3.9575891093838784,36.419983223040354,"tensor(0.1341, device='cuda:0')","tensor(0.8609, device='cuda:0')"
2,1.9389630034565926,44.68729611333768,"tensor(1.5790, device='cuda:0')","tensor(15.3192, device='cuda:0')"
3,1.742053948520195,44.51952651691677,"tensor(0.5894, device='cuda:0')","tensor(5.1861, device='cuda:0')"
4,1.6752828113025142,46.25780594650014,"tensor(0.2933, device='cuda:0')","tensor(3.6433, device='cuda:0')"
5,1.6952292342625914,47.54403951906049,"tensor(0.4290, device='cuda:0')","tensor(3.0419, device='cuda:0')"
6,1.7742095866373606,47.57200111846397,"tensor(0.5250, device='cuda:0')","tensor(3.3758, device='cuda:0')"
7,1.6972257698930444,47.818995246528104,"tensor(0.6513, device='cuda:0')","tensor(4.3495, device='cuda:0')"
8,1.6917440735158467,47.86559791220058,"tensor(0.5330, device='cuda:0')","tensor(3.9656, device='cuda:0')"
9,1.6902377271936053,47.86093764563333,"tensor(0.8295, device='cuda:0')","tensor(4.0468, device='cuda:0')"
10,1.752141033609708,46.9288843321838,"tensor(0.5819, device='cuda:0')","tensor(4.0685, device='cuda:0')"
11,1.9077672142358053,44.999533973343276,"tensor(0.5439, device='cuda:0')","tensor(3.9895, device='cuda:0')"
12,1.912406344321512,45.004194239910525,"tensor(0.4755, device='cuda:0')","tensor(3.4373, device='cuda:0')"
13,1.818825903747763,46.07605555037748,"tensor(0.5493, device='cuda:0')","tensor(3.3336, device='cuda:0')"
14,1.7420742632377715,47.7211296486159,"tensor(0.3693, device='cuda:0')","tensor(3.3182, device='cuda:0')"
15,1.7625375516003086,48.12657283996644,"tensor(0.3593, device='cuda:0')","tensor(3.6060, device='cuda:0')"
16,1.814287917245002,47.31102619069811,"tensor(0.3116, device='cuda:0')","tensor(4.1995, device='cuda:0')"
17,1.7600793877527827,47.791033647124614,"tensor(0.1245, device='cuda:0')","tensor(4.2965, device='cuda:0')"
18,1.720906536139193,48.1219125733992,"tensor(0.0858, device='cuda:0')","tensor(3.8497, device='cuda:0')"
19,1.7357760085946037,47.74909124801939,"tensor(0.0082, device='cuda:0')","tensor(3.3997, device='cuda:0')"
20,1.7634587569960527,47.273744058160126,"tensor(-0.0066, device='cuda:0')","tensor(3.3751, device='cuda:0')"
21,1.749432092621213,47.74443098145214,"tensor(0.0508, device='cuda:0')","tensor(3.4456, device='cuda:0')"
22,1.7085750624537468,48.513374965048,"tensor(0.0669, device='cuda:0')","tensor(3.4886, device='cuda:0')"
23,1.697020666585082,48.63454189579644,"tensor(0.2289, device='cuda:0')","tensor(3.4167, device='cuda:0')"
24,1.7403319843468212,48.00074564265076,"tensor(0.1284, device='cuda:0')","tensor(3.2419, device='cuda:0')"
25,1.8091297110631352,47.11529499487371,"tensor(0.1141, device='cuda:0')","tensor(3.2215, device='cuda:0')"
26,1.755603469553448,47.49743685338802,"tensor(0.2554, device='cuda:0')","tensor(3.3823, device='cuda:0')"
27,1.6918184411312853,48.28502190325287,"tensor(0.0708, device='cuda:0')","tensor(3.2494, device='cuda:0')"
28,1.6574664646316142,48.55531736415323,"tensor(0.0112, device='cuda:0')","tensor(3.1692, device='cuda:0')"
29,1.650877545099883,48.89551682356231,"tensor(-0.1481, device='cuda:0')","tensor(3.3497, device='cuda:0')"
30,1.6612037783932119,49.03998508714699,"tensor(-0.0946, device='cuda:0')","tensor(3.7687, device='cuda:0')"
31,1.6485638286741007,49.021344020878,"tensor(0.2211, device='cuda:0')","tensor(4.1009, device='cuda:0')"
32,1.6353511223126025,48.6205610960947,"tensor(0.0803, device='cuda:0')","tensor(3.7355, device='cuda:0')"
33,1.676772833225273,47.73511044831764,"tensor(-0.0704, device='cuda:0')","tensor(3.1195, device='cuda:0')"
34,1.7223879584953898,47.259763258458385,"tensor(0.0595, device='cuda:0')","tensor(2.8492, device='cuda:0')"
35,1.7582310881643068,46.91956379904931,"tensor(-0.0894, device='cuda:0')","tensor(2.8779, device='cuda:0')"
36,1.7650524542800017,47.064032062633984,"tensor(0.1838, device='cuda:0')","tensor(2.9814, device='cuda:0')"
37,1.723731539256516,47.655885916674436,"tensor(-0.0771, device='cuda:0')","tensor(3.1639, device='cuda:0')"
38,1.6328875890799932,48.578618696989466,"tensor(-0.0515, device='cuda:0')","tensor(3.4839, device='cuda:0')"
39,1.56905439779872,48.50871469848075,"tensor(-0.0194, device='cuda:0')","tensor(3.5814, device='cuda:0')"
40,1.574819673384939,48.86755522415882,"tensor(0.0530, device='cuda:0')","tensor(3.4674, device='cuda:0')"
41,1.615008457075982,49.59455680864946,"tensor(0.0594, device='cuda:0')","tensor(3.5857, device='cuda:0')"
42,1.645826295018196,49.45940907819927,"tensor(-0.1339, device='cuda:0')","tensor(3.9058, device='cuda:0')"
43,1.6418431853609425,49.22639574983689,"tensor(0.0666, device='cuda:0')","tensor(3.9594, device='cuda:0')"
44,1.6652192908028762,48.774349892813866,"tensor(-0.0510, device='cuda:0')","tensor(3.5981, device='cuda:0')"
45,1.7084584559003513,47.805014446826355,"tensor(0.1290, device='cuda:0')","tensor(3.4591, device='cuda:0')"
46,1.7753511021534603,46.40227421008482,"tensor(0.2579, device='cuda:0')","tensor(3.1017, device='cuda:0')"
47,1.8019511272155104,45.40963743126107,"tensor(0.0704, device='cuda:0')","tensor(3.0853, device='cuda:0')"
48,1.7725215619873433,45.65663155932519,"tensor(0.0195, device='cuda:0')","tensor(3.0818, device='cuda:0')"
49,1.6968126309414704,47.00344859725976,"tensor(0.0341, device='cuda:0')","tensor(3.0024, device='cuda:0')"
50,1.6027466491574334,48.00074564265076,"tensor(-0.0741, device='cuda:0')","tensor(3.0458, device='cuda:0')"
51,1.5374641691644986,48.52735576474974,"tensor(-0.0386, device='cuda:0')","tensor(3.2776, device='cuda:0')"
52,1.5333992996740908,48.98872215490726,"tensor(0.1209, device='cuda:0')","tensor(3.3833, device='cuda:0')"
53,1.630370966912735,48.229098704445896,"tensor(-0.1486, device='cuda:0')","tensor(3.0981, device='cuda:0')"
54,1.638347121044284,48.5040544319135,"tensor(-0.0144, device='cuda:0')","tensor(3.4247, device='cuda:0')"
55,1.604010908376603,49.333581880883585,"tensor(-0.3417, device='cuda:0')","tensor(3.6780, device='cuda:0')"
56,1.545220394219671,49.92543573492404,"tensor(0.1235, device='cuda:0')","tensor(3.6738, device='cuda:0')"
57,1.5324725419992493,49.96271786746202,"tensor(-0.1524, device='cuda:0')","tensor(3.3124, device='cuda:0')"
58,1.5372917116397904,50.03262186597073,"tensor(-0.0257, device='cuda:0')","tensor(3.2526, device='cuda:0')"
59,1.5540785901248455,49.81358933731009,"tensor(0.0136, device='cuda:0')","tensor(3.2117, device='cuda:0')"
60,1.565155513407219,49.82757013701184,"tensor(0.2750, device='cuda:0')","tensor(3.2230, device='cuda:0')"
61,1.5740421119899977,49.61319787491845,"tensor(0.1785, device='cuda:0')","tensor(3.1592, device='cuda:0')"
62,1.5844289814787251,49.42678721222854,"tensor(0.1820, device='cuda:0')","tensor(3.0056, device='cuda:0')"
63,1.5816924137373765,49.58989654208221,"tensor(0.1306, device='cuda:0')","tensor(2.8961, device='cuda:0')"
64,1.5871754430589222,49.54329387640973,"tensor(0.1236, device='cuda:0')","tensor(2.9327, device='cuda:0')"
65,1.5890402497635001,49.66446080715817,"tensor(0.0900, device='cuda:0')","tensor(3.0751, device='cuda:0')"
66,1.5701430972133363,49.97203840059652,"tensor(0.0950, device='cuda:0')","tensor(3.2267, device='cuda:0')"
67,1.5609081852294149,50.302917326871096,"tensor(-0.0988, device='cuda:0')","tensor(3.1449, device='cuda:0')"
68,1.5550376377290203,50.42874452418678,"tensor(0.0119, device='cuda:0')","tensor(3.1328, device='cuda:0')"
69,1.5711039122016657,50.466026656724765,"tensor(-0.0391, device='cuda:0')","tensor(3.1838, device='cuda:0')"
70,1.6035667334106707,50.480007456426506,"tensor(-0.0544, device='cuda:0')","tensor(3.4207, device='cuda:0')"
71,1.6082501863794667,50.35884052567807,"tensor(-0.1415, device='cuda:0')","tensor(3.7723, device='cuda:0')"
72,1.595535550887386,50.470686923292014,"tensor(0.0712, device='cuda:0')","tensor(3.7916, device='cuda:0')"
73,1.589093768703086,50.42874452418678,"tensor(0.1801, device='cuda:0')","tensor(3.6465, device='cuda:0')"
74,1.5938860959417762,50.21903252866064,"tensor(-0.0932, device='cuda:0')","tensor(3.5202, device='cuda:0')"
75,1.5892831244993777,50.246994128064124,"tensor(-0.0798, device='cuda:0')","tensor(3.4739, device='cuda:0')"
76,1.5757535014833723,50.20039146239165,"tensor(0.1855, device='cuda:0')","tensor(3.3472, device='cuda:0')"
77,1.5661727211305074,50.107186131046696,"tensor(0.0872, device='cuda:0')","tensor(3.2511, device='cuda:0')"
78,1.5599607688685257,50.279615994034856,"tensor(0.0155, device='cuda:0')","tensor(3.2186, device='cuda:0')"
79,1.554419914526599,50.065243731941464,"tensor(0.2162, device='cuda:0')","tensor(3.1858, device='cuda:0')"
80,1.559768069358099,50.065243731941464,"tensor(-0.1417, device='cuda:0')","tensor(3.0091, device='cuda:0')"
81,1.5532446262382327,50.270295460900364,"tensor(-0.0397, device='cuda:0')","tensor(2.9260, device='cuda:0')"
82,1.5446714194757598,50.41010345791779,"tensor(-0.0748, device='cuda:0')","tensor(2.8442, device='cuda:0')"
83,1.5421618636520136,50.71302078478889,"tensor(-0.1342, device='cuda:0')","tensor(2.8646, device='cuda:0')"
84,1.5541395199085986,50.71768105135614,"tensor(0.2255, device='cuda:0')","tensor(2.9408, device='cuda:0')"
85,1.567492392801103,50.60583465374219,"tensor(0.1888, device='cuda:0')","tensor(3.0474, device='cuda:0')"
86,1.585563334680739,50.461366390157515,"tensor(-0.0598, device='cuda:0')","tensor(3.1530, device='cuda:0')"
87,1.601516128828128,50.36816105881256,"tensor(0.1355, device='cuda:0')","tensor(3.2788, device='cuda:0')"
88,1.6057910642453603,50.25165439463137,"tensor(0.0518, device='cuda:0')","tensor(3.3781, device='cuda:0')"
89,1.6135449702186244,50.43806505732128,"tensor(0.0145, device='cuda:0')","tensor(3.3831, device='cuda:0')"
90,1.6196704639920168,50.13980799701743,"tensor(0.0715, device='cuda:0')","tensor(3.4508, device='cuda:0')"
91,1.605870065412351,49.92543573492404,"tensor(-0.0442, device='cuda:0')","tensor(3.4563, device='cuda:0')"
92,1.5665640360897495,50.12582719731569,"tensor(-0.2612, device='cuda:0')","tensor(3.3545, device='cuda:0')"
93,1.5598287415646372,49.94407680119303,"tensor(-0.1123, device='cuda:0')","tensor(3.2003, device='cuda:0')"
94,1.5808470089520728,49.22173548326964,"tensor(-0.1061, device='cuda:0')","tensor(3.3717, device='cuda:0')"
95,1.569449262427432,49.557274676111476,"tensor(0.0147, device='cuda:0')","tensor(3.5705, device='cuda:0')"
