Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,48.88629465328041,1.506141177068154,0,0
1,25.865047863646975,2.1325397083447095,"tensor(-0.1671, device='cuda:0')","tensor(1.3110, device='cuda:0')"
2,43.759047396684565,1.7002641631379014,"tensor(1.8810, device='cuda:0')","tensor(3.0838, device='cuda:0')"
3,45.56619192155031,1.6540638270477455,"tensor(1.1008, device='cuda:0')","tensor(1.9253, device='cuda:0')"
4,44.96381041326173,1.6214838237279938,"tensor(0.3076, device='cuda:0')","tensor(1.9582, device='cuda:0')"
5,42.727060471632036,1.6741364757929529,"tensor(0.4289, device='cuda:0')","tensor(1.8049, device='cuda:0')"
6,43.539575064207334,1.6125609640564238,"tensor(0.3589, device='cuda:0')","tensor(1.8437, device='cuda:0')"
7,40.58370301190754,1.5991997051806677,"tensor(0.3152, device='cuda:0')","tensor(1.8316, device='cuda:0')"
8,36.97875321036656,1.6045373231172562,"tensor(0.0431, device='cuda:0')","tensor(1.8016, device='cuda:0')"
9,33.96217604482839,1.6433498685558636,"tensor(0.1616, device='cuda:0')","tensor(1.7460, device='cuda:0')"
10,33.4905440112071,1.6584111487581616,"tensor(0.1663, device='cuda:0')","tensor(1.7602, device='cuda:0')"
11,34.81204763016577,1.640418287898813,"tensor(0.0527, device='cuda:0')","tensor(1.7430, device='cuda:0')"
12,37.90800840532337,1.6140669236580532,"tensor(0.1985, device='cuda:0')","tensor(1.7027, device='cuda:0')"
13,40.77982722390848,1.5943487353977703,"tensor(0.1606, device='cuda:0')","tensor(1.6728, device='cuda:0')"
14,43.52556619192155,1.591318937994185,"tensor(0.0954, device='cuda:0')","tensor(1.6337, device='cuda:0')"
15,43.99252860144758,1.5956208354660444,"tensor(0.2670, device='cuda:0')","tensor(1.5982, device='cuda:0')"
16,44.26336679897268,1.5976011934024947,"tensor(0.0340, device='cuda:0')","tensor(1.5744, device='cuda:0')"
17,44.38010740135419,1.5968546608374232,"tensor(-0.3958, device='cuda:0')","tensor(1.5664, device='cuda:0')"
18,44.70231146392715,1.5985918417572975,"tensor(-0.0953, device='cuda:0')","tensor(1.5921, device='cuda:0')"
19,45.67826289983656,1.5886373228970028,"tensor(-0.1699, device='cuda:0')","tensor(1.5921, device='cuda:0')"
