Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,5.091012302963507,37.18649292419784,"tensor(0.0925, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,4.702471250152614,37.83569193405259,"tensor(2.3896, device='cuda:0')","tensor(34.2620, device='cuda:0')"
3,1.980802704890569,49.07290644995563,"tensor(2.3821, device='cuda:0')","tensor(27.5462, device='cuda:0')"
4,1.6143759657584487,54.50936434542992,"tensor(1.6627, device='cuda:0')","tensor(10.0061, device='cuda:0')"
5,1.8909428105467843,50.83835411704264,"tensor(1.6075, device='cuda:0')","tensor(6.4001, device='cuda:0')"
6,2.181995191389606,47.75582644435104,"tensor(1.7575, device='cuda:0')","tensor(6.2908, device='cuda:0')"
7,2.721446041904745,43.496333660268085,"tensor(1.8704, device='cuda:0')","tensor(7.1209, device='cuda:0')"
8,2.3011815556812856,44.98622203540236,"tensor(3.7241, device='cuda:0')","tensor(9.2699, device='cuda:0')"
9,1.7415283973373117,49.33912474896081,"tensor(1.8115, device='cuda:0')","tensor(7.9033, device='cuda:0')"
10,1.3730621298863774,54.09836065573771,"tensor(1.2703, device='cuda:0')","tensor(5.9416, device='cuda:0')"
11,1.2790862020282519,55.938536266405116,"tensor(1.0025, device='cuda:0')","tensor(5.0767, device='cuda:0')"
12,1.2499185768621308,56.86796506468637,"tensor(0.8455, device='cuda:0')","tensor(4.9712, device='cuda:0')"
13,1.2480681682271617,57.26028676848349,"tensor(0.7098, device='cuda:0')","tensor(4.9529, device='cuda:0')"
14,1.3382113292103721,55.12586987996824,"tensor(0.4370, device='cuda:0')","tensor(4.7692, device='cuda:0')"
15,1.4500983644809042,51.45953014805474,"tensor(0.6074, device='cuda:0')","tensor(4.7973, device='cuda:0')"
16,1.4759425290283703,49.43253467843632,"tensor(0.2710, device='cuda:0')","tensor(4.8833, device='cuda:0')"
17,1.4552483108072054,49.591331558544674,"tensor(0.4576, device='cuda:0')","tensor(4.7856, device='cuda:0')"
18,1.5453416914457367,47.19069637102424,"tensor(0.5690, device='cuda:0')","tensor(4.8019, device='cuda:0')"
19,1.6191316335683776,46.31731353042829,"tensor(0.3334, device='cuda:0')","tensor(5.3371, device='cuda:0')"
20,1.6353719287684985,46.47143991406286,"tensor(0.3621, device='cuda:0')","tensor(5.8812, device='cuda:0')"
21,1.6389265589061237,46.125823175003504,"tensor(0.1562, device='cuda:0')","tensor(6.2075, device='cuda:0')"
22,1.7250740276206107,45.72883097473262,"tensor(0.2452, device='cuda:0')","tensor(6.2513, device='cuda:0')"
23,1.6759975080688794,48.20886460230722,"tensor(0.2990, device='cuda:0')","tensor(6.5577, device='cuda:0')"
24,1.67701688905557,49.824856382233435,"tensor(0.3875, device='cuda:0')","tensor(6.1834, device='cuda:0')"
25,1.6873264736717655,50.3199290084536,"tensor(0.5590, device='cuda:0')","tensor(5.7771, device='cuda:0')"
26,1.627195394819691,51.0905609266265,"tensor(0.3659, device='cuda:0')","tensor(5.7033, device='cuda:0')"
27,1.4742149082677705,53.70136845546681,"tensor(0.3179, device='cuda:0')","tensor(5.5644, device='cuda:0')"
28,1.3430570789745875,56.42426789967774,"tensor(0.5689, device='cuda:0')","tensor(5.3719, device='cuda:0')"
29,1.3438256386490095,55.59291952734576,"tensor(0.3600, device='cuda:0')","tensor(5.6599, device='cuda:0')"
30,1.341216066408725,55.690999953295034,"tensor(0.0920, device='cuda:0')","tensor(5.9392, device='cuda:0')"
31,1.3794151596015407,55.82644435103452,"tensor(0.3246, device='cuda:0')","tensor(5.9014, device='cuda:0')"
32,1.4777438433042593,56.52701882210079,"tensor(0.1076, device='cuda:0')","tensor(5.5713, device='cuda:0')"
33,1.401747594277064,56.793237121105975,"tensor(0.3455, device='cuda:0')","tensor(5.5949, device='cuda:0')"
34,1.4393898961799485,55.961888748773994,"tensor(0.1198, device='cuda:0')","tensor(5.5531, device='cuda:0')"
35,1.5877330998579662,55.08850590817804,"tensor(0.1670, device='cuda:0')","tensor(5.8185, device='cuda:0')"
36,1.461711212283089,55.78440988277054,"tensor(0.5703, device='cuda:0')","tensor(6.1974, device='cuda:0')"
37,1.4260584673001653,54.780253140908876,"tensor(0.4091, device='cuda:0')","tensor(5.4541, device='cuda:0')"
38,1.5908227740299135,46.16785764326748,"tensor(0.0474, device='cuda:0')","tensor(5.1891, device='cuda:0')"
39,1.8032640516757965,38.12993321190042,"tensor(0.0880, device='cuda:0')","tensor(5.3590, device='cuda:0')"
40,2.016089869751817,34.17869319508664,"tensor(0.0252, device='cuda:0')","tensor(5.8327, device='cuda:0')"
41,2.4826614980896315,31.843444958199058,"tensor(0.1903, device='cuda:0')","tensor(6.1549, device='cuda:0')"
42,2.5028285760255087,32.14235673252067,"tensor(0.0860, device='cuda:0')","tensor(7.2011, device='cuda:0')"
43,2.263782803501402,34.23473915277194,"tensor(0.2552, device='cuda:0')","tensor(7.1856, device='cuda:0')"
44,2.2165299426941645,34.183363691560416,"tensor(0.0953, device='cuda:0')","tensor(6.0602, device='cuda:0')"
45,2.1685047972769964,33.716314044182894,"tensor(0.2554, device='cuda:0')","tensor(6.0046, device='cuda:0')"
46,2.055116609803268,34.03390780439961,"tensor(0.2216, device='cuda:0')","tensor(6.0562, device='cuda:0')"
47,1.9494350062949317,33.52015319228434,"tensor(0.2333, device='cuda:0')","tensor(5.7257, device='cuda:0')"
48,1.8731858520990325,32.445939003316056,"tensor(0.1436, device='cuda:0')","tensor(5.5277, device='cuda:0')"
49,1.7747444609800975,32.13768623604689,"tensor(0.1059, device='cuda:0')","tensor(5.7141, device='cuda:0')"
50,1.6832242178775014,32.511325953948905,"tensor(-0.1413, device='cuda:0')","tensor(6.0132, device='cuda:0')"
51,1.5695564459477152,41.89435336976321,"tensor(0.2023, device='cuda:0')","tensor(5.8073, device='cuda:0')"
52,1.5728049657884098,52.720564195974035,"tensor(0.1346, device='cuda:0')","tensor(5.5722, device='cuda:0')"
53,1.6604893569435393,47.3868572229228,"tensor(0.4264, device='cuda:0')","tensor(5.4366, device='cuda:0')"
