Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,3.7476324552581426,26.252860679090187,"tensor(0.1309, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,2.617474091727109,34.500957451777126,"tensor(2.0972, device='cuda:0')","tensor(13.7403, device='cuda:0')"
3,1.9997004831121081,50.389986455560226,"tensor(1.0864, device='cuda:0')","tensor(8.4118, device='cuda:0')"
4,1.8867847862697782,52.37494745691467,"tensor(0.8089, device='cuda:0')","tensor(8.7910, device='cuda:0')"
5,1.9049370373998369,52.767269160711784,"tensor(0.9569, device='cuda:0')","tensor(5.8684, device='cuda:0')"
6,1.5565704153407187,56.938022511793,"tensor(0.5832, device='cuda:0')","tensor(5.3518, device='cuda:0')"
7,1.507718176359222,55.933865769931344,"tensor(0.6400, device='cuda:0')","tensor(3.8535, device='cuda:0')"
8,1.6105404625691118,54.54672831722012,"tensor(0.6971, device='cuda:0')","tensor(4.4157, device='cuda:0')"
9,1.9571575600476492,39.02199803839148,"tensor(0.5853, device='cuda:0')","tensor(5.0667, device='cuda:0')"
10,2.0826764919218563,48.54514034841904,"tensor(0.5085, device='cuda:0')","tensor(5.4140, device='cuda:0')"
11,4.080065410052027,26.528419971042922,"tensor(0.9856, device='cuda:0')","tensor(6.0875, device='cuda:0')"
12,3.281506459273043,22.306291158750174,"tensor(2.2469, device='cuda:0')","tensor(9.4386, device='cuda:0')"
13,3.1788594893046787,38.578300873382844,"tensor(3.0074, device='cuda:0')","tensor(10.1793, device='cuda:0')"
14,3.584837426032339,38.9799635701275,"tensor(3.4227, device='cuda:0')","tensor(12.1152, device='cuda:0')"
15,3.525588339992932,40.68936527952921,"tensor(3.2004, device='cuda:0')","tensor(13.4716, device='cuda:0')"
16,3.176772234340509,43.3235252907384,"tensor(2.5244, device='cuda:0')","tensor(12.9317, device='cuda:0')"
17,2.7059103183093525,45.97169679136892,"tensor(2.1081, device='cuda:0')","tensor(11.4487, device='cuda:0')"
18,2.3608417553561076,46.966512540283034,"tensor(1.7604, device='cuda:0')","tensor(9.0943, device='cuda:0')"
19,2.232279934698627,46.52281537527439,"tensor(1.8661, device='cuda:0')","tensor(8.0172, device='cuda:0')"
20,2.2075124613585926,44.649946289290554,"tensor(3.1493, device='cuda:0')","tensor(8.0757, device='cuda:0')"
21,2.176119580510117,41.52071365186119,"tensor(3.2275, device='cuda:0')","tensor(8.7131, device='cuda:0')"
22,2.6731225564366294,27.00481061136799,"tensor(3.3684, device='cuda:0')","tensor(9.6181, device='cuda:0')"
23,2.625624905384722,36.64004483676615,"tensor(3.6973, device='cuda:0')","tensor(10.9943, device='cuda:0')"
24,2.6583659592128934,35.84606043622437,"tensor(4.4027, device='cuda:0')","tensor(12.8751, device='cuda:0')"
25,2.6914149973364103,37.480734202045674,"tensor(4.1854, device='cuda:0')","tensor(13.5621, device='cuda:0')"
26,2.4724530435743786,39.5824576152445,"tensor(4.5055, device='cuda:0')","tensor(13.0137, device='cuda:0')"
27,2.403295435011387,42.029797767502686,"tensor(3.3932, device='cuda:0')","tensor(11.3617, device='cuda:0')"
28,2.2403889078469503,44.967540049507264,"tensor(3.4671, device='cuda:0')","tensor(10.7855, device='cuda:0')"
29,2.075863939665613,45.92499182663117,"tensor(2.6224, device='cuda:0')","tensor(9.5352, device='cuda:0')"
30,2.115415062223162,43.44495819905656,"tensor(2.6919, device='cuda:0')","tensor(8.5690, device='cuda:0')"
31,1.9222645958264668,45.68679650646864,"tensor(0.5973, device='cuda:0')","tensor(8.2594, device='cuda:0')"
32,2.023697462465082,44.24828359254589,"tensor(2.3973, device='cuda:0')","tensor(7.7831, device='cuda:0')"
33,1.82207072135948,39.694549530615106,"tensor(2.8860, device='cuda:0')","tensor(9.0267, device='cuda:0')"
34,2.4187280244770504,29.807108495633084,"tensor(1.0828, device='cuda:0')","tensor(6.5348, device='cuda:0')"
35,2.5648800255287263,29.410116295362197,"tensor(0.1173, device='cuda:0')","tensor(6.5807, device='cuda:0')"
36,2.5232609794253396,29.606277147260755,"tensor(0.2417, device='cuda:0')","tensor(6.6127, device='cuda:0')"
