Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.506141177068154,48.88629465328041,0,0
1,1.506141177068154,48.88629465328041,"tensor(-0.0969, device='cuda:0')","tensor(1.3131, device='cuda:0')"
2,1.521306207492238,47.83095960775157,"tensor(-0.0969, device='cuda:0')","tensor(1.3131, device='cuda:0')"
3,1.5366807689978963,47.872986224608916,"tensor(-0.0438, device='cuda:0')","tensor(1.3455, device='cuda:0')"
4,1.529349983448074,48.31193088956339,"tensor(-0.0827, device='cuda:0')","tensor(1.3626, device='cuda:0')"
5,1.5255780106499082,48.50338547746907,"tensor(-0.0730, device='cuda:0')","tensor(1.3240, device='cuda:0')"
6,1.5395880800982316,48.003735699276206,"tensor(-0.0609, device='cuda:0')","tensor(1.3021, device='cuda:0')"
7,1.5549460362110819,47.53677328975017,"tensor(-0.0656, device='cuda:0')","tensor(1.3139, device='cuda:0')"
8,1.561833453675111,47.13518561755779,"tensor(-0.0781, device='cuda:0')","tensor(1.3241, device='cuda:0')"
9,1.5643690899014473,46.91104366098529,"tensor(-0.0878, device='cuda:0')","tensor(1.3065, device='cuda:0')"
10,1.56908959806675,46.60751809479337,"tensor(-0.0879, device='cuda:0')","tensor(1.2954, device='cuda:0')"
11,1.569274999023903,46.47209899603082,"tensor(-0.0778, device='cuda:0')","tensor(1.2953, device='cuda:0')"
12,1.5676625388718786,46.406724258697174,"tensor(-0.0636, device='cuda:0')","tensor(1.2931, device='cuda:0')"
13,1.5660418743888538,46.523464861078686,"tensor(-0.0486, device='cuda:0')","tensor(1.2944, device='cuda:0')"
14,1.56101781945853,46.602848470698106,"tensor(-0.0350, device='cuda:0')","tensor(1.2902, device='cuda:0')"
15,1.5553399249911308,46.99042727060472,"tensor(-0.0131, device='cuda:0')","tensor(1.2909, device='cuda:0')"
16,1.5489779859781265,47.40602381508288,"tensor(0.0038, device='cuda:0')","tensor(1.2894, device='cuda:0')"
17,1.5452884316799187,47.73289750175111,"tensor(0.0196, device='cuda:0')","tensor(1.2826, device='cuda:0')"
18,1.5437890209612393,47.71421900537007,"tensor(0.0357, device='cuda:0')","tensor(1.2840, device='cuda:0')"
19,1.5427992329711007,47.676862012607984,"tensor(0.0518, device='cuda:0')","tensor(1.2848, device='cuda:0')"
20,1.5442654866547811,47.33130982955872,"tensor(0.0677, device='cuda:0')","tensor(1.2853, device='cuda:0')"
21,1.5461351112240838,47.0044361428905,"tensor(0.0841, device='cuda:0')","tensor(1.2825, device='cuda:0')"
22,1.549585485387416,46.831660051365866,"tensor(0.0978, device='cuda:0')","tensor(1.2854, device='cuda:0')"
23,1.5512919894286565,46.85967779593743,"tensor(0.1079, device='cuda:0')","tensor(1.2865, device='cuda:0')"
24,1.5493372948396773,46.953070277842635,"tensor(0.1201, device='cuda:0')","tensor(1.2812, device='cuda:0')"
25,1.5468718523070926,47.2986224608919,"tensor(0.1244, device='cuda:0')","tensor(1.2796, device='cuda:0')"
26,1.544941481025446,47.25659584403456,"tensor(0.1259, device='cuda:0')","tensor(1.2790, device='cuda:0')"
27,1.5451152924270857,47.401354190987625,"tensor(0.1231, device='cuda:0')","tensor(1.2788, device='cuda:0')"
28,1.5474225513282276,47.093159000700446,"tensor(0.1129, device='cuda:0')","tensor(1.2780, device='cuda:0')"
29,1.5506849008656682,47.10249824889097,"tensor(0.0983, device='cuda:0')","tensor(1.2730, device='cuda:0')"
30,1.553596089638415,46.87368666822321,"tensor(0.0818, device='cuda:0')","tensor(1.2736, device='cuda:0')"
31,1.5541911440945806,47.03245388746206,"tensor(0.0641, device='cuda:0')","tensor(1.2699, device='cuda:0')"
