Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5477682451407115,51.120011176826715,0,0
1,4.375175922754265,32.59442090066595,"tensor(0.0002, device='cuda:0')","tensor(0.8174, device='cuda:0')"
2,2.3078193907581626,39.02109626042006,"tensor(0.0059, device='cuda:0')","tensor(17.8292, device='cuda:0')"
3,2.147773618499438,43.24034834443254,"tensor(0.0023, device='cuda:0')","tensor(5.4443, device='cuda:0')"
4,2.0207419766201857,44.325431937782334,"tensor(0.0028, device='cuda:0')","tensor(4.2175, device='cuda:0')"
5,1.8982156376753534,44.022726214315654,"tensor(0.0022, device='cuda:0')","tensor(3.2966, device='cuda:0')"
6,1.8807563613213243,41.99692637265403,"tensor(0.0028, device='cuda:0')","tensor(2.8912, device='cuda:0')"
7,1.8481804375492392,41.223862525031436,"tensor(0.0030, device='cuda:0')","tensor(3.0579, device='cuda:0')"
8,1.7534213791645707,41.852559027616074,"tensor(0.0036, device='cuda:0')","tensor(3.1655, device='cuda:0')"
9,1.6409698004523914,43.10063801052485,"tensor(0.0035, device='cuda:0')","tensor(2.9968, device='cuda:0')"
10,1.5594623764710767,44.10655241466027,"tensor(0.0042, device='cuda:0')","tensor(2.7253, device='cuda:0')"
11,1.5220338462718896,44.60019559446747,"tensor(0.0043, device='cuda:0')","tensor(2.5067, device='cuda:0')"
12,1.5206732994743757,45.0798677408839,"tensor(0.0041, device='cuda:0')","tensor(2.3503, device='cuda:0')"
13,1.5391751813391845,44.76784799515671,"tensor(0.0048, device='cuda:0')","tensor(2.2277, device='cuda:0')"
14,1.5624368754880769,44.23694872630745,"tensor(0.0049, device='cuda:0')","tensor(2.1269, device='cuda:0')"
15,1.5827159242970603,43.39868672286127,"tensor(0.0047, device='cuda:0')","tensor(2.0534, device='cuda:0')"
16,1.5976503681214083,42.07143855073814,"tensor(0.0048, device='cuda:0')","tensor(2.0015, device='cuda:0')"
17,1.6061404304844993,40.94444185721604,"tensor(0.0046, device='cuda:0')","tensor(1.9694, device='cuda:0')"
18,1.603335049535547,40.54393890001397,"tensor(0.0047, device='cuda:0')","tensor(1.9413, device='cuda:0')"
19,1.5908481365158444,40.744190378615,"tensor(0.0047, device='cuda:0')","tensor(1.9113, device='cuda:0')"
20,1.57132492462794,41.50328319284683,"tensor(0.0045, device='cuda:0')","tensor(1.8827, device='cuda:0')"
21,1.549190625370968,42.597680808457135,"tensor(0.0053, device='cuda:0')","tensor(1.8564, device='cuda:0')"
22,1.528661508822725,43.75261956876077,"tensor(0.0046, device='cuda:0')","tensor(1.8267, device='cuda:0')"
23,1.5098522731236048,44.54896847203465,"tensor(0.0050, device='cuda:0')","tensor(1.7806, device='cuda:0')"
24,1.4981779126184327,45.10780980766544,"tensor(0.0047, device='cuda:0')","tensor(1.7274, device='cuda:0')"
25,1.4956236973050094,45.578167931821355,"tensor(0.0048, device='cuda:0')","tensor(1.6637, device='cuda:0')"
26,1.503393779730513,45.85293158850649,"tensor(0.0046, device='cuda:0')","tensor(1.6117, device='cuda:0')"
27,1.5153445420520646,46.020583989195735,"tensor(0.0041, device='cuda:0')","tensor(1.5827, device='cuda:0')"
28,1.5271641218236514,46.16029432310343,"tensor(0.0049, device='cuda:0')","tensor(1.5673, device='cuda:0')"
29,1.5355721912568523,45.908815722069576,"tensor(0.0044, device='cuda:0')","tensor(1.5578, device='cuda:0')"
30,1.5352515642132079,45.84361756624598,"tensor(0.0044, device='cuda:0')","tensor(1.5368, device='cuda:0')"
31,1.5309509904611678,45.87155963302752,"tensor(0.0037, device='cuda:0')","tensor(1.5074, device='cuda:0')"
32,1.5245665084748041,45.96469985563265,"tensor(0.0038, device='cuda:0')","tensor(1.4658, device='cuda:0')"
33,1.5175535925442265,46.141666278582406,"tensor(0.0036, device='cuda:0')","tensor(1.4336, device='cuda:0')"
34,1.5111791656485625,46.416429935267544,"tensor(0.0038, device='cuda:0')","tensor(1.4091, device='cuda:0')"
35,1.5093942304097472,46.565454291435756,"tensor(0.0036, device='cuda:0')","tensor(1.3876, device='cuda:0')"
36,1.513291034847498,46.55148325804499,"tensor(0.0031, device='cuda:0')","tensor(1.3612, device='cuda:0')"
37,1.5220466937337602,46.33726074605318,"tensor(0.0030, device='cuda:0')","tensor(1.3409, device='cuda:0')"
38,1.5341219696260633,46.12769524519164,"tensor(0.0030, device='cuda:0')","tensor(1.3203, device='cuda:0')"
39,1.5449880577978634,45.65733712103572,"tensor(0.0033, device='cuda:0')","tensor(1.3043, device='cuda:0')"
40,1.5540194472386724,45.3592884086993,"tensor(0.0035, device='cuda:0')","tensor(1.2845, device='cuda:0')"
41,1.561245359480381,45.13575187444698,"tensor(0.0029, device='cuda:0')","tensor(1.2711, device='cuda:0')"
42,1.5664311771591504,44.95412844036697,"tensor(0.0032, device='cuda:0')","tensor(1.2519, device='cuda:0')"
43,1.5683098078838416,44.99604154053928,"tensor(0.0028, device='cuda:0')","tensor(1.2322, device='cuda:0')"
44,1.5652894209183397,45.3592884086993,"tensor(0.0028, device='cuda:0')","tensor(1.2134, device='cuda:0')"
45,1.5633738489732856,45.61076700973315,"tensor(0.0034, device='cuda:0')","tensor(1.1901, device='cuda:0')"
46,1.5606141053140163,46.0997531784101,"tensor(0.0029, device='cuda:0')","tensor(1.1690, device='cuda:0')"
47,1.559736535307907,46.4210869463978,"tensor(0.0026, device='cuda:0')","tensor(1.1502, device='cuda:0')"
48,1.5594540538177604,46.77967680342756,"tensor(0.0024, device='cuda:0')","tensor(1.1360, device='cuda:0')"
49,1.5560613588563033,46.9473292041168,"tensor(0.0026, device='cuda:0')","tensor(1.1222, device='cuda:0')"
50,1.5552639335039116,47.20812182741117,"tensor(0.0028, device='cuda:0')","tensor(1.1045, device='cuda:0')"
