Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,0.9324894362971896,67.24580822941479,"tensor(0.2115, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,1.0055931210517883,65.46634907290645,"tensor(0.3997, device='cuda:0')","tensor(1.4139, device='cuda:0')"
3,1.02540774173325,64.873196020737,"tensor(0.3112, device='cuda:0')","tensor(0.9821, device='cuda:0')"
4,0.9553822672792843,65.83064779786092,"tensor(0.1659, device='cuda:0')","tensor(1.0965, device='cuda:0')"
5,0.9118191230864752,66.91887347625052,"tensor(0.3299, device='cuda:0')","tensor(0.8598, device='cuda:0')"
6,0.8959580621726456,67.40460510952315,"tensor(0.1295, device='cuda:0')","tensor(0.8876, device='cuda:0')"
7,0.8955473035928749,67.38125262715427,"tensor(0.1407, device='cuda:0')","tensor(0.9172, device='cuda:0')"
8,0.9231481484714008,66.35374340292373,"tensor(0.2849, device='cuda:0')","tensor(0.8036, device='cuda:0')"
9,0.9611850574257828,65.48970155527533,"tensor(0.1143, device='cuda:0')","tensor(0.7716, device='cuda:0')"
10,0.9761208177854618,65.26551772453412,"tensor(0.2385, device='cuda:0')","tensor(0.8348, device='cuda:0')"
11,0.9656651028032813,65.78394283312316,"tensor(0.0965, device='cuda:0')","tensor(0.8252, device='cuda:0')"
12,0.947214506211735,66.3957778711877,"tensor(0.3270, device='cuda:0')","tensor(0.7411, device='cuda:0')"
13,0.9316146279729548,66.8861800009341,"tensor(0.2398, device='cuda:0')","tensor(0.6890, device='cuda:0')"
14,0.9237276995998054,67.25047872588856,"tensor(0.2164, device='cuda:0')","tensor(0.7167, device='cuda:0')"
15,0.9180923196531477,67.41394610247069,"tensor(0.0922, device='cuda:0')","tensor(0.7718, device='cuda:0')"
16,0.915032162730183,67.31586567652141,"tensor(0.2104, device='cuda:0')","tensor(0.7664, device='cuda:0')"
17,0.9196200965948048,67.22245574704591,"tensor(0.2203, device='cuda:0')","tensor(0.7070, device='cuda:0')"
18,0.9285832341050818,66.867498015039,"tensor(0.2072, device='cuda:0')","tensor(0.6671, device='cuda:0')"
19,0.9349016144516922,66.61529120545514,"tensor(0.2578, device='cuda:0')","tensor(0.6788, device='cuda:0')"
20,0.9314955417953786,66.64798468077157,"tensor(0.2358, device='cuda:0')","tensor(0.6997, device='cuda:0')"
21,0.919851708358952,66.96557844098828,"tensor(0.2366, device='cuda:0')","tensor(0.6989, device='cuda:0')"
22,0.9111283653903575,67.23646723646723,"tensor(0.2317, device='cuda:0')","tensor(0.6784, device='cuda:0')"
23,0.9091390376644475,67.24113773294101,"tensor(0.2876, device='cuda:0')","tensor(0.6680, device='cuda:0')"
24,0.9149165697218407,67.04030638456868,"tensor(0.2393, device='cuda:0')","tensor(0.6661, device='cuda:0')"
25,0.924583507790452,66.76941758908973,"tensor(0.3670, device='cuda:0')","tensor(0.6587, device='cuda:0')"
26,0.9350700548716954,66.52188127597964,"tensor(0.2186, device='cuda:0')","tensor(0.6533, device='cuda:0')"
27,0.9415390344247931,66.3584138993975,"tensor(0.1384, device='cuda:0')","tensor(0.6595, device='cuda:0')"
28,0.9387965976659741,66.38176638176638,"tensor(0.3455, device='cuda:0')","tensor(0.6624, device='cuda:0')"
29,0.9304250735966932,66.78809957498483,"tensor(0.2460, device='cuda:0')","tensor(0.6510, device='cuda:0')"
30,0.9225105319526934,66.96557844098828,"tensor(0.1109, device='cuda:0')","tensor(0.6348, device='cuda:0')"
