Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5060345145563285,54.53189108541589,0,0
1,1.3585633839524927,55.1473330846699,"tensor(0.7251, device='cuda:0')","tensor(0.8466, device='cuda:0')"
2,1.5060175396502018,54.00037299515106,"tensor(0.7928, device='cuda:0')","tensor(1.7824, device='cuda:0')"
3,1.7207216657698154,51.54326743752331,"tensor(0.8071, device='cuda:0')","tensor(0.8665, device='cuda:0')"
4,1.7112272280667509,51.63185378590078,"tensor(0.8312, device='cuda:0')","tensor(1.3296, device='cuda:0')"
5,1.5924338664682138,53.28701976874301,"tensor(0.6750, device='cuda:0')","tensor(1.3448, device='cuda:0')"
6,1.471667582790057,54.606490115628496,"tensor(0.7518, device='cuda:0')","tensor(1.0330, device='cuda:0')"
7,1.394300337703455,55.11469600895188,"tensor(0.6767, device='cuda:0')","tensor(0.8734, device='cuda:0')"
8,1.365532284868615,55.436404326743755,"tensor(0.7449, device='cuda:0')","tensor(0.9597, device='cuda:0')"
9,1.3694299094911133,55.427079447967174,"tensor(0.7965, device='cuda:0')","tensor(1.0986, device='cuda:0')"
10,1.3981360095952238,55.16598284222305,"tensor(0.6489, device='cuda:0')","tensor(1.0903, device='cuda:0')"
11,1.4450992477082072,54.890898918314065,"tensor(0.6605, device='cuda:0')","tensor(0.9731, device='cuda:0')"
12,1.5005354301205702,54.205520328235735,"tensor(0.7497, device='cuda:0')","tensor(0.8659, device='cuda:0')"
13,1.54681650833005,53.869824692279,"tensor(0.6668, device='cuda:0')","tensor(0.8529, device='cuda:0')"
14,1.5682384295477754,53.538791495710555,"tensor(0.6436, device='cuda:0')","tensor(0.9022, device='cuda:0')"
15,1.5577487250169118,53.57609101081686,"tensor(0.6227, device='cuda:0')","tensor(0.9457, device='cuda:0')"
16,1.5205816890866983,54.05165982842223,"tensor(0.8144, device='cuda:0')","tensor(0.9301, device='cuda:0')"
17,1.4757536440378143,54.33140619171951,"tensor(0.7558, device='cuda:0')","tensor(0.8691, device='cuda:0')"
18,1.4359246472872438,54.66710182767624,"tensor(0.7704, device='cuda:0')","tensor(0.8236, device='cuda:0')"
19,1.4108121641689824,54.78366281238344,"tensor(0.7035, device='cuda:0')","tensor(0.8274, device='cuda:0')"
20,1.4055624613094897,55.01212234240955,"tensor(0.8080, device='cuda:0')","tensor(0.8615, device='cuda:0')"
21,1.4151637426444463,55.10537113017531,"tensor(0.6036, device='cuda:0')","tensor(0.8799, device='cuda:0')"
22,1.438421017534676,54.914211115255505,"tensor(0.6796, device='cuda:0')","tensor(0.8566, device='cuda:0')"
23,1.4710335066275937,54.629802312569936,"tensor(0.8653, device='cuda:0')","tensor(0.8134, device='cuda:0')"
24,1.5008644713532358,54.35471838866095,"tensor(0.6481, device='cuda:0')","tensor(0.7932, device='cuda:0')"
25,1.5177422410675458,54.345393509884374,"tensor(0.6038, device='cuda:0')","tensor(0.8043, device='cuda:0')"
26,1.5148313080980664,54.45262961581499,"tensor(0.6726, device='cuda:0')","tensor(0.8223, device='cuda:0')"
27,1.4936616960025968,54.44796717642671,"tensor(0.9059, device='cuda:0')","tensor(0.8151, device='cuda:0')"
28,1.4655800885742618,54.77900037299515,"tensor(0.7014, device='cuda:0')","tensor(0.7930, device='cuda:0')"
29,1.4420274015338648,54.9934725848564,"tensor(0.8348, device='cuda:0')","tensor(0.7798, device='cuda:0')"
30,1.4304683781450702,55.04475941812756,"tensor(0.7755, device='cuda:0')","tensor(0.7875, device='cuda:0')"
31,1.430716004577421,54.96549794852667,"tensor(0.6713, device='cuda:0')","tensor(0.7975, device='cuda:0')"
32,1.443713845596427,54.80697500932488,"tensor(0.6360, device='cuda:0')","tensor(0.7972, device='cuda:0')"
33,1.4643050128860133,54.57851547929877,"tensor(0.6794, device='cuda:0')","tensor(0.7829, device='cuda:0')"
34,1.4844775258430414,54.40600522193211,"tensor(0.7799, device='cuda:0')","tensor(0.7711, device='cuda:0')"
35,1.495629729082187,54.30343155538978,"tensor(0.9527, device='cuda:0')","tensor(0.7666, device='cuda:0')"
36,1.49539184960581,54.31275643416635,"tensor(0.6955, device='cuda:0')","tensor(0.7720, device='cuda:0')"
37,1.4842018815023559,54.40600522193211,"tensor(0.6883, device='cuda:0')","tensor(0.7696, device='cuda:0')"
38,1.4670531904058797,54.68575158522939,"tensor(0.6990, device='cuda:0')","tensor(0.7630, device='cuda:0')"
39,1.4518412163569814,54.8349496456546,"tensor(0.7298, device='cuda:0')","tensor(0.7571, device='cuda:0')"
40,1.4467809993241514,54.699738903394255,"tensor(0.7677, device='cuda:0')","tensor(0.7578, device='cuda:0')"
41,1.451547941281682,54.54121596419247,"tensor(0.7565, device='cuda:0')","tensor(0.7626, device='cuda:0')"
42,1.4642504976973647,54.54587840358075,"tensor(0.6227, device='cuda:0')","tensor(0.7596, device='cuda:0')"
43,1.4790291995519684,54.33606863110779,"tensor(0.8415, device='cuda:0')","tensor(0.7508, device='cuda:0')"
44,1.4923711953063805,54.252144722118615,"tensor(0.8029, device='cuda:0')","tensor(0.7468, device='cuda:0')"
45,1.4954248934629417,54.275456919060055,"tensor(0.7404, device='cuda:0')","tensor(0.7468, device='cuda:0')"
46,1.4897522048226424,54.33140619171951,"tensor(0.8389, device='cuda:0')","tensor(0.7461, device='cuda:0')"
47,1.4771513307378406,54.48060425214472,"tensor(0.7870, device='cuda:0')","tensor(0.7446, device='cuda:0')"
48,1.4629856548493816,54.6437896307348,"tensor(0.7630, device='cuda:0')","tensor(0.7413, device='cuda:0')"
49,1.456107264118535,54.80697500932488,"tensor(0.7306, device='cuda:0')","tensor(0.7408, device='cuda:0')"
