Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,0.9881964150284018,66.52655177245342,"tensor(0.1216, device='cuda:0')","tensor(0.6734, device='cuda:0')"
2,0.9055720874596209,68.08649759469432,"tensor(0.1106, device='cuda:0')","tensor(2.3841, device='cuda:0')"
3,1.072940883625831,64.32674793330531,"tensor(0.0988, device='cuda:0')","tensor(0.7311, device='cuda:0')"
4,1.0955246503331832,63.88772126477045,"tensor(0.1020, device='cuda:0')","tensor(1.4569, device='cuda:0')"
5,1.008167501538992,65.12073233384709,"tensor(0.0959, device='cuda:0')","tensor(1.6026, device='cuda:0')"
6,0.9306094694350447,66.4331418429779,"tensor(0.1102, device='cuda:0')","tensor(1.1027, device='cuda:0')"
7,0.9037891122556868,67.0729998598851,"tensor(0.0867, device='cuda:0')","tensor(0.8042, device='cuda:0')"
8,0.9056426941284111,66.95623744804072,"tensor(0.1057, device='cuda:0')","tensor(0.8947, device='cuda:0')"
9,0.9098402809883867,67.14305730699174,"tensor(0.1035, device='cuda:0')","tensor(1.0863, device='cuda:0')"
10,0.9134863089947474,66.82079305030125,"tensor(0.0949, device='cuda:0')","tensor(1.1120, device='cuda:0')"
11,0.9213341060316279,66.68534865256177,"tensor(0.0999, device='cuda:0')","tensor(0.9957, device='cuda:0')"
12,0.9390605178085112,66.1342300686563,"tensor(0.1032, device='cuda:0')","tensor(0.8571, device='cuda:0')"
13,0.9602930626521508,65.7746018401756,"tensor(0.0849, device='cuda:0')","tensor(0.7922, device='cuda:0')"
14,0.9745312867952245,65.70921488954276,"tensor(0.1104, device='cuda:0')","tensor(0.8062, device='cuda:0')"
15,0.9720779530526626,65.74190836485919,"tensor(0.1121, device='cuda:0')","tensor(0.8422, device='cuda:0')"
16,0.958112913760401,66.19961701928915,"tensor(0.0912, device='cuda:0')","tensor(0.8549, device='cuda:0')"
17,0.9349967562371776,66.76007659614217,"tensor(0.0948, device='cuda:0')","tensor(0.8286, device='cuda:0')"
18,0.9136628116525355,67.42328709541825,"tensor(0.1112, device='cuda:0')","tensor(0.7875, device='cuda:0')"
19,0.8986741427686953,67.87165475690065,"tensor(0.0958, device='cuda:0')","tensor(0.7704, device='cuda:0')"
20,0.8901396910881713,68.2032600065387,"tensor(0.1026, device='cuda:0')","tensor(0.7649, device='cuda:0')"
21,0.8902178803192717,67.93704170753351,"tensor(0.1013, device='cuda:0')","tensor(0.7621, device='cuda:0')"
22,0.89830793404863,67.71752837326608,"tensor(0.1056, device='cuda:0')","tensor(0.7437, device='cuda:0')"
23,0.9137077156809115,67.11970482462286,"tensor(0.0826, device='cuda:0')","tensor(0.7248, device='cuda:0')"
24,0.9325180572590658,66.4705058147681,"tensor(0.0967, device='cuda:0')","tensor(0.7218, device='cuda:0')"
25,0.946430926699014,65.96142169912662,"tensor(0.1218, device='cuda:0')","tensor(0.7306, device='cuda:0')"
26,0.952668907386916,65.86801176965112,"tensor(0.0984, device='cuda:0')","tensor(0.7347, device='cuda:0')"
27,0.9499644449069387,66.03614964270702,"tensor(0.0863, device='cuda:0')","tensor(0.7202, device='cuda:0')"
28,0.9428633465653374,66.05483162860212,"tensor(0.0979, device='cuda:0')","tensor(0.6961, device='cuda:0')"
29,0.9321857729838008,66.34440240997618,"tensor(0.1035, device='cuda:0')","tensor(0.6816, device='cuda:0')"
30,0.9223413837275335,66.67133716314044,"tensor(0.0991, device='cuda:0')","tensor(0.6813, device='cuda:0')"
31,0.9150089377626067,66.9422259586194,"tensor(0.0983, device='cuda:0')","tensor(0.6910, device='cuda:0')"
32,0.9104831060838132,67.25514922236233,"tensor(0.1091, device='cuda:0')","tensor(0.6965, device='cuda:0')"
33,0.9088396043294952,67.33454766241651,"tensor(0.0980, device='cuda:0')","tensor(0.6858, device='cuda:0')"
34,0.9110158610911596,67.28784269767877,"tensor(0.0860, device='cuda:0')","tensor(0.6648, device='cuda:0')"
35,0.916510676166841,67.18976227172948,"tensor(0.0930, device='cuda:0')","tensor(0.6493, device='cuda:0')"
36,0.9233186499526104,67.02629489514736,"tensor(0.0954, device='cuda:0')","tensor(0.6488, device='cuda:0')"
37,0.9281468436654124,66.83947503619635,"tensor(0.0987, device='cuda:0')","tensor(0.6582, device='cuda:0')"
38,0.9273084746230216,66.96557844098828,"tensor(0.1016, device='cuda:0')","tensor(0.6621, device='cuda:0')"
