Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,2.462095207756474,33.300667319986935,0,0
1,2.875196811698732,18.77829110084465,"tensor(2.4898, device='cuda:0')","tensor(0.9855, device='cuda:0')"
2,3.2605515853280114,18.577628447431053,"tensor(2.3352, device='cuda:0')","tensor(4.6600, device='cuda:0')"
3,2.4877887435612225,30.930048065705353,"tensor(2.5247, device='cuda:0')","tensor(6.3763, device='cuda:0')"
4,2.7011479703443393,30.07139857202856,"tensor(1.9094, device='cuda:0')","tensor(2.9348, device='cuda:0')"
5,2.631927820543448,29.79140417191656,"tensor(2.2020, device='cuda:0')","tensor(3.3801, device='cuda:0')"
6,2.518917697880949,29.222082225022167,"tensor(2.1362, device='cuda:0')","tensor(2.8439, device='cuda:0')"
7,2.5418683372083164,26.730132064025387,"tensor(1.7361, device='cuda:0')","tensor(2.2620, device='cuda:0')"
8,2.6158882081508636,23.94885435624621,"tensor(1.5354, device='cuda:0')","tensor(2.2208, device='cuda:0')"
9,2.6906170213506337,22.021559568808623,"tensor(1.7569, device='cuda:0')","tensor(2.1790, device='cuda:0')"
10,2.691240574632372,21.16291007513183,"tensor(1.8627, device='cuda:0')","tensor(2.1771, device='cuda:0')"
11,2.626889094000771,21.41023846189743,"tensor(1.6509, device='cuda:0')","tensor(2.1652, device='cuda:0')"
12,2.569154394524438,21.788230902048625,"tensor(1.6566, device='cuda:0')","tensor(2.1086, device='cuda:0')"
13,2.5263971232232594,22.40888515563022,"tensor(1.3923, device='cuda:0')","tensor(2.0813, device='cuda:0')"
14,2.499543694513185,23.388865556022214,"tensor(1.3939, device='cuda:0')","tensor(2.0310, device='cuda:0')"
15,2.4944350637850308,24.359512809743805,"tensor(1.5510, device='cuda:0')","tensor(1.9579, device='cuda:0')"
16,2.487666965950103,25.488823556862197,"tensor(1.5375, device='cuda:0')","tensor(1.9122, device='cuda:0')"
17,2.504725715234166,26.23080871715899,"tensor(1.1904, device='cuda:0')","tensor(1.8825, device='cuda:0')"
18,2.5305126646444913,26.54346913061739,"tensor(1.2079, device='cuda:0')","tensor(1.8509, device='cuda:0')"
19,2.5375352189654397,26.697466050678987,"tensor(1.1954, device='cuda:0')","tensor(1.8392, device='cuda:0')"
20,2.5325340071604368,26.683466330673387,"tensor(1.1048, device='cuda:0')","tensor(1.8397, device='cuda:0')"
21,2.510123935483751,26.795464090718184,"tensor(0.8270, device='cuda:0')","tensor(1.8300, device='cuda:0')"
22,2.4694044614831605,27.136123944187784,"tensor(0.9374, device='cuda:0')","tensor(1.8088, device='cuda:0')"
23,2.458008134294124,27.089458210835783,"tensor(1.1349, device='cuda:0')","tensor(1.7647, device='cuda:0')"
24,2.4839836742196764,26.25414158383499,"tensor(0.8581, device='cuda:0')","tensor(1.7393, device='cuda:0')"
25,2.524661294761158,25.334826636800596,"tensor(0.7853, device='cuda:0')","tensor(1.7051, device='cuda:0')"
26,2.5513417192158245,24.625507489850204,"tensor(0.5748, device='cuda:0')","tensor(1.6780, device='cuda:0')"
27,2.559920133579345,23.916188342899808,"tensor(0.8541, device='cuda:0')","tensor(1.6322, device='cuda:0')"
28,2.59107333528144,23.220868915955013,"tensor(0.8897, device='cuda:0')","tensor(1.6183, device='cuda:0')"
29,2.6214820444583893,22.292220822250222,"tensor(0.8771, device='cuda:0')","tensor(1.5977, device='cuda:0')"
30,2.6353111941189993,21.960894115451023,"tensor(1.0317, device='cuda:0')","tensor(1.5704, device='cuda:0')"
31,2.6393077841826846,21.928228102104626,"tensor(0.7995, device='cuda:0')","tensor(1.5570, device='cuda:0')"
32,2.635441263516744,22.22688879555742,"tensor(0.6475, device='cuda:0')","tensor(1.5491, device='cuda:0')"
33,2.635142113481249,22.79154416911662,"tensor(0.3983, device='cuda:0')","tensor(1.5334, device='cuda:0')"
34,2.646093329503423,23.010873115871014,"tensor(0.7540, device='cuda:0')","tensor(1.5231, device='cuda:0')"
35,2.6645296081191017,23.043539129217415,"tensor(0.7274, device='cuda:0')","tensor(1.5018, device='cuda:0')"
36,2.6731685527733395,23.216202342619813,"tensor(0.6159, device='cuda:0')","tensor(1.4856, device='cuda:0')"
37,2.6815910928306126,23.206869195949416,"tensor(1.0047, device='cuda:0')","tensor(1.4803, device='cuda:0')"
38,2.6726702756824947,23.234868635960613,"tensor(0.7503, device='cuda:0')","tensor(1.4713, device='cuda:0')"
39,2.6536436850825944,23.356199542675814,"tensor(0.7057, device='cuda:0')","tensor(1.4492, device='cuda:0')"
40,2.6472920853467214,23.47286387605581,"tensor(0.4473, device='cuda:0')","tensor(1.4429, device='cuda:0')"
41,2.6456765415413037,23.44019786270941,"tensor(0.2782, device='cuda:0')","tensor(1.4295, device='cuda:0')"
42,2.6263930201530457,23.594194782771012,"tensor(0.4365, device='cuda:0')","tensor(1.4089, device='cuda:0')"
43,2.6273535500679697,23.864856036212608,"tensor(0.5426, device='cuda:0')","tensor(1.4038, device='cuda:0')"
44,2.6075064926629974,24.098184702972606,"tensor(0.3109, device='cuda:0')","tensor(1.3880, device='cuda:0')"
45,2.6253066825724782,24.093518129637406,"tensor(0.3499, device='cuda:0')","tensor(1.3787, device='cuda:0')"
46,2.659924796649388,23.48219702272621,"tensor(0.4319, device='cuda:0')","tensor(1.3757, device='cuda:0')"
47,2.653383120184853,23.076205142563815,"tensor(0.3430, device='cuda:0')","tensor(1.3705, device='cuda:0')"
48,2.6677210955392745,23.094871435904615,"tensor(0.1581, device='cuda:0')","tensor(1.3515, device='cuda:0')"
