Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.3861886399487655,54.50181750396123,0,0
1,1.3315598175284409,55.85329480846305,"tensor(0.1110, device='cuda:0')","tensor(0.8609, device='cuda:0')"
2,1.3918217589103041,54.52045857023022,"tensor(0.1658, device='cuda:0')","tensor(1.2385, device='cuda:0')"
3,1.386135624455554,54.39929163948178,"tensor(0.0958, device='cuda:0')","tensor(1.0465, device='cuda:0')"
4,1.3755101586381595,54.50647777052848,"tensor(0.0601, device='cuda:0')","tensor(0.9458, device='cuda:0')"
5,1.3481626329677445,54.72085003262187,"tensor(0.0448, device='cuda:0')","tensor(0.9577, device='cuda:0')"
6,1.3208008717213358,55.07969055829994,"tensor(0.1180, device='cuda:0')","tensor(0.9774, device='cuda:0')"
7,1.3136773444712162,55.387268151738276,"tensor(0.1378, device='cuda:0')","tensor(0.9655, device='cuda:0')"
8,1.3310025149867648,55.24746015472085,"tensor(0.1033, device='cuda:0')","tensor(0.9171, device='cuda:0')"
9,1.3463993047674496,54.800074564265074,"tensor(0.1154, device='cuda:0')","tensor(0.9171, device='cuda:0')"
10,1.3420144794952302,54.90726069531177,"tensor(-0.0427, device='cuda:0')","tensor(0.9433, device='cuda:0')"
11,1.3294286859177409,54.87463882934104,"tensor(0.1274, device='cuda:0')","tensor(0.9423, device='cuda:0')"
12,1.3132738389429592,55.354646285767544,"tensor(-0.2090, device='cuda:0')","tensor(0.9222, device='cuda:0')"
13,1.316743341762395,55.22881908845186,"tensor(-0.0735, device='cuda:0')","tensor(0.8948, device='cuda:0')"
14,1.3240308429868448,55.261440954422596,"tensor(-0.0388, device='cuda:0')","tensor(0.8872, device='cuda:0')"
15,1.3336681312038785,55.0563892254637,"tensor(-0.1508, device='cuda:0')","tensor(0.8890, device='cuda:0')"
16,1.3389464052660125,54.91192096187902,"tensor(-0.1198, device='cuda:0')","tensor(0.8872, device='cuda:0')"
17,1.342680732763949,54.63230496784416,"tensor(-0.1510, device='cuda:0')","tensor(0.8911, device='cuda:0')"
18,1.3426725887471722,54.71152949948737,"tensor(0.0456, device='cuda:0')","tensor(0.8981, device='cuda:0')"
19,1.3344612275915486,55.037748159194706,"tensor(0.0349, device='cuda:0')","tensor(0.8992, device='cuda:0')"
20,1.3290630499167102,55.10765215770342,"tensor(-0.0155, device='cuda:0')","tensor(0.8871, device='cuda:0')"
21,1.336938346603087,55.238139621586356,"tensor(-0.0521, device='cuda:0')","tensor(0.9094, device='cuda:0')"
22,1.346516903489828,54.94454282784975,"tensor(-0.1166, device='cuda:0')","tensor(0.9139, device='cuda:0')"
23,1.3562056608498096,54.627644701276914,"tensor(0.0147, device='cuda:0')","tensor(0.9127, device='cuda:0')"
24,1.3609195956516833,54.57638176903719,"tensor(-0.1149, device='cuda:0')","tensor(0.8682, device='cuda:0')"
25,1.3659267478755541,54.33404790754031,"tensor(-0.0277, device='cuda:0')","tensor(0.8487, device='cuda:0')"
26,1.3655703743653638,54.30608630813683,"tensor(0.1338, device='cuda:0')","tensor(0.8523, device='cuda:0')"
27,1.3545540558795135,54.69288843321838,"tensor(0.0143, device='cuda:0')","tensor(0.8715, device='cuda:0')"
28,1.3419514364075094,55.05172895889645,"tensor(-0.0246, device='cuda:0')","tensor(0.8818, device='cuda:0')"
29,1.3396647327712603,55.261440954422596,"tensor(0.0063, device='cuda:0')","tensor(0.8801, device='cuda:0')"
30,1.347800029175622,55.214838288750116,"tensor(0.0669, device='cuda:0')","tensor(0.8439, device='cuda:0')"
31,1.3533054079328264,54.995805760089475,"tensor(-0.0502, device='cuda:0')","tensor(0.8252, device='cuda:0')"
32,1.3520443205322539,54.660266567247646,"tensor(-0.0627, device='cuda:0')","tensor(0.8339, device='cuda:0')"
33,1.3453169401202882,54.74881163202535,"tensor(0.0353, device='cuda:0')","tensor(0.8528, device='cuda:0')"
