Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.0887061109145482,67.4683072334079,0,0
1,2.1386220811733176,58.45917225950783,"tensor(-0.0195, device='cuda:0')","tensor(0.5999, device='cuda:0')"
2,1.5722061026664007,60.97129008202834,"tensor(0.9489, device='cuda:0')","tensor(11.3899, device='cuda:0')"
3,1.9602632150053978,57.694817300522,"tensor(0.5591, device='cuda:0')","tensor(4.9362, device='cuda:0')"
4,2.0149923091133437,58.254101416853096,"tensor(0.3500, device='cuda:0')","tensor(6.3736, device='cuda:0')"
5,1.7378138165388788,61.24627143922446,"tensor(0.4711, device='cuda:0')","tensor(7.3203, device='cuda:0')"
6,1.4727478300531704,64.85831469052945,"tensor(0.3562, device='cuda:0')","tensor(5.1010, device='cuda:0')"
7,1.7624599080798882,63.60458612975391,"tensor(0.4172, device='cuda:0')","tensor(3.6100, device='cuda:0')"
8,1.6248597385184396,63.59992542878449,"tensor(0.3997, device='cuda:0')","tensor(4.5926, device='cuda:0')"
9,1.4232942849575054,65.01677852348993,"tensor(0.4067, device='cuda:0')","tensor(4.4112, device='cuda:0')"
10,1.3804736378647031,64.40156599552573,"tensor(0.2153, device='cuda:0')","tensor(3.9149, device='cuda:0')"
11,1.2901830168529635,65.07736763609248,"tensor(0.2512, device='cuda:0')","tensor(3.8950, device='cuda:0')"
12,1.1907124482095242,66.3124533929903,"tensor(0.1567, device='cuda:0')","tensor(3.1669, device='cuda:0')"
13,1.1144798419305257,67.4496644295302,"tensor(-0.0166, device='cuda:0')","tensor(2.8718, device='cuda:0')"
14,1.1029592610540844,67.98098434004474,"tensor(0.0325, device='cuda:0')","tensor(2.8475, device='cuda:0')"
15,1.1590093118803841,67.17468307233408,"tensor(-0.0710, device='cuda:0')","tensor(3.1627, device='cuda:0')"
16,1.1614964661144076,66.62472035794184,"tensor(0.0351, device='cuda:0')","tensor(3.4511, device='cuda:0')"
17,1.2317595905846073,65.50615212527964,"tensor(0.1019, device='cuda:0')","tensor(3.2292, device='cuda:0')"
18,1.3380687187115352,64.25708426547352,"tensor(0.2077, device='cuda:0')","tensor(3.2933, device='cuda:0')"
19,1.335601088457874,64.62061894108874,"tensor(0.2724, device='cuda:0')","tensor(3.4494, device='cuda:0')"
20,1.325449385990699,64.83501118568233,"tensor(0.0304, device='cuda:0')","tensor(3.3418, device='cuda:0')"
