Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,54.50181750396123,1.3861886399487655,0,0
1,28.926274582906142,3.3080873794498897,"tensor(0.1416, device='cuda:0')","tensor(0.8609, device='cuda:0')"
2,46.667909404417934,1.8460748646230924,"tensor(1.8516, device='cuda:0')","tensor(12.0642, device='cuda:0')"
3,44.70127691303943,2.0656068177805063,"tensor(1.2495, device='cuda:0')","tensor(4.5449, device='cuda:0')"
4,43.20999161152018,1.9959674608849345,"tensor(0.5422, device='cuda:0')","tensor(3.8645, device='cuda:0')"
5,40.073632211762515,1.9435493758036977,"tensor(0.3874, device='cuda:0')","tensor(3.7136, device='cuda:0')"
6,38.703513840991704,1.9071850365116483,"tensor(0.6506, device='cuda:0')","tensor(3.7551, device='cuda:0')"
7,39.58896448876876,1.7958224383848054,"tensor(0.6687, device='cuda:0')","tensor(3.8913, device='cuda:0')"
8,42.97231801659055,1.6602296925016813,"tensor(1.1966, device='cuda:0')","tensor(3.7049, device='cuda:0')"
9,39.95246528101407,1.6854341725508373,"tensor(0.7200, device='cuda:0')","tensor(3.3154, device='cuda:0')"
10,34.784229657936436,1.906711322920663,"tensor(0.8601, device='cuda:0')","tensor(3.0714, device='cuda:0')"
11,32.64982757013701,2.200182837034975,"tensor(0.8109, device='cuda:0')","tensor(2.9944, device='cuda:0')"
12,33.00866809581508,2.159500573362623,"tensor(1.1220, device='cuda:0')","tensor(2.9765, device='cuda:0')"
13,32.78497530058719,1.9002001232334547,"tensor(0.8954, device='cuda:0')","tensor(2.8831, device='cuda:0')"
14,32.472737440581604,1.7627144271419162,"tensor(0.8688, device='cuda:0')","tensor(2.7888, device='cuda:0')"
15,32.99468729611334,1.7173573392487707,"tensor(0.5603, device='cuda:0')","tensor(2.7436, device='cuda:0')"
16,33.32556622238792,1.7183555971298898,"tensor(0.7630, device='cuda:0')","tensor(2.6924, device='cuda:0')"
17,33.38148942119489,1.7313008617077554,"tensor(0.5038, device='cuda:0')","tensor(2.6267, device='cuda:0')"
18,34.02460620747507,1.746170186925502,"tensor(0.6769, device='cuda:0')","tensor(2.5811, device='cuda:0')"
19,34.71432565942772,1.7468495698911803,"tensor(0.5135, device='cuda:0')","tensor(2.5260, device='cuda:0')"
20,35.529872308696056,1.7431047250117575,"tensor(0.6051, device='cuda:0')","tensor(2.4639, device='cuda:0')"
21,35.11044831764377,1.75510680356196,"tensor(0.5407, device='cuda:0')","tensor(2.4054, device='cuda:0')"
22,34.565197129275795,1.7806568411844117,"tensor(0.5649, device='cuda:0')","tensor(2.3636, device='cuda:0')"
23,33.665765681797,1.8171051637757392,"tensor(0.5131, device='cuda:0')","tensor(2.3587, device='cuda:0')"
24,32.69643023580949,1.8602248444443656,"tensor(0.4994, device='cuda:0')","tensor(2.3592, device='cuda:0')"
25,32.00205051728959,1.8937370748746962,"tensor(0.5885, device='cuda:0')","tensor(2.3485, device='cuda:0')"
26,31.671171591015007,1.909046318914209,"tensor(0.5488, device='cuda:0')","tensor(2.3281, device='cuda:0')"
27,31.834280920868675,1.905364996620587,"tensor(0.4427, device='cuda:0')","tensor(2.2863, device='cuda:0')"
28,32.151179047441516,1.8915761304753167,"tensor(0.3489, device='cuda:0')","tensor(2.2418, device='cuda:0')"
29,32.2770062447572,1.8705035802863894,"tensor(0.3801, device='cuda:0')","tensor(2.1934, device='cuda:0')"
30,32.58458383819554,1.8434256347162383,"tensor(0.2813, device='cuda:0')","tensor(2.1492, device='cuda:0')"
31,32.99002702954609,1.8190803779732614,"tensor(0.2342, device='cuda:0')","tensor(2.1149, device='cuda:0')"
32,33.428092086867366,1.7969875144107001,"tensor(0.3656, device='cuda:0')","tensor(2.0723, device='cuda:0')"
33,34.005965141206076,1.775699032914071,"tensor(0.2780, device='cuda:0')","tensor(2.0334, device='cuda:0')"
34,34.69568459315873,1.7555490256774993,"tensor(0.2947, device='cuda:0')","tensor(2.0029, device='cuda:0')"
35,35.338801379438905,1.7373967564531736,"tensor(0.3779, device='cuda:0')","tensor(1.9755, device='cuda:0')"
36,35.99123869885357,1.723460170839514,"tensor(0.4709, device='cuda:0')","tensor(1.9569, device='cuda:0')"
37,36.7368813496132,1.7168748556148439,"tensor(0.2287, device='cuda:0')","tensor(1.9418, device='cuda:0')"
38,37.08640134215677,1.71447310986973,"tensor(0.4063, device='cuda:0')","tensor(1.9166, device='cuda:0')"
39,37.13766427439649,1.7182007080742292,"tensor(0.3201, device='cuda:0')","tensor(1.8898, device='cuda:0')"
40,37.49650480007456,1.7147899876747812,"tensor(0.2761, device='cuda:0')","tensor(1.8689, device='cuda:0')"
41,37.748159194705934,1.7120811187085652,"tensor(0.2984, device='cuda:0')","tensor(1.8572, device='cuda:0')"
42,38.17690371889272,1.7043908156809353,"tensor(0.1787, device='cuda:0')","tensor(1.8319, device='cuda:0')"
43,38.95982850219033,1.6944505196242106,"tensor(0.2111, device='cuda:0')","tensor(1.8087, device='cuda:0')"
44,40.86121726162737,1.665403232333206,"tensor(0.2623, device='cuda:0')","tensor(1.7923, device='cuda:0')"
45,42.95367695032156,1.632527171146302,"tensor(0.2049, device='cuda:0')","tensor(1.7699, device='cuda:0')"
46,45.28381023394538,1.6030189260130836,"tensor(0.2645, device='cuda:0')","tensor(1.7595, device='cuda:0')"
47,47.273744058160126,1.5786087580379986,"tensor(0.2046, device='cuda:0')","tensor(1.7398, device='cuda:0')"
48,48.741728026843134,1.5622736769063132,"tensor(0.2102, device='cuda:0')","tensor(1.7247, device='cuda:0')"
49,49.54795414297698,1.5476110623705954,"tensor(0.0398, device='cuda:0')","tensor(1.7049, device='cuda:0')"
50,50.35418025911082,1.5397789886309987,"tensor(0.2632, device='cuda:0')","tensor(1.6864, device='cuda:0')"
51,50.53127038866623,1.534011851463999,"tensor(0.3582, device='cuda:0')","tensor(1.6743, device='cuda:0')"
52,50.73166185105788,1.5303492915062678,"tensor(0.2674, device='cuda:0')","tensor(1.6578, device='cuda:0')"
53,50.619815453443934,1.5274336153552646,"tensor(0.2996, device='cuda:0')","tensor(1.6438, device='cuda:0')"
54,50.71302078478889,1.5242533403493108,"tensor(0.0599, device='cuda:0')","tensor(1.6351, device='cuda:0')"
55,50.7922453164321,1.5219872984148206,"tensor(0.2538, device='cuda:0')","tensor(1.6225, device='cuda:0')"
56,50.80622611613384,1.5154742825598944,"tensor(0.3617, device='cuda:0')","tensor(1.6036, device='cuda:0')"
57,50.838847982104575,1.502066126891545,"tensor(0.2551, device='cuda:0')","tensor(1.5900, device='cuda:0')"
58,51.07186131046696,1.4919885329547382,"tensor(0.0198, device='cuda:0')","tensor(1.5886, device='cuda:0')"
59,51.07186131046696,1.4802340787081492,"tensor(0.1529, device='cuda:0')","tensor(1.5741, device='cuda:0')"
60,51.13244477584118,1.4719540900772525,"tensor(0.1586, device='cuda:0')","tensor(1.5599, device='cuda:0')"
61,51.33749650480007,1.4704541242903186,"tensor(0.0896, device='cuda:0')","tensor(1.5464, device='cuda:0')"
62,51.38409917047255,1.4686958176039515,"tensor(0.0986, device='cuda:0')","tensor(1.5325, device='cuda:0')"
63,51.6916767639109,1.46678244233841,"tensor(0.0266, device='cuda:0')","tensor(1.5223, device='cuda:0')"
64,51.88274769316805,1.4683103231447083,"tensor(0.1192, device='cuda:0')","tensor(1.5140, device='cuda:0')"
65,51.994594090781995,1.4709234280245644,"tensor(0.2033, device='cuda:0')","tensor(1.5089, device='cuda:0')"
66,51.985273557647496,1.4700161791628314,"tensor(0.1718, device='cuda:0')","tensor(1.4947, device='cuda:0')"
67,51.86876689346631,1.4671390296093054,"tensor(0.0804, device='cuda:0')","tensor(1.4831, device='cuda:0')"
68,51.98061329108025,1.4638956648608048,"tensor(0.0767, device='cuda:0')","tensor(1.4771, device='cuda:0')"
69,52.031876223319976,1.4597619514734972,"tensor(0.0325, device='cuda:0')","tensor(1.4689, device='cuda:0')"
70,52.22294715257713,1.4559414929577283,"tensor(0.0301, device='cuda:0')","tensor(1.4575, device='cuda:0')"
71,52.181004753471896,1.4572232629926432,"tensor(-0.0444, device='cuda:0')","tensor(1.4522, device='cuda:0')"
72,52.386056482430796,1.459379374626137,"tensor(0.0452, device='cuda:0')","tensor(1.4436, device='cuda:0')"
73,52.05983782272346,1.4626550974235648,"tensor(0.1588, device='cuda:0')","tensor(1.4306, device='cuda:0')"
74,52.11110075496318,1.460779314062425,"tensor(0.0433, device='cuda:0')","tensor(1.4206, device='cuda:0')"
75,52.194985553173645,1.4575699752285367,"tensor(0.1348, device='cuda:0')","tensor(1.4049, device='cuda:0')"
76,52.26022928511511,1.4529339500835963,"tensor(0.2127, device='cuda:0')","tensor(1.3961, device='cuda:0')"
77,52.348774349892814,1.450191662779876,"tensor(0.0517, device='cuda:0')","tensor(1.3915, device='cuda:0')"
78,52.41401808183428,1.452054812085061,"tensor(0.0074, device='cuda:0')","tensor(1.3815, device='cuda:0')"
79,52.6796532761674,1.4546479683901583,"tensor(-0.0844, device='cuda:0')","tensor(1.3726, device='cuda:0')"
80,52.62373007736043,1.4541223430562586,"tensor(0.1247, device='cuda:0')","tensor(1.3663, device='cuda:0')"
81,52.43265914810327,1.4526911479021822,"tensor(0.0445, device='cuda:0')","tensor(1.3628, device='cuda:0')"
82,52.386056482430796,1.4484870517182917,"tensor(-0.0932, device='cuda:0')","tensor(1.3450, device='cuda:0')"
83,52.40469754869979,1.4450973213783331,"tensor(0.2181, device='cuda:0')","tensor(1.3366, device='cuda:0')"
84,52.51188367974648,1.4407415109730901,"tensor(0.1622, device='cuda:0')","tensor(1.3275, device='cuda:0')"
85,52.567806878553455,1.4356808073463894,"tensor(0.0542, device='cuda:0')","tensor(1.3222, device='cuda:0')"
86,52.79615994034859,1.4357335265903246,"tensor(-0.0074, device='cuda:0')","tensor(1.3197, device='cuda:0')"
87,52.77285860751235,1.4356495383239927,"tensor(0.0606, device='cuda:0')","tensor(1.3171, device='cuda:0')"
88,52.567806878553455,1.4390832785339582,"tensor(0.0713, device='cuda:0')","tensor(1.3048, device='cuda:0')"
89,52.735576474974366,1.4391087151709057,"tensor(0.0213, device='cuda:0')","tensor(1.3022, device='cuda:0')"
90,52.86140367229005,1.4362947059174378,"tensor(-0.1614, device='cuda:0')","tensor(1.2939, device='cuda:0')"
91,52.94994873706776,1.436628788354851,"tensor(0.0400, device='cuda:0')","tensor(1.2921, device='cuda:0')"
92,52.926647404231524,1.4443744147817295,"tensor(0.1152, device='cuda:0')","tensor(1.2867, device='cuda:0')"
93,52.6796532761674,1.4545941649093515,"tensor(0.0183, device='cuda:0')","tensor(1.2753, device='cuda:0')"
94,52.45130021437226,1.4481187498285657,"tensor(0.2236, device='cuda:0')","tensor(1.2765, device='cuda:0')"
95,52.81014074005033,1.4368041881493159,"tensor(-0.1121, device='cuda:0')","tensor(1.2658, device='cuda:0')"
96,52.973250069904,1.4314136870560192,"tensor(0.0054, device='cuda:0')","tensor(1.2565, device='cuda:0')"
97,52.79615994034859,1.4288325829520112,"tensor(0.0901, device='cuda:0')","tensor(1.2635, device='cuda:0')"
98,52.581787678255196,1.4338862771789234,"tensor(0.1453, device='cuda:0')","tensor(1.2428, device='cuda:0')"
99,52.81014074005033,1.4370475769752549,"tensor(-0.1322, device='cuda:0')","tensor(1.2395, device='cuda:0')"
100,52.83344207288657,1.4344463745752971,"tensor(0.0732, device='cuda:0')","tensor(1.2286, device='cuda:0')"
