Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,9.419837745172638,10.770164868525525,"tensor(0.2884, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,4.27204507731256,18.92018121526318,"tensor(2.6174, device='cuda:0')","tensor(49.7721, device='cuda:0')"
3,2.743261919844718,26.841343234785857,"tensor(1.6298, device='cuda:0')","tensor(16.1733, device='cuda:0')"
4,2.536191948467777,24.30993414599972,"tensor(1.0912, device='cuda:0')","tensor(7.3374, device='cuda:0')"
5,2.100035370815368,25.24403344075475,"tensor(1.0336, device='cuda:0')","tensor(6.9561, device='cuda:0')"
6,1.7734119579905556,25.15062351127925,"tensor(1.0575, device='cuda:0')","tensor(6.6835, device='cuda:0')"
7,1.6483750419602508,44.74802671523983,"tensor(1.0730, device='cuda:0')","tensor(6.4131, device='cuda:0')"
8,1.4032000663379829,49.5119331184905,"tensor(0.9370, device='cuda:0')","tensor(6.5567, device='cuda:0')"
9,1.2798011773044156,52.08537667554061,"tensor(0.9873, device='cuda:0')","tensor(5.2766, device='cuda:0')"
10,1.277312802239543,51.618327028163094,"tensor(0.9975, device='cuda:0')","tensor(4.7409, device='cuda:0')"
11,1.2895167920561064,51.34276773621036,"tensor(1.0173, device='cuda:0')","tensor(4.6745, device='cuda:0')"
12,1.3077596972386043,52.04801270375041,"tensor(1.1241, device='cuda:0')","tensor(4.4802, device='cuda:0')"
13,1.3097699037974788,53.09420391387604,"tensor(1.2031, device='cuda:0')","tensor(4.3145, device='cuda:0')"
14,1.2812481064881598,54.67750221848583,"tensor(1.0586, device='cuda:0')","tensor(4.1433, device='cuda:0')"
15,1.2465830658163344,56.214095558357855,"tensor(1.0637, device='cuda:0')","tensor(3.9008, device='cuda:0')"
16,1.2123700508049555,57.47512960627715,"tensor(1.1662, device='cuda:0')","tensor(3.6666, device='cuda:0')"
17,1.2054529159906364,59.165849329783754,"tensor(1.2162, device='cuda:0')","tensor(3.3552, device='cuda:0')"
