Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.506141177068154,48.88629465328041,0,0
1,3.527697430480094,13.266402054634602,"tensor(0.0036, device='cuda:0')","tensor(1.3110, device='cuda:0')"
2,2.363715691580659,20.051365865047863,"tensor(0.0341, device='cuda:0')","tensor(7.6959, device='cuda:0')"
3,1.9628667352455003,25.37006770954938,"tensor(0.0092, device='cuda:0')","tensor(3.6344, device='cuda:0')"
4,1.8125156228031432,39.51902871818819,"tensor(0.0072, device='cuda:0')","tensor(2.3117, device='cuda:0')"
5,1.8465922228282405,39.61709082418865,"tensor(0.0134, device='cuda:0')","tensor(2.6700, device='cuda:0')"
6,1.840633845932427,39.69647443380808,"tensor(0.0194, device='cuda:0')","tensor(2.8779, device='cuda:0')"
7,1.782043548921744,40.52766752276442,"tensor(0.0203, device='cuda:0')","tensor(2.7491, device='cuda:0')"
8,1.7649967780425435,40.40625729628765,"tensor(0.0184, device='cuda:0')","tensor(2.4651, device='cuda:0')"
9,1.782655310772714,34.106934391781465,"tensor(0.0182, device='cuda:0')","tensor(2.3342, device='cuda:0')"
10,1.795668319222473,30.99229512024282,"tensor(0.0173, device='cuda:0')","tensor(2.3359, device='cuda:0')"
11,1.7867171547952152,30.515993462526268,"tensor(0.0189, device='cuda:0')","tensor(2.3222, device='cuda:0')"
12,1.7749294400924729,30.254494513191688,"tensor(0.0187, device='cuda:0')","tensor(2.2386, device='cuda:0')"
13,1.7890877908184415,29.85757646509456,"tensor(0.0172, device='cuda:0')","tensor(2.1363, device='cuda:0')"
14,1.7969734555199033,31.151062339481673,"tensor(0.0181, device='cuda:0')","tensor(2.1255, device='cuda:0')"
15,1.7498137241318112,35.02218071445249,"tensor(0.0183, device='cuda:0')","tensor(2.1523, device='cuda:0')"
16,1.7076791539078666,38.93532570628064,"tensor(0.0168, device='cuda:0')","tensor(2.0652, device='cuda:0')"
17,1.688677649767626,42.84380107401354,"tensor(0.0164, device='cuda:0')","tensor(1.9963, device='cuda:0')"
18,1.6686068897445996,43.955171608685504,"tensor(0.0141, device='cuda:0')","tensor(1.9823, device='cuda:0')"
19,1.6443971583531016,44.46416063506888,"tensor(0.0154, device='cuda:0')","tensor(1.9573, device='cuda:0')"
20,1.6328259000465983,44.78169507354658,"tensor(0.0140, device='cuda:0')","tensor(1.9104, device='cuda:0')"
21,1.6310561831508363,44.83306093859444,"tensor(0.0147, device='cuda:0')","tensor(1.8675, device='cuda:0')"
22,1.6340877080247516,40.16343684333411,"tensor(0.0139, device='cuda:0')","tensor(1.8348, device='cuda:0')"
23,1.644929910344737,35.51249124445482,"tensor(0.0137, device='cuda:0')","tensor(1.7961, device='cuda:0')"
24,1.6548857454742705,33.57926686901705,"tensor(0.0136, device='cuda:0')","tensor(1.7605, device='cuda:0')"
25,1.6673676914402418,32.81811814148961,"tensor(0.0145, device='cuda:0')","tensor(1.7085, device='cuda:0')"
26,1.6890719114314943,32.22974550548681,"tensor(0.0143, device='cuda:0')","tensor(1.6632, device='cuda:0')"
