Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.0127133172714995,63.406321490265654,0,0
1,3.8351085630378554,26.73327419580746,"tensor(0.0013, device='cuda:0')","tensor(0.9938, device='cuda:0')"
2,2.534822642803192,41.64526821980485,"tensor(0.0096, device='cuda:0')","tensor(10.1216, device='cuda:0')"
3,1.8077602572739124,49.90895933516971,"tensor(0.0060, device='cuda:0')","tensor(12.0544, device='cuda:0')"
4,1.6032424483980452,46.066576404127176,"tensor(0.0063, device='cuda:0')","tensor(6.1981, device='cuda:0')"
5,1.5275988491872947,44.460525701479995,"tensor(0.0067, device='cuda:0')","tensor(4.9278, device='cuda:0')"
6,1.42734029676233,44.852700873056634,"tensor(0.0082, device='cuda:0')","tensor(4.8660, device='cuda:0')"
7,1.3441118991800718,47.3971707362622,"tensor(0.0077, device='cuda:0')","tensor(4.6143, device='cuda:0')"
8,1.3039619459637575,50.310472010831504,"tensor(0.0090, device='cuda:0')","tensor(4.3720, device='cuda:0')"
9,1.309854766620057,50.70731593445072,"tensor(0.0082, device='cuda:0')","tensor(4.2679, device='cuda:0')"
10,1.3540422487116994,49.32069657780475,"tensor(0.0104, device='cuda:0')","tensor(4.2200, device='cuda:0')"
11,1.4194149146122592,46.31868901442645,"tensor(0.0103, device='cuda:0')","tensor(4.1594, device='cuda:0')"
12,1.4633314119918006,44.3484756524581,"tensor(0.0102, device='cuda:0')","tensor(4.0564, device='cuda:0')"
13,1.4744731597602367,43.792894159391196,"tensor(0.0126, device='cuda:0')","tensor(3.9164, device='cuda:0')"
14,1.4790027244460016,43.932956720668564,"tensor(0.0119, device='cuda:0')","tensor(3.7817, device='cuda:0')"
15,1.4828148725486936,44.371819412670995,"tensor(0.0128, device='cuda:0')","tensor(3.6546, device='cuda:0')"
16,1.4851507033620561,45.539007423315745,"tensor(0.0130, device='cuda:0')","tensor(3.5346, device='cuda:0')"
17,1.489683408112753,45.23086978850553,"tensor(0.0143, device='cuda:0')","tensor(3.3986, device='cuda:0')"
18,1.495838653473627,43.13926887343013,"tensor(0.0120, device='cuda:0')","tensor(3.2343, device='cuda:0')"
19,1.5037713011815435,41.53788692282553,"tensor(0.0102, device='cuda:0')","tensor(3.0781, device='cuda:0')"
20,1.5055190842776072,40.95429291750315,"tensor(0.0113, device='cuda:0')","tensor(2.9399, device='cuda:0')"
21,1.501480939665011,41.519211914655216,"tensor(0.0109, device='cuda:0')","tensor(2.8109, device='cuda:0')"
22,1.498380249987046,42.70974368551286,"tensor(0.0110, device='cuda:0')","tensor(2.6815, device='cuda:0')"
23,1.5012197519342105,43.75087539100798,"tensor(0.0088, device='cuda:0')","tensor(2.5607, device='cuda:0')"
24,1.4981165393477394,45.10948223539848,"tensor(0.0098, device='cuda:0')","tensor(2.4611, device='cuda:0')"
25,1.4773477679562002,46.39338904710771,"tensor(0.0093, device='cuda:0')","tensor(2.3527, device='cuda:0')"
26,1.4392814677031267,48.536346234651475,"tensor(0.0091, device='cuda:0')","tensor(2.2470, device='cuda:0')"
27,1.3988730274140835,50.46920958027919,"tensor(0.0089, device='cuda:0')","tensor(2.1484, device='cuda:0')"
28,1.3653489193391233,52.159297819692796,"tensor(0.0083, device='cuda:0')","tensor(2.0673, device='cuda:0')"
29,1.3466466863950093,53.51790466408329,"tensor(0.0089, device='cuda:0')","tensor(2.0085, device='cuda:0')"
30,1.3412791770838557,54.23222372659788,"tensor(0.0089, device='cuda:0')","tensor(1.9539, device='cuda:0')"
31,1.3460415223879474,54.67108641860031,"tensor(0.0076, device='cuda:0')","tensor(1.8935, device='cuda:0')"
32,1.3505471222812222,54.834492740090575,"tensor(0.0080, device='cuda:0')","tensor(1.8361, device='cuda:0')"
33,1.3470545870562394,55.06326159017694,"tensor(0.0071, device='cuda:0')","tensor(1.7968, device='cuda:0')"
34,1.3326973721739792,55.33871796068911,"tensor(0.0057, device='cuda:0')","tensor(1.7665, device='cuda:0')"
35,1.3165258435266358,55.66553060366964,"tensor(0.0068, device='cuda:0')","tensor(1.7424, device='cuda:0')"
36,1.2961760154437452,56.1417433120127,"tensor(0.0064, device='cuda:0')","tensor(1.7081, device='cuda:0')"
37,1.2740288868191696,56.617956020355756,"tensor(0.0059, device='cuda:0')","tensor(1.6756, device='cuda:0')"
38,1.2440192169021993,57.22022503384845,"tensor(0.0061, device='cuda:0')","tensor(1.6481, device='cuda:0')"
39,1.2199581261901629,57.73845651057472,"tensor(0.0062, device='cuda:0')","tensor(1.6149, device='cuda:0')"
40,1.2087536447104954,57.9672253606611,"tensor(0.0064, device='cuda:0')","tensor(1.5930, device='cuda:0')"
41,1.20509348880677,58.00457537700173,"tensor(0.0060, device='cuda:0')","tensor(1.5673, device='cuda:0')"
42,1.1968800531966346,58.06993790559783,"tensor(0.0065, device='cuda:0')","tensor(1.5453, device='cuda:0')"
43,1.1786619004394328,58.68621317521826,"tensor(0.0056, device='cuda:0')","tensor(1.5231, device='cuda:0')"
44,1.1595813578792982,59.241794668285166,"tensor(0.0068, device='cuda:0')","tensor(1.5048, device='cuda:0')"
45,1.1484211376380353,59.437882254073486,"tensor(0.0054, device='cuda:0')","tensor(1.4854, device='cuda:0')"
46,1.1462764661936533,59.60128857556375,"tensor(0.0061, device='cuda:0')","tensor(1.4649, device='cuda:0')"
47,1.1461657060398942,59.55926980718054,"tensor(0.0053, device='cuda:0')","tensor(1.4487, device='cuda:0')"
48,1.1429921840982777,59.65264484803212,"tensor(0.0064, device='cuda:0')","tensor(1.4314, device='cuda:0')"
49,1.1423987879284792,59.54059479901022,"tensor(0.0055, device='cuda:0')","tensor(1.4092, device='cuda:0')"
50,1.1449701025017671,59.55926980718054,"tensor(0.0065, device='cuda:0')","tensor(1.3885, device='cuda:0')"
51,1.1476479280917418,59.55460105513796,"tensor(0.0047, device='cuda:0')","tensor(1.3689, device='cuda:0')"
52,1.1490444148935022,59.53125729492507,"tensor(0.0050, device='cuda:0')","tensor(1.3546, device='cuda:0')"
53,1.148036047461487,59.51258228675475,"tensor(0.0055, device='cuda:0')","tensor(1.3386, device='cuda:0')"
54,1.1493768637024222,59.57327606330828,"tensor(0.0049, device='cuda:0')","tensor(1.3264, device='cuda:0')"
55,1.1531918907449359,59.5919510714786,"tensor(0.0053, device='cuda:0')","tensor(1.3132, device='cuda:0')"
56,1.1574918872543745,59.55926980718054,"tensor(0.0043, device='cuda:0')","tensor(1.3015, device='cuda:0')"
57,1.1615638269909792,59.45188851020122,"tensor(0.0045, device='cuda:0')","tensor(1.2893, device='cuda:0')"
58,1.161672328199659,59.624632335776646,"tensor(0.0046, device='cuda:0')","tensor(1.2802, device='cuda:0')"
59,1.1573593181868393,59.89541995424623,"tensor(0.0050, device='cuda:0')","tensor(1.2716, device='cuda:0')"
60,1.148946665404808,60.05415752369392,"tensor(0.0044, device='cuda:0')","tensor(1.2634, device='cuda:0')"
61,1.1442572018575101,60.10084504411971,"tensor(0.0044, device='cuda:0')","tensor(1.2538, device='cuda:0')"
62,1.1432815398133935,59.9467762267146,"tensor(0.0041, device='cuda:0')","tensor(1.2400, device='cuda:0')"
63,1.1432782516238236,59.86740744199076,"tensor(0.0047, device='cuda:0')","tensor(1.2313, device='cuda:0')"
64,1.142217184816088,59.98879499509781,"tensor(0.0038, device='cuda:0')","tensor(1.2216, device='cuda:0')"
65,1.140052142065196,59.9467762267146,"tensor(0.0042, device='cuda:0')","tensor(1.2104, device='cuda:0')"
66,1.1396619775110768,59.97945749101265,"tensor(0.0038, device='cuda:0')","tensor(1.2024, device='cuda:0')"
67,1.1392690656440598,59.98412624305523,"tensor(0.0035, device='cuda:0')","tensor(1.1929, device='cuda:0')"
68,1.1389963559451557,60.026145011438444,"tensor(0.0033, device='cuda:0')","tensor(1.1846, device='cuda:0')"
69,1.137852997652122,60.18021382884355,"tensor(0.0041, device='cuda:0')","tensor(1.1759, device='cuda:0')"
70,1.135438163010847,60.194220084971285,"tensor(0.0033, device='cuda:0')","tensor(1.1652, device='cuda:0')"
71,1.133635546834696,60.18021382884355,"tensor(0.0042, device='cuda:0')","tensor(1.1580, device='cuda:0')"
72,1.133757748596725,60.19888883701387,"tensor(0.0036, device='cuda:0')","tensor(1.1552, device='cuda:0')"
73,1.1345794796943665,60.28759512582287,"tensor(0.0035, device='cuda:0')","tensor(1.1478, device='cuda:0')"
74,1.1318867000795545,60.13819506046034,"tensor(0.0036, device='cuda:0')","tensor(1.1418, device='cuda:0')"
75,1.129369823350793,60.18488258088613,"tensor(0.0035, device='cuda:0')","tensor(1.1360, device='cuda:0')"
76,1.1309074470329852,60.194220084971285,"tensor(0.0034, device='cuda:0')","tensor(1.1297, device='cuda:0')"
77,1.1331075068031038,60.11952005229002,"tensor(0.0034, device='cuda:0')","tensor(1.1222, device='cuda:0')"
78,1.1331193534036477,60.11018254820487,"tensor(0.0035, device='cuda:0')","tensor(1.1163, device='cuda:0')"
79,1.1311407161965257,60.13819506046034,"tensor(0.0027, device='cuda:0')","tensor(1.1088, device='cuda:0')"
80,1.1313809324942885,60.161538820673236,"tensor(0.0027, device='cuda:0')","tensor(1.1046, device='cuda:0')"
81,1.1349619568458624,60.24090760539708,"tensor(0.0035, device='cuda:0')","tensor(1.0973, device='cuda:0')"
82,1.132142916676544,60.250245109482236,"tensor(0.0030, device='cuda:0')","tensor(1.0928, device='cuda:0')"
83,1.1250210980929078,60.52103272795182,"tensor(0.0027, device='cuda:0')","tensor(1.0862, device='cuda:0')"
84,1.1227137545744579,60.56772024837761,"tensor(0.0035, device='cuda:0')","tensor(1.0815, device='cuda:0')"
85,1.1243805179283732,60.56772024837761,"tensor(0.0027, device='cuda:0')","tensor(1.0762, device='cuda:0')"
86,1.1246212236583233,60.586395256547924,"tensor(0.0029, device='cuda:0')","tensor(1.0733, device='cuda:0')"
87,1.121377963217951,60.66576404127177,"tensor(0.0031, device='cuda:0')","tensor(1.0684, device='cuda:0')"
88,1.1201734390287172,60.810495354591716,"tensor(0.0030, device='cuda:0')","tensor(1.0625, device='cuda:0')"
89,1.120992738930952,60.88519538727298,"tensor(0.0045, device='cuda:0')","tensor(1.0573, device='cuda:0')"
90,1.1177510198737894,60.838507866847195,"tensor(0.0027, device='cuda:0')","tensor(1.0517, device='cuda:0')"
91,1.1134888957298936,61.03459545263551,"tensor(0.0026, device='cuda:0')","tensor(1.0484, device='cuda:0')"
92,1.113314887065263,60.936551659741355,"tensor(0.0032, device='cuda:0')","tensor(1.0436, device='cuda:0')"
93,1.1154027318670636,61.015920444465195,"tensor(0.0027, device='cuda:0')","tensor(1.0403, device='cuda:0')"
94,1.114414909588439,60.98323918016714,"tensor(0.0023, device='cuda:0')","tensor(1.0368, device='cuda:0')"
95,1.110687100461551,61.015920444465195,"tensor(0.0024, device='cuda:0')","tensor(1.0335, device='cuda:0')"
96,1.1116506547800131,61.13730799757225,"tensor(0.0030, device='cuda:0')","tensor(1.0284, device='cuda:0')"
97,1.1141051997741063,61.13730799757225,"tensor(0.0027, device='cuda:0')","tensor(1.0248, device='cuda:0')"
98,1.1104565418901897,61.123301741444514,"tensor(0.0020, device='cuda:0')","tensor(1.0209, device='cuda:0')"
99,1.1073590721048059,61.12797049348709,"tensor(0.0028, device='cuda:0')","tensor(1.0153, device='cuda:0')"
100,1.1120699551843463,61.14664550165741,"tensor(0.0026, device='cuda:0')","tensor(1.0097, device='cuda:0')"
