Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.506141177068154,48.88629465328041,0,0
1,3.512885209350359,13.345785664254027,"tensor(0.0017, device='cuda:0')","tensor(1.3110, device='cuda:0')"
2,2.4577451887584867,18.202194723324773,"tensor(0.0302, device='cuda:0')","tensor(7.7113, device='cuda:0')"
3,2.0141429085107077,24.758346953070276,"tensor(0.0085, device='cuda:0')","tensor(3.9149, device='cuda:0')"
4,1.8192347174599057,39.425636236282976,"tensor(0.0065, device='cuda:0')","tensor(2.4657, device='cuda:0')"
5,1.8477297574281693,39.56105533504553,"tensor(0.0100, device='cuda:0')","tensor(2.7384, device='cuda:0')"
6,1.8630327103393418,39.327574130282514,"tensor(0.0142, device='cuda:0')","tensor(2.9784, device='cuda:0')"
7,1.810139093902849,39.743170674760684,"tensor(0.0152, device='cuda:0')","tensor(2.9326, device='cuda:0')"
8,1.7668974896272023,40.42493579266869,"tensor(0.0143, device='cuda:0')","tensor(2.6238, device='cuda:0')"
9,1.7674199871364094,34.55988792902171,"tensor(0.0118, device='cuda:0')","tensor(2.4004, device='cuda:0')"
10,1.787650279700756,30.58603782395517,"tensor(0.0112, device='cuda:0')","tensor(2.3440, device='cuda:0')"
11,1.79864618430535,29.091758113471865,"tensor(0.0110, device='cuda:0')","tensor(2.3611, device='cuda:0')"
12,1.7899760497467858,28.73686668223208,"tensor(0.0109, device='cuda:0')","tensor(2.3460, device='cuda:0')"
13,1.7763901196774983,28.74153630632734,"tensor(0.0107, device='cuda:0')","tensor(2.2604, device='cuda:0')"
14,1.7845571920985268,28.32127013775391,"tensor(0.0110, device='cuda:0')","tensor(2.1445, device='cuda:0')"
15,1.7984939802970206,28.87695540508989,"tensor(0.0101, device='cuda:0')","tensor(2.1099, device='cuda:0')"
16,1.764664860708373,31.753443847770253,"tensor(0.0113, device='cuda:0')","tensor(2.1450, device='cuda:0')"
17,1.7169116295519329,35.53583936493112,"tensor(0.0111, device='cuda:0')","tensor(2.0908, device='cuda:0')"
18,1.6941915452480316,38.79523698342283,"tensor(0.0091, device='cuda:0')","tensor(1.9992, device='cuda:0')"
19,1.6835934278510867,41.85851038991361,"tensor(0.0083, device='cuda:0')","tensor(1.9700, device='cuda:0')"
20,1.6731937893089794,42.10133084286715,"tensor(0.0079, device='cuda:0')","tensor(1.9674, device='cuda:0')"
21,1.666071209524359,39.31356525799673,"tensor(0.0082, device='cuda:0')","tensor(1.9415, device='cuda:0')"
22,1.6667290748584838,35.759981321503616,"tensor(0.0081, device='cuda:0')","tensor(1.8975, device='cuda:0')"
23,1.6701750482122104,33.999533037590474,"tensor(0.0081, device='cuda:0')","tensor(1.8563, device='cuda:0')"
24,1.6716666519641876,32.948867616156896,"tensor(0.0081, device='cuda:0')","tensor(1.8153, device='cuda:0')"
25,1.6737533885808218,32.23441512958207,"tensor(0.0095, device='cuda:0')","tensor(1.7719, device='cuda:0')"
26,1.6786617249959992,32.00093392481905,"tensor(0.0080, device='cuda:0')","tensor(1.7259, device='cuda:0')"
27,1.6899677277320908,31.70674760681765,"tensor(0.0074, device='cuda:0')","tensor(1.6871, device='cuda:0')"
28,1.7034467242303348,31.66472098996031,"tensor(0.0077, device='cuda:0')","tensor(1.6651, device='cuda:0')"
29,1.7107021389972596,31.767452720056035,"tensor(0.0075, device='cuda:0')","tensor(1.6566, device='cuda:0')"
30,1.7070195586198853,32.11767452720056,"tensor(0.0072, device='cuda:0')","tensor(1.6464, device='cuda:0')"
31,1.7001202493196441,32.79010039691805,"tensor(0.0071, device='cuda:0')","tensor(1.6215, device='cuda:0')"
32,1.6928589365312032,32.96287648844268,"tensor(0.0073, device='cuda:0')","tensor(1.5987, device='cuda:0')"
33,1.6818123147601174,33.878122811113705,"tensor(0.0061, device='cuda:0')","tensor(1.5823, device='cuda:0')"
34,1.67410730357681,34.51786131216437,"tensor(0.0069, device='cuda:0')","tensor(1.5585, device='cuda:0')"
35,1.6722133528618586,34.81671725426103,"tensor(0.0074, device='cuda:0')","tensor(1.5396, device='cuda:0')"
36,1.674535452255181,34.52253093625963,"tensor(0.0062, device='cuda:0')","tensor(1.5333, device='cuda:0')"
37,1.679751520000753,34.21433574597245,"tensor(0.0064, device='cuda:0')","tensor(1.5288, device='cuda:0')"
38,1.685430691000961,33.85010506654214,"tensor(0.0064, device='cuda:0')","tensor(1.5150, device='cuda:0')"
39,1.6913599953764962,33.95283679663787,"tensor(0.0067, device='cuda:0')","tensor(1.4964, device='cuda:0')"
40,1.69825372419187,34.07424702311464,"tensor(0.0083, device='cuda:0')","tensor(1.4843, device='cuda:0')"
41,1.7062066481226967,33.93415830025683,"tensor(0.0062, device='cuda:0')","tensor(1.4783, device='cuda:0')"
42,1.7117054228271757,33.18234882091991,"tensor(0.0056, device='cuda:0')","tensor(1.4664, device='cuda:0')"
43,1.7134759152928989,32.77142190053701,"tensor(0.0054, device='cuda:0')","tensor(1.4509, device='cuda:0')"
44,1.7095486227245558,32.9021713752043,"tensor(0.0054, device='cuda:0')","tensor(1.4441, device='cuda:0')"
45,1.7018483550775618,33.72869484006537,"tensor(0.0057, device='cuda:0')","tensor(1.4337, device='cuda:0')"
46,1.696580620039077,34.01354190987625,"tensor(0.0058, device='cuda:0')","tensor(1.4186, device='cuda:0')"
47,1.6919353593673025,34.438477702544944,"tensor(0.0060, device='cuda:0')","tensor(1.4122, device='cuda:0')"
48,1.687926980001586,34.46649544711651,"tensor(0.0052, device='cuda:0')","tensor(1.4065, device='cuda:0')"
49,1.6833143188130288,34.854074247023114,"tensor(0.0058, device='cuda:0')","tensor(1.4000, device='cuda:0')"
50,1.680571501808507,35.16693906140556,"tensor(0.0065, device='cuda:0')","tensor(1.3911, device='cuda:0')"
51,1.680448789681707,35.12958206864347,"tensor(0.0050, device='cuda:0')","tensor(1.3828, device='cuda:0')"
52,1.6813965372386432,35.19962643007238,"tensor(0.0051, device='cuda:0')","tensor(1.3749, device='cuda:0')"
53,1.6805264896580152,35.21830492645342,"tensor(0.0057, device='cuda:0')","tensor(1.3655, device='cuda:0')"
54,1.6763883516902016,35.54984823721691,"tensor(0.0054, device='cuda:0')","tensor(1.3585, device='cuda:0')"
55,1.669828893528098,36.06350688769554,"tensor(0.0056, device='cuda:0')","tensor(1.3531, device='cuda:0')"
56,1.6644712416898637,36.53046929722157,"tensor(0.0044, device='cuda:0')","tensor(1.3457, device='cuda:0')"
57,1.6602856570056506,36.857342983889794,"tensor(0.0042, device='cuda:0')","tensor(1.3396, device='cuda:0')"
58,1.6561914604334604,37.21223441512958,"tensor(0.0053, device='cuda:0')","tensor(1.3335, device='cuda:0')"
