Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,1.970752429394495,52.07175223057878,"tensor(0.0720, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
2,1.970752429394495,52.07175223057878,"tensor(0.0711, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
3,2.4771391142691885,47.03601625636474,"tensor(0.0831, device='cuda:0', dtype=torch.float16)","tensor(0.6729, device='cuda:0')"
4,1.964295718109324,52.020367169617415,"tensor(0.0955, device='cuda:0', dtype=torch.float16)","tensor(2.0890, device='cuda:0')"
5,1.7391644496293295,53.64600364366796,"tensor(0.0884, device='cuda:0', dtype=torch.float16)","tensor(0.7316, device='cuda:0')"
6,1.746419330437978,53.192880833372264,"tensor(0.0809, device='cuda:0', dtype=torch.float16)","tensor(1.3235, device='cuda:0')"
7,1.819185165777093,52.29130658195917,"tensor(0.0931, device='cuda:0', dtype=torch.float16)","tensor(1.4001, device='cuda:0')"
8,1.9298762455582619,51.38973233054608,"tensor(0.0711, device='cuda:0', dtype=torch.float16)","tensor(0.9842, device='cuda:0')"
9,2.0091015113783732,50.82449665997104,"tensor(0.0960, device='cuda:0', dtype=torch.float16)","tensor(0.7931, device='cuda:0')"
10,2.023872382938862,50.82449665997104,"tensor(0.0853, device='cuda:0', dtype=torch.float16)","tensor(0.8876, device='cuda:0')"
11,1.9856166420947938,51.277619470266735,"tensor(0.0814, device='cuda:0', dtype=torch.float16)","tensor(1.0059, device='cuda:0')"
12,1.908157638318482,52.081094968935396,"tensor(0.0909, device='cuda:0', dtype=torch.float16)","tensor(1.0076, device='cuda:0')"
13,1.8210268607806592,52.982669220348484,"tensor(0.0734, device='cuda:0', dtype=torch.float16)","tensor(0.8940, device='cuda:0')"
14,1.7496542236989452,53.85621525669173,"tensor(0.0674, device='cuda:0', dtype=torch.float16)","tensor(0.7970, device='cuda:0')"
15,1.709362078280676,54.038398654645675,"tensor(0.0666, device='cuda:0', dtype=torch.float16)","tensor(0.7720, device='cuda:0')"
16,1.7052175807101386,53.93095716354463,"tensor(0.0696, device='cuda:0', dtype=torch.float16)","tensor(0.8192, device='cuda:0')"
17,1.7302323359818685,53.594618582706595,"tensor(0.0720, device='cuda:0', dtype=torch.float16)","tensor(0.8402, device='cuda:0')"
18,1.7833190152332896,52.9966833278834,"tensor(0.0610, device='cuda:0', dtype=torch.float16)","tensor(0.7884, device='cuda:0')"
19,1.851108678217445,52.14649413743168,"tensor(0.0789, device='cuda:0', dtype=torch.float16)","tensor(0.7136, device='cuda:0')"
20,1.9133964533961954,51.2542626243752,"tensor(0.0721, device='cuda:0', dtype=torch.float16)","tensor(0.6758, device='cuda:0')"
21,1.9506085169102465,50.754426122296444,"tensor(0.0650, device='cuda:0', dtype=torch.float16)","tensor(0.6909, device='cuda:0')"
22,1.9475838396520841,50.875881720932405,"tensor(0.0712, device='cuda:0', dtype=torch.float16)","tensor(0.7188, device='cuda:0')"
23,1.9094346330634184,51.44578876068576,"tensor(0.0628, device='cuda:0', dtype=torch.float16)","tensor(0.7128, device='cuda:0')"
24,1.8511016076164586,52.14182276825338,"tensor(0.0733, device='cuda:0', dtype=torch.float16)","tensor(0.6801, device='cuda:0')"
25,1.7935140858448686,52.86121362171252,"tensor(0.0582, device='cuda:0', dtype=torch.float16)","tensor(0.6439, device='cuda:0')"
26,1.756044383027724,53.08543934227122,"tensor(0.0649, device='cuda:0', dtype=torch.float16)","tensor(0.6440, device='cuda:0')"
27,1.7443247025921231,53.25828000186855,"tensor(0.0578, device='cuda:0', dtype=torch.float16)","tensor(0.6685, device='cuda:0')"
28,1.7550036254383268,53.02471154295324,"tensor(0.0541, device='cuda:0', dtype=torch.float16)","tensor(0.6782, device='cuda:0')"
