Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,2.1870300636759827,47.697276046054476,0,0
1,2.1870300636759827,47.697276046054476,"tensor(0.1113, device='cuda:0', dtype=torch.float16)","tensor(0.6522, device='cuda:0')"
2,2.1870300636759827,47.697276046054476,"tensor(0.0905, device='cuda:0', dtype=torch.float16)","tensor(0.6522, device='cuda:0')"
3,2.219339589455298,47.1215950575681,"tensor(0.1116, device='cuda:0', dtype=torch.float16)","tensor(0.6522, device='cuda:0')"
4,2.211404657789639,47.430497051390056,"tensor(0.0918, device='cuda:0', dtype=torch.float16)","tensor(0.6544, device='cuda:0')"
5,2.191857706223215,47.50070204998596,"tensor(0.1040, device='cuda:0', dtype=torch.float16)","tensor(0.6493, device='cuda:0')"
6,2.1747795284858773,47.99213704015726,"tensor(0.0994, device='cuda:0', dtype=torch.float16)","tensor(0.6492, device='cuda:0')"
7,2.1791375604059016,47.76748104465038,"tensor(0.0839, device='cuda:0', dtype=torch.float16)","tensor(0.6524, device='cuda:0')"
8,2.1858112029731274,47.753440044931196,"tensor(0.1088, device='cuda:0', dtype=torch.float16)","tensor(0.6470, device='cuda:0')"
9,2.194429420999118,47.62707104745858,"tensor(0.1017, device='cuda:0', dtype=torch.float16)","tensor(0.6409, device='cuda:0')"
10,2.2020155489444733,47.51474304970514,"tensor(0.1037, device='cuda:0', dtype=torch.float16)","tensor(0.6360, device='cuda:0')"
11,2.202461468854121,47.4024150519517,"tensor(0.0880, device='cuda:0', dtype=torch.float16)","tensor(0.6335, device='cuda:0')"
12,2.2013218392218863,47.57090704858186,"tensor(0.0894, device='cuda:0', dtype=torch.float16)","tensor(0.6315, device='cuda:0')"
13,2.197991380734103,47.38837405223252,"tensor(0.0974, device='cuda:0', dtype=torch.float16)","tensor(0.6287, device='cuda:0')"
14,2.1974491024655953,47.51474304970514,"tensor(0.0882, device='cuda:0', dtype=torch.float16)","tensor(0.6289, device='cuda:0')"
15,2.1926093537892615,47.27604605447908,"tensor(0.0829, device='cuda:0', dtype=torch.float16)","tensor(0.6276, device='cuda:0')"
16,2.1893388272396157,47.38837405223252,"tensor(0.0961, device='cuda:0', dtype=torch.float16)","tensor(0.6249, device='cuda:0')"
17,2.1841255836188793,47.45857905082842,"tensor(0.0917, device='cuda:0', dtype=torch.float16)","tensor(0.6233, device='cuda:0')"
18,2.1874377599784305,47.318169053636616,"tensor(0.0954, device='cuda:0', dtype=torch.float16)","tensor(0.6223, device='cuda:0')"
19,2.189974639032568,47.45857905082842,"tensor(0.1010, device='cuda:0', dtype=torch.float16)","tensor(0.6203, device='cuda:0')"
20,2.187144492353712,47.318169053636616,"tensor(0.0839, device='cuda:0', dtype=torch.float16)","tensor(0.6228, device='cuda:0')"
21,2.182364492544106,47.374333052513336,"tensor(0.0856, device='cuda:0', dtype=torch.float16)","tensor(0.6198, device='cuda:0')"
22,2.183255563889231,47.24796405504072,"tensor(0.0875, device='cuda:0', dtype=torch.float16)","tensor(0.6182, device='cuda:0')"
23,2.180024261985506,47.23392305532154,"tensor(0.0939, device='cuda:0', dtype=torch.float16)","tensor(0.6163, device='cuda:0')"
24,2.1814479556466853,47.1215950575681,"tensor(0.0878, device='cuda:0', dtype=torch.float16)","tensor(0.6175, device='cuda:0')"
25,2.180154443319355,47.30412805391744,"tensor(0.0784, device='cuda:0', dtype=torch.float16)","tensor(0.6163, device='cuda:0')"
26,2.1879420078226497,47.191800056164,"tensor(0.0784, device='cuda:0', dtype=torch.float16)","tensor(0.6156, device='cuda:0')"
27,2.192744421639613,47.51474304970514,"tensor(0.0983, device='cuda:0', dtype=torch.float16)","tensor(0.6128, device='cuda:0')"
28,2.1968289049608365,47.23392305532154,"tensor(0.0902, device='cuda:0', dtype=torch.float16)","tensor(0.6124, device='cuda:0')"
29,2.1961719478879655,47.50070204998596,"tensor(0.0848, device='cuda:0', dtype=torch.float16)","tensor(0.6110, device='cuda:0')"
30,2.1981064916721413,47.52878404942432,"tensor(0.0884, device='cuda:0', dtype=torch.float16)","tensor(0.6126, device='cuda:0')"
31,2.194524129054376,47.51474304970514,"tensor(0.0937, device='cuda:0', dtype=torch.float16)","tensor(0.6103, device='cuda:0')"
32,2.1948406786790917,47.44453805110924,"tensor(0.0869, device='cuda:0', dtype=torch.float16)","tensor(0.6117, device='cuda:0')"
33,2.19424847726311,47.73939904521202,"tensor(0.0842, device='cuda:0', dtype=torch.float16)","tensor(0.6112, device='cuda:0')"
