Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9198011814483574,68.27769241514179,0,0
1,0.9198011814483574,68.27769241514179,"tensor(0.0740, device='cuda:0', dtype=torch.float16)","tensor(0.8331, device='cuda:0')"
2,0.9198011814483574,68.27769241514179,"tensor(0.0596, device='cuda:0', dtype=torch.float16)","tensor(0.8331, device='cuda:0')"
3,1.0061857519405228,65.12082693113564,"tensor(0.0763, device='cuda:0', dtype=torch.float16)","tensor(0.8331, device='cuda:0')"
4,0.9559609198144504,67.14624947618383,"tensor(0.0664, device='cuda:0', dtype=torch.float16)","tensor(1.3081, device='cuda:0')"
5,0.9840684612946851,65.66559575359688,"tensor(0.0575, device='cuda:0', dtype=torch.float16)","tensor(0.9682, device='cuda:0')"
6,0.9449188991316727,67.27196535829026,"tensor(0.0638, device='cuda:0', dtype=torch.float16)","tensor(1.1330, device='cuda:0')"
7,0.9217843530433518,68.17991339572566,"tensor(0.0520, device='cuda:0', dtype=torch.float16)","tensor(0.9610, device='cuda:0')"
8,0.9184892810881138,68.26372398379662,"tensor(0.0581, device='cuda:0', dtype=torch.float16)","tensor(0.9036, device='cuda:0')"
9,0.9113989408527102,68.38943986590306,"tensor(0.0640, device='cuda:0', dtype=torch.float16)","tensor(0.9377, device='cuda:0')"
10,0.9074909883950438,68.64087163011594,"tensor(0.0596, device='cuda:0', dtype=torch.float16)","tensor(0.8986, device='cuda:0')"
11,0.9127886742353439,68.82246123760302,"tensor(0.0515, device='cuda:0', dtype=torch.float16)","tensor(0.8695, device='cuda:0')"
12,0.9201057984360627,68.41737672859338,"tensor(0.0551, device='cuda:0', dtype=torch.float16)","tensor(0.8876, device='cuda:0')"
13,0.9215378064130034,68.24975555245146,"tensor(0.0546, device='cuda:0', dtype=torch.float16)","tensor(0.8924, device='cuda:0')"
14,0.9244607053697109,68.1659449643805,"tensor(0.0566, device='cuda:0', dtype=torch.float16)","tensor(0.8476, device='cuda:0')"
15,0.9281472781939166,68.13800810169018,"tensor(0.0505, device='cuda:0', dtype=torch.float16)","tensor(0.8081, device='cuda:0')"
16,0.9288692197629383,68.0262606509289,"tensor(0.0525, device='cuda:0', dtype=torch.float16)","tensor(0.8129, device='cuda:0')"
17,0.9163880310952663,68.34753457186758,"tensor(0.0607, device='cuda:0', dtype=torch.float16)","tensor(0.8350, device='cuda:0')"
18,0.9031705893576145,68.78055594356753,"tensor(0.0605, device='cuda:0', dtype=torch.float16)","tensor(0.8185, device='cuda:0')"
19,0.8916699247700828,69.32532476602877,"tensor(0.0543, device='cuda:0', dtype=torch.float16)","tensor(0.7851, device='cuda:0')"
20,0.890432555760656,69.60469339293198,"tensor(0.0507, device='cuda:0', dtype=torch.float16)","tensor(0.7773, device='cuda:0')"
21,0.892977848649025,69.57675653024165,"tensor(0.0560, device='cuda:0', dtype=torch.float16)","tensor(0.7935, device='cuda:0')"
22,0.8961056162204061,69.22754574661266,"tensor(0.0473, device='cuda:0', dtype=torch.float16)","tensor(0.7963, device='cuda:0')"
23,0.9047676750591823,68.80849280625786,"tensor(0.0500, device='cuda:0', dtype=torch.float16)","tensor(0.7795, device='cuda:0')"
24,0.9105947038957051,68.52912417935465,"tensor(0.0538, device='cuda:0', dtype=torch.float16)","tensor(0.7668, device='cuda:0')"
25,0.9135310447641781,68.40340829724822,"tensor(0.0517, device='cuda:0', dtype=torch.float16)","tensor(0.7665, device='cuda:0')"
26,0.9129681917173522,68.48721888531918,"tensor(0.0495, device='cuda:0', dtype=torch.float16)","tensor(0.7675, device='cuda:0')"
27,0.9053974045174462,68.55706104204498,"tensor(0.0451, device='cuda:0', dtype=torch.float16)","tensor(0.7583, device='cuda:0')"
28,0.8996288041983332,68.7945243749127,"tensor(0.0535, device='cuda:0', dtype=torch.float16)","tensor(0.7552, device='cuda:0')"
29,0.8926727319402354,69.10182986450621,"tensor(0.0470, device='cuda:0', dtype=torch.float16)","tensor(0.7532, device='cuda:0')"
30,0.8891888814313071,69.31135633468361,"tensor(0.0470, device='cuda:0', dtype=torch.float16)","tensor(0.7486, device='cuda:0')"
31,0.8884271798389298,69.25548260930297,"tensor(0.0543, device='cuda:0', dtype=torch.float16)","tensor(0.7423, device='cuda:0')"
32,0.8941364102065563,69.10182986450621,"tensor(0.0523, device='cuda:0', dtype=torch.float16)","tensor(0.7372, device='cuda:0')"
33,0.9021418488451413,68.96214555105462,"tensor(0.0491, device='cuda:0', dtype=torch.float16)","tensor(0.7328, device='cuda:0')"
34,0.9098203602646079,68.54309261069982,"tensor(0.0443, device='cuda:0', dtype=torch.float16)","tensor(0.7317, device='cuda:0')"
35,0.9175690114498138,68.19388182707083,"tensor(0.0501, device='cuda:0', dtype=torch.float16)","tensor(0.7309, device='cuda:0')"
36,0.9227034508117608,68.29166084648693,"tensor(0.0417, device='cuda:0', dtype=torch.float16)","tensor(0.7292, device='cuda:0')"
37,0.9215792252549103,68.17991339572566,"tensor(0.0537, device='cuda:0', dtype=torch.float16)","tensor(0.7283, device='cuda:0')"
38,0.9228801392018795,68.11007123899986,"tensor(0.0543, device='cuda:0', dtype=torch.float16)","tensor(0.7234, device='cuda:0')"
39,0.9187492020428181,68.41737672859338,"tensor(0.0465, device='cuda:0', dtype=torch.float16)","tensor(0.7213, device='cuda:0')"
40,0.915784876793623,68.73865064953206,"tensor(0.0455, device='cuda:0', dtype=torch.float16)","tensor(0.7218, device='cuda:0')"
41,0.9123235621622631,68.64087163011594,"tensor(0.0475, device='cuda:0', dtype=torch.float16)","tensor(0.7205, device='cuda:0')"
42,0.911153359072549,68.43134515993854,"tensor(0.0456, device='cuda:0', dtype=torch.float16)","tensor(0.7157, device='cuda:0')"
43,0.9115095803780215,68.61293476742561,"tensor(0.0451, device='cuda:0', dtype=torch.float16)","tensor(0.7107, device='cuda:0')"
44,0.9122582988015243,68.27769241514179,"tensor(0.0409, device='cuda:0', dtype=torch.float16)","tensor(0.7080, device='cuda:0')"
45,0.9118230076772826,68.3056292778321,"tensor(0.0399, device='cuda:0', dtype=torch.float16)","tensor(0.7078, device='cuda:0')"
46,0.9132692702114582,68.27769241514179,"tensor(0.0464, device='cuda:0', dtype=torch.float16)","tensor(0.7070, device='cuda:0')"
47,0.9153159814221519,68.41737672859338,"tensor(0.0438, device='cuda:0', dtype=torch.float16)","tensor(0.7058, device='cuda:0')"
48,0.9149728130017009,68.40340829724822,"tensor(0.0461, device='cuda:0', dtype=torch.float16)","tensor(0.7011, device='cuda:0')"
