Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5060345145563285,54.53189108541589,0,0
1,1.5060345145563285,54.53189108541589,"tensor(0.1216, device='cuda:0')","tensor(0.8478, device='cuda:0')"
2,1.3545127067537535,55.49701603879149,"tensor(0.1216, device='cuda:0')","tensor(0.8478, device='cuda:0')"
3,1.5077852541137309,54.37803058560239,"tensor(0.0467, device='cuda:0')","tensor(1.6890, device='cuda:0')"
4,1.7005324961528892,51.767064528161136,"tensor(0.0626, device='cuda:0')","tensor(0.8863, device='cuda:0')"
5,1.6701398619583674,52.01883625512868,"tensor(0.1235, device='cuda:0')","tensor(1.2939, device='cuda:0')"
6,1.5390324952701728,53.74860126818351,"tensor(0.1075, device='cuda:0')","tensor(1.2378, device='cuda:0')"
7,1.420085444159451,55.18929503916449,"tensor(0.0607, device='cuda:0')","tensor(0.9375, device='cuda:0')"
8,1.3603440031764054,55.5343155538978,"tensor(0.0215, device='cuda:0')","tensor(0.8656, device='cuda:0')"
9,1.3504827031422229,55.506340917568075,"tensor(0.0016, device='cuda:0')","tensor(1.0199, device='cuda:0')"
10,1.371707522088573,55.42241700857889,"tensor(-0.0031, device='cuda:0')","tensor(1.1123, device='cuda:0')"
11,1.4173910967296077,55.17997016038792,"tensor(-0.0055, device='cuda:0')","tensor(1.0274, device='cuda:0')"
12,1.479744662131582,54.46661693397986,"tensor(-0.0005, device='cuda:0')","tensor(0.8990, device='cuda:0')"
13,1.5372143536806107,53.50149198060425,"tensor(0.0121, device='cuda:0')","tensor(0.8492, device='cuda:0')"
14,1.5671433015238672,52.979298769116,"tensor(0.0291, device='cuda:0')","tensor(0.8963, device='cuda:0')"
15,1.5579033100179263,52.91402461767997,"tensor(0.0380, device='cuda:0')","tensor(0.9445, device='cuda:0')"
16,1.5182077121876536,53.41290563222678,"tensor(0.0338, device='cuda:0')","tensor(0.9289, device='cuda:0')"
17,1.4691368013265587,54.00037299515106,"tensor(0.0210, device='cuda:0')","tensor(0.8737, device='cuda:0')"
18,1.4327605297522885,54.26146960089519,"tensor(0.0052, device='cuda:0')","tensor(0.8413, device='cuda:0')"
19,1.4169315525463648,54.40600522193211,"tensor(-0.0048, device='cuda:0')","tensor(0.8678, device='cuda:0')"
20,1.4202954550938947,54.5272286460276,"tensor(-0.0093, device='cuda:0')","tensor(0.9063, device='cuda:0')"
21,1.4403777069279127,54.46195449459157,"tensor(-0.0098, device='cuda:0')","tensor(0.8971, device='cuda:0')"
22,1.4703903686077822,54.294106676613204,"tensor(-0.0050, device='cuda:0')","tensor(0.8528, device='cuda:0')"
23,1.5007143907603764,53.99571055576278,"tensor(0.0045, device='cuda:0')","tensor(0.8225, device='cuda:0')"
