Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,2.462095207756474,33.300667319986935,0,0
1,2.462095207756474,33.300667319986935,"tensor(1.4730, device='cuda:0')","tensor(0.9955, device='cuda:0')"
2,2.4250206390307065,31.438704559242147,"tensor(1.4730, device='cuda:0')","tensor(0.9955, device='cuda:0')"
3,2.4831312515196347,29.912735078631762,"tensor(1.3885, device='cuda:0')","tensor(1.1623, device='cuda:0')"
4,2.4942042515391396,29.525409491810162,"tensor(1.3479, device='cuda:0')","tensor(1.1493, device='cuda:0')"
5,2.5137056502557935,29.292080825050167,"tensor(1.3024, device='cuda:0')","tensor(1.1646, device='cuda:0')"
6,2.50111089043674,29.390078865089365,"tensor(1.2603, device='cuda:0')","tensor(1.1543, device='cuda:0')"
7,2.4971484563180377,29.198749358346166,"tensor(1.2138, device='cuda:0')","tensor(1.1697, device='cuda:0')"
8,2.5110490410810424,28.84875635820617,"tensor(1.1725, device='cuda:0')","tensor(1.1849, device='cuda:0')"
9,2.522914938983463,28.326100144663773,"tensor(1.1412, device='cuda:0')","tensor(1.1811, device='cuda:0')"
10,2.5171680148868334,28.298100704652573,"tensor(1.1097, device='cuda:0')","tensor(1.1816, device='cuda:0')"
11,2.517918372792857,28.050772317886974,"tensor(1.0790, device='cuda:0')","tensor(1.1851, device='cuda:0')"
12,2.5297563306632496,27.78944421111578,"tensor(1.0510, device='cuda:0')","tensor(1.1911, device='cuda:0')"
13,2.539507379134496,27.640113864389377,"tensor(1.0271, device='cuda:0')","tensor(1.1769, device='cuda:0')"
14,2.5353012397175743,27.42545149097018,"tensor(1.0021, device='cuda:0')","tensor(1.1775, device='cuda:0')"
15,2.5264451581807363,27.43945121097578,"tensor(0.9777, device='cuda:0')","tensor(1.1789, device='cuda:0')"
16,2.5211279690265656,27.29478743758458,"tensor(0.9531, device='cuda:0')","tensor(1.1910, device='cuda:0')"
17,2.519738524087838,27.136123944187784,"tensor(0.9316, device='cuda:0')","tensor(1.1880, device='cuda:0')"
18,2.518487800799665,26.930794717438985,"tensor(0.9110, device='cuda:0')","tensor(1.1849, device='cuda:0')"
19,2.5125404692121913,26.996126744131782,"tensor(0.8923, device='cuda:0')","tensor(1.1800, device='cuda:0')"
20,2.507388872759683,26.968127304120586,"tensor(0.8731, device='cuda:0')","tensor(1.1791, device='cuda:0')"
21,2.5093246290371534,27.010126464137382,"tensor(0.8552, device='cuda:0')","tensor(1.1823, device='cuda:0')"
22,2.507020967347281,26.972793877455786,"tensor(0.8363, device='cuda:0')","tensor(1.1826, device='cuda:0')"
23,2.5044127312444506,26.758131504036587,"tensor(0.8189, device='cuda:0')","tensor(1.1812, device='cuda:0')"
24,2.507011205667541,26.739465210695787,"tensor(0.8030, device='cuda:0')","tensor(1.1840, device='cuda:0')"
25,2.5093379379028367,26.417471650566988,"tensor(0.7880, device='cuda:0')","tensor(1.1846, device='cuda:0')"
26,2.507385329831214,26.49680339726539,"tensor(0.7731, device='cuda:0')","tensor(1.1776, device='cuda:0')"
27,2.5010347018639245,26.21680899715339,"tensor(0.7571, device='cuda:0')","tensor(1.1785, device='cuda:0')"
28,2.493877672368572,26.31014046385739,"tensor(0.7422, device='cuda:0')","tensor(1.1792, device='cuda:0')"
29,2.491519354638599,26.05347893042139,"tensor(0.7274, device='cuda:0')","tensor(1.1767, device='cuda:0')"
30,2.4949074650094625,26.17947641047179,"tensor(0.7142, device='cuda:0')","tensor(1.1743, device='cuda:0')"
31,2.494201254631792,26.29614074385179,"tensor(0.7012, device='cuda:0')","tensor(1.1791, device='cuda:0')"
32,2.493198428835188,26.375472490550187,"tensor(0.6868, device='cuda:0')","tensor(1.1692, device='cuda:0')"
33,2.498273420546736,26.51080311727099,"tensor(0.6742, device='cuda:0')","tensor(1.1743, device='cuda:0')"
34,2.501627776594389,26.32880675719819,"tensor(0.6631, device='cuda:0')","tensor(1.1728, device='cuda:0')"
35,2.499049961566925,26.28680759718139,"tensor(0.6494, device='cuda:0')","tensor(1.1718, device='cuda:0')"
36,2.4992470613547733,26.33347333053339,"tensor(0.6346, device='cuda:0')","tensor(1.1665, device='cuda:0')"
37,2.5001080944424583,26.25414158383499,"tensor(0.6219, device='cuda:0')","tensor(1.1689, device='cuda:0')"
38,2.49963883629867,26.24014186382939,"tensor(0.6105, device='cuda:0')","tensor(1.1615, device='cuda:0')"
39,2.5025879726523446,26.370805917214987,"tensor(0.5990, device='cuda:0')","tensor(1.1581, device='cuda:0')"
40,2.49577153048345,26.655466890662186,"tensor(0.5886, device='cuda:0')","tensor(1.1578, device='cuda:0')"
41,2.5044555756307783,26.604134583974986,"tensor(0.5765, device='cuda:0')","tensor(1.1557, device='cuda:0')"
42,2.5160653037684306,26.36147277054459,"tensor(0.5656, device='cuda:0')","tensor(1.1530, device='cuda:0')"
43,2.515091758398783,26.31480703719259,"tensor(0.5565, device='cuda:0')","tensor(1.1470, device='cuda:0')"
44,2.5103966423443387,26.29614074385179,"tensor(0.5466, device='cuda:0')","tensor(1.1453, device='cuda:0')"
45,2.5138854412805465,26.22147557048859,"tensor(0.5352, device='cuda:0')","tensor(1.1421, device='cuda:0')"
46,2.5167511765445982,26.04414578375099,"tensor(0.5265, device='cuda:0')","tensor(1.1371, device='cuda:0')"
47,2.5182456423838935,26.06747865042699,"tensor(0.5183, device='cuda:0')","tensor(1.1363, device='cuda:0')"
48,2.5158544963314418,26.104811237108592,"tensor(0.5109, device='cuda:0')","tensor(1.1314, device='cuda:0')"
49,2.5106884986162186,26.380139063885387,"tensor(0.5006, device='cuda:0')","tensor(1.1276, device='cuda:0')"
50,2.511028073373295,26.32414018386299,"tensor(0.4909, device='cuda:0')","tensor(1.1256, device='cuda:0')"
51,2.5131347534202395,26.23080871715899,"tensor(0.4830, device='cuda:0')","tensor(1.1181, device='cuda:0')"
52,2.5156385487034205,26.36147277054459,"tensor(0.4775, device='cuda:0')","tensor(1.1179, device='cuda:0')"
53,2.5103012848468054,26.24014186382939,"tensor(0.4718, device='cuda:0')","tensor(1.1106, device='cuda:0')"
54,2.506912900578408,26.27280787717579,"tensor(0.4615, device='cuda:0')","tensor(1.1083, device='cuda:0')"
55,2.5123316588855924,26.114144383778992,"tensor(0.4533, device='cuda:0')","tensor(1.1057, device='cuda:0')"
56,2.5193502612057186,25.904148583694994,"tensor(0.4478, device='cuda:0')","tensor(1.1058, device='cuda:0')"
57,2.5205238042842772,25.96481403705259,"tensor(0.4418, device='cuda:0')","tensor(1.1027, device='cuda:0')"
58,2.5187541941801705,25.871482570348594,"tensor(0.4339, device='cuda:0')","tensor(1.0991, device='cuda:0')"
59,2.524542722673643,25.759484810303793,"tensor(0.4264, device='cuda:0')","tensor(1.0923, device='cuda:0')"
60,2.522387460583732,25.908815157030194,"tensor(0.4203, device='cuda:0')","tensor(1.0892, device='cuda:0')"
61,2.5203033167691458,26.02081291707499,"tensor(0.4137, device='cuda:0')","tensor(1.0871, device='cuda:0')"
62,2.5240788956483207,25.941481170376594,"tensor(0.4071, device='cuda:0')","tensor(1.0810, device='cuda:0')"
63,2.5268114372378303,25.894815437024594,"tensor(0.4025, device='cuda:0')","tensor(1.0763, device='cuda:0')"
64,2.526690129722868,25.680153063605395,"tensor(0.3968, device='cuda:0')","tensor(1.0746, device='cuda:0')"
65,2.529649699018115,25.862149423678193,"tensor(0.3877, device='cuda:0')","tensor(1.0701, device='cuda:0')"
66,2.5311078266018914,25.801483970320593,"tensor(0.3832, device='cuda:0')","tensor(1.0671, device='cuda:0')"
67,2.5279133067954156,25.880815717018994,"tensor(0.3779, device='cuda:0')","tensor(1.0549, device='cuda:0')"
68,2.5251610885773386,25.936814597041394,"tensor(0.3714, device='cuda:0')","tensor(1.0549, device='cuda:0')"
69,2.5300773822125935,26.072145223762192,"tensor(0.3652, device='cuda:0')","tensor(1.0513, device='cuda:0')"
70,2.5297407334049544,25.97881375705819,"tensor(0.3614, device='cuda:0')","tensor(1.0455, device='cuda:0')"
71,2.5242118022981144,26.23547529049419,"tensor(0.3551, device='cuda:0')","tensor(1.0421, device='cuda:0')"
72,2.522896414711362,26.03947921041579,"tensor(0.3485, device='cuda:0')","tensor(1.0381, device='cuda:0')"
73,2.5272089533862614,26.19814270381259,"tensor(0.3444, device='cuda:0')","tensor(1.0333, device='cuda:0')"
74,2.527260702635561,25.95548089038219,"tensor(0.3395, device='cuda:0')","tensor(1.0300, device='cuda:0')"
75,2.533278154475348,25.806150543655793,"tensor(0.3335, device='cuda:0')","tensor(1.0263, device='cuda:0')"
76,2.5355443003631772,25.866815997013394,"tensor(0.3291, device='cuda:0')","tensor(1.0222, device='cuda:0')"
77,2.538789877224536,25.768817956974193,"tensor(0.3239, device='cuda:0')","tensor(1.0211, device='cuda:0')"
78,2.544119416248231,25.838816557002193,"tensor(0.3196, device='cuda:0')","tensor(1.0129, device='cuda:0')"
79,2.545095811287562,25.810817116990993,"tensor(0.3147, device='cuda:0')","tensor(1.0137, device='cuda:0')"
80,2.5564790800923394,25.549489010219794,"tensor(0.3089, device='cuda:0')","tensor(1.0094, device='cuda:0')"
81,2.5599417104607536,25.418824956834197,"tensor(0.3073, device='cuda:0')","tensor(1.0046, device='cuda:0')"
82,2.5538495026883625,25.605487890242195,"tensor(0.3027, device='cuda:0')","tensor(0.9985, device='cuda:0')"
83,2.558701901208787,25.451490970180597,"tensor(0.2985, device='cuda:0')","tensor(0.9990, device='cuda:0')"
84,2.5508875442402705,25.684819636940595,"tensor(0.2965, device='cuda:0')","tensor(0.9950, device='cuda:0')"
85,2.55643021492731,25.540155863549394,"tensor(0.2921, device='cuda:0')","tensor(0.9909, device='cuda:0')"
86,2.547826188660803,25.535489290214194,"tensor(0.2874, device='cuda:0')","tensor(0.9863, device='cuda:0')"
87,2.550216398068837,25.521489570208598,"tensor(0.2815, device='cuda:0')","tensor(0.9841, device='cuda:0')"
88,2.5568164945358323,25.3068271967894,"tensor(0.2785, device='cuda:0')","tensor(0.9811, device='cuda:0')"
89,2.552229561266445,25.0688319566942,"tensor(0.2743, device='cuda:0')","tensor(0.9784, device='cuda:0')"
90,2.5631852990814616,25.0921648233702,"tensor(0.2694, device='cuda:0')","tensor(0.9791, device='cuda:0')"
91,2.5588174625521614,25.185496290074198,"tensor(0.2679, device='cuda:0')","tensor(0.9704, device='cuda:0')"
92,2.554787460182394,25.348826356806196,"tensor(0.2648, device='cuda:0')","tensor(0.9658, device='cuda:0')"
93,2.555606597591014,25.166829996733398,"tensor(0.2610, device='cuda:0')","tensor(0.9639, device='cuda:0')"
94,2.552787318470932,25.274161183443,"tensor(0.2598, device='cuda:0')","tensor(0.9619, device='cuda:0')"
95,2.560345066800004,25.1994960100798,"tensor(0.2547, device='cuda:0')","tensor(0.9594, device='cuda:0')"
96,2.560187627517042,25.157496850062998,"tensor(0.2528, device='cuda:0')","tensor(0.9560, device='cuda:0')"
97,2.5580255814961026,25.138830556722198,"tensor(0.2489, device='cuda:0')","tensor(0.9507, device='cuda:0')"
98,2.5626708804851486,25.2321620234262,"tensor(0.2463, device='cuda:0')","tensor(0.9484, device='cuda:0')"
99,2.5571004244543256,25.2368285967614,"tensor(0.2445, device='cuda:0')","tensor(0.9462, device='cuda:0')"
100,2.556000366806984,25.353492930141396,"tensor(0.2393, device='cuda:0')","tensor(0.9429, device='cuda:0')"
101,2.5589311314480647,25.502823276867797,"tensor(0.2371, device='cuda:0')","tensor(0.9411, device='cuda:0')"
102,2.5529543285568557,25.409491810163797,"tensor(0.2350, device='cuda:0')","tensor(0.9380, device='cuda:0')"
103,2.559889154065223,25.325493490130196,"tensor(0.2326, device='cuda:0')","tensor(0.9357, device='cuda:0')"
104,2.5536253991581144,25.1994960100798,"tensor(0.2298, device='cuda:0')","tensor(0.9329, device='cuda:0')"
105,2.556893232677664,25.446824396845397,"tensor(0.2289, device='cuda:0')","tensor(0.9335, device='cuda:0')"
106,2.548003992864064,25.526156143543794,"tensor(0.2269, device='cuda:0')","tensor(0.9257, device='cuda:0')"
107,2.54195907499109,25.554155583554994,"tensor(0.2246, device='cuda:0')","tensor(0.9213, device='cuda:0')"
108,2.565441804272788,25.2928274767838,"tensor(0.2217, device='cuda:0')","tensor(0.9199, device='cuda:0')"
109,2.550219278605211,25.204162583415,"tensor(0.2222, device='cuda:0')","tensor(0.9236, device='cuda:0')"
110,2.5577786153271083,25.2928274767838,"tensor(0.2190, device='cuda:0')","tensor(0.9326, device='cuda:0')"
111,2.5382819182816005,25.507489850202997,"tensor(0.2172, device='cuda:0')","tensor(0.9258, device='cuda:0')"
112,2.5481977111526897,25.358159503476596,"tensor(0.2125, device='cuda:0')","tensor(0.9195, device='cuda:0')"
113,2.560382931005387,25.451490970180597,"tensor(0.2132, device='cuda:0')","tensor(0.9094, device='cuda:0')"
114,2.5407593179316748,25.390825516822996,"tensor(0.2105, device='cuda:0')","tensor(0.9120, device='cuda:0')"
115,2.557005549825373,25.493490130197397,"tensor(0.2061, device='cuda:0')","tensor(0.9139, device='cuda:0')"
116,2.550819388457707,25.507489850202997,"tensor(0.2090, device='cuda:0')","tensor(0.9040, device='cuda:0')"
117,2.5506229560290063,25.437491250174997,"tensor(0.2049, device='cuda:0')","tensor(0.8990, device='cuda:0')"
118,2.563732059228988,25.451490970180597,"tensor(0.2008, device='cuda:0')","tensor(0.8997, device='cuda:0')"
119,2.5448463874913396,25.624154183582995,"tensor(0.2001, device='cuda:0')","tensor(0.9061, device='cuda:0')"
120,2.5527497870581493,25.512156423538197,"tensor(0.1947, device='cuda:0')","tensor(0.9041, device='cuda:0')"
121,2.5656242136444365,25.512156423538197,"tensor(0.1921, device='cuda:0')","tensor(0.8937, device='cuda:0')"
122,2.5564030337901342,25.460824116850997,"tensor(0.1918, device='cuda:0')","tensor(0.8947, device='cuda:0')"
123,2.560010071311678,25.451490970180597,"tensor(0.1926, device='cuda:0')","tensor(0.8982, device='cuda:0')"
124,2.5582201253800165,25.320826916794996,"tensor(0.1884, device='cuda:0')","tensor(0.8863, device='cuda:0')"
125,2.54972755163908,25.670819916934995,"tensor(0.1885, device='cuda:0')","tensor(0.8846, device='cuda:0')"
126,2.5628511948244914,25.572821876895794,"tensor(0.1871, device='cuda:0')","tensor(0.8941, device='cuda:0')"
127,2.5550684311560223,25.414158383498997,"tensor(0.1863, device='cuda:0')","tensor(0.8798, device='cuda:0')"
128,2.557241112348579,25.479490410191797,"tensor(0.1811, device='cuda:0')","tensor(0.8816, device='cuda:0')"
129,2.5635343392690024,25.568155303560594,"tensor(0.1804, device='cuda:0')","tensor(0.8754, device='cuda:0')"
130,2.5531877875328064,25.414158383498997,"tensor(0.1800, device='cuda:0')","tensor(0.8777, device='cuda:0')"
131,2.5519368804636455,25.372159223482196,"tensor(0.1744, device='cuda:0')","tensor(0.8742, device='cuda:0')"
132,2.562477756114233,25.348826356806196,"tensor(0.1725, device='cuda:0')","tensor(0.8716, device='cuda:0')"
133,2.55055225924367,25.675486490270195,"tensor(0.1755, device='cuda:0')","tensor(0.8675, device='cuda:0')"
134,2.5496888082651865,25.619487610247795,"tensor(0.1729, device='cuda:0')","tensor(0.8627, device='cuda:0')"
135,2.569037831964947,25.390825516822996,"tensor(0.1713, device='cuda:0')","tensor(0.8645, device='cuda:0')"
136,2.562678192343031,25.348826356806196,"tensor(0.1728, device='cuda:0')","tensor(0.8622, device='cuda:0')"
137,2.5626700605664934,25.320826916794996,"tensor(0.1708, device='cuda:0')","tensor(0.8624, device='cuda:0')"
138,2.5569229306919232,25.554155583554994,"tensor(0.1688, device='cuda:0')","tensor(0.8596, device='cuda:0')"
139,2.5518329274796305,25.722152223622196,"tensor(0.1659, device='cuda:0')","tensor(0.8546, device='cuda:0')"
140,2.5610192042021525,25.334826636800596,"tensor(0.1642, device='cuda:0')","tensor(0.8586, device='cuda:0')"
141,2.559566772409848,25.316160343459796,"tensor(0.1635, device='cuda:0')","tensor(0.8519, device='cuda:0')"
142,2.556862958485172,25.376825796817396,"tensor(0.1611, device='cuda:0')","tensor(0.8528, device='cuda:0')"
143,2.5574676174493063,25.2834943301134,"tensor(0.1603, device='cuda:0')","tensor(0.8495, device='cuda:0')"
144,2.5465559288859367,25.484156983526997,"tensor(0.1576, device='cuda:0')","tensor(0.8478, device='cuda:0')"
145,2.551679195747489,25.442157823510197,"tensor(0.1549, device='cuda:0')","tensor(0.8474, device='cuda:0')"
146,2.549070319604306,25.372159223482196,"tensor(0.1534, device='cuda:0')","tensor(0.8436, device='cuda:0')"
147,2.5537055205731165,25.297494050119,"tensor(0.1508, device='cuda:0')","tensor(0.8433, device='cuda:0')"
148,2.5621971374466304,25.428158103504597,"tensor(0.1487, device='cuda:0')","tensor(0.8414, device='cuda:0')"
149,2.5638531006517864,25.2368285967614,"tensor(0.1496, device='cuda:0')","tensor(0.8396, device='cuda:0')"
150,2.555421558873994,25.530822716878994,"tensor(0.1500, device='cuda:0')","tensor(0.8383, device='cuda:0')"
