Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5060345145563285,54.53189108541589,0,0
1,1.37515777180947,54.9515106303618,"tensor(0.0328, device='cuda:0')","tensor(0.8466, device='cuda:0')"
2,1.5518060651208674,53.562103692651995,"tensor(0.0542, device='cuda:0')","tensor(1.6231, device='cuda:0')"
3,1.735426122411376,51.174934725848566,"tensor(0.0343, device='cuda:0')","tensor(0.8831, device='cuda:0')"
4,1.688437470013187,51.61786646773592,"tensor(0.1849, device='cuda:0')","tensor(1.3348, device='cuda:0')"
5,1.552304675891286,53.48750466243939,"tensor(0.1997, device='cuda:0')","tensor(1.2421, device='cuda:0')"
6,1.4371114921356951,54.99813502424468,"tensor(-0.0350, device='cuda:0')","tensor(0.9344, device='cuda:0')"
7,1.383280564986524,55.268556508765386,"tensor(-0.0391, device='cuda:0')","tensor(0.8688, device='cuda:0')"
8,1.3767461948806332,55.221932114882506,"tensor(0.0296, device='cuda:0')","tensor(1.0112, device='cuda:0')"
9,1.4039420881086873,54.97016038791496,"tensor(0.0390, device='cuda:0')","tensor(1.0837, device='cuda:0')"
10,1.4503270309595835,54.648452070123085,"tensor(0.1471, device='cuda:0')","tensor(1.0063, device='cuda:0')"
11,1.508029003938039,54.01902275270422,"tensor(-0.0023, device='cuda:0')","tensor(0.8891, device='cuda:0')"
12,1.5578016745192664,53.23573293547184,"tensor(0.0247, device='cuda:0')","tensor(0.8460, device='cuda:0')"
13,1.584262382416498,52.98862364789258,"tensor(-0.0566, device='cuda:0')","tensor(0.8794, device='cuda:0')"
14,1.5754863218892188,53.04923535994032,"tensor(0.1338, device='cuda:0')","tensor(0.9240, device='cuda:0')"
15,1.5392049700021744,53.29168220813129,"tensor(0.2251, device='cuda:0')","tensor(0.9181, device='cuda:0')"
16,1.4919479008586634,53.83718761656098,"tensor(0.1275, device='cuda:0')","tensor(0.8668, device='cuda:0')"
17,1.4511000315348308,54.30809399477807,"tensor(0.1406, device='cuda:0')","tensor(0.8230, device='cuda:0')"
18,1.4307784283799785,54.5272286460276,"tensor(0.2128, device='cuda:0')","tensor(0.8224, device='cuda:0')"
19,1.430367981394132,54.4899291309213,"tensor(0.0736, device='cuda:0')","tensor(0.8502, device='cuda:0')"
20,1.4464092598784537,54.56452816113391,"tensor(0.0026, device='cuda:0')","tensor(0.8618, device='cuda:0')"
