Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5477682451407115,51.120011176826715,0,0
1,1.5488710765327727,51.53448516741955,"tensor(0.0696, device='cuda:0')","tensor(0.8526, device='cuda:0')"
2,1.519443467259407,51.6043403343734,"tensor(0.0811, device='cuda:0')","tensor(1.4251, device='cuda:0')"
3,1.6155658415740444,50.08149769477949,"tensor(0.0716, device='cuda:0')","tensor(0.9403, device='cuda:0')"
4,1.6357181042077995,49.54128440366973,"tensor(0.0726, device='cuda:0')","tensor(1.0281, device='cuda:0')"
5,1.59703115267413,49.694965770968196,"tensor(0.0672, device='cuda:0')","tensor(1.0661, device='cuda:0')"
6,1.5619043606732572,50.29106319564104,"tensor(0.0611, device='cuda:0')","tensor(0.9343, device='cuda:0')"
7,1.5311734559280532,50.929073720486194,"tensor(0.0591, device='cuda:0')","tensor(0.8887, device='cuda:0')"
8,1.5045677175124486,51.343547711079026,"tensor(0.0633, device='cuda:0')","tensor(0.9047, device='cuda:0')"
9,1.4865512592451913,51.58105527872212,"tensor(0.0535, device='cuda:0')","tensor(0.9170, device='cuda:0')"
10,1.4772536264998573,51.636939412285194,"tensor(0.0611, device='cuda:0')","tensor(0.9045, device='cuda:0')"
11,1.4860581603078615,51.525171145159035,"tensor(0.0639, device='cuda:0')","tensor(0.8720, device='cuda:0')"
12,1.4993892861973672,51.2178084105621,"tensor(0.0684, device='cuda:0')","tensor(0.8445, device='cuda:0')"
13,1.5195984510438783,50.74279327527593,"tensor(0.0616, device='cuda:0')","tensor(0.8248, device='cuda:0')"
14,1.536858188077098,50.211894006426675,"tensor(0.0883, device='cuda:0')","tensor(0.8103, device='cuda:0')"
15,1.5490686914750509,49.8765892050482,"tensor(0.0659, device='cuda:0')","tensor(0.8085, device='cuda:0')"
16,1.5507568743612086,49.927816327481025,"tensor(0.0799, device='cuda:0')","tensor(0.8070, device='cuda:0')"
17,1.5431531823816753,50.23517906207796,"tensor(0.0722, device='cuda:0')","tensor(0.8014, device='cuda:0')"
