Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5060345145563285,54.53189108541589,0,0
1,4.336172244910683,24.305296531145096,"tensor(0.1765, device='cuda:0')","tensor(0.8466, device='cuda:0')"
2,1.9368437347667558,45.188362551286836,"tensor(1.6683, device='cuda:0')","tensor(21.0180, device='cuda:0')"
3,2.110597152085531,43.63577023498694,"tensor(0.4775, device='cuda:0')","tensor(4.0074, device='cuda:0')"
4,2.213956718820901,42.04587840358075,"tensor(0.1189, device='cuda:0')","tensor(4.2881, device='cuda:0')"
5,2.0604162445025787,43.332711674748225,"tensor(0.5058, device='cuda:0')","tensor(5.4940, device='cuda:0')"
6,1.8470370368588538,45.780492353599406,"tensor(0.3728, device='cuda:0')","tensor(4.9386, device='cuda:0')"
7,1.6789076335373379,47.92987691160015,"tensor(0.1627, device='cuda:0')","tensor(3.9169, device='cuda:0')"
8,1.5558615596521468,49.608355091383814,"tensor(0.1770, device='cuda:0')","tensor(3.4079, device='cuda:0')"
9,1.4800214203340667,50.90451324132786,"tensor(0.1409, device='cuda:0')","tensor(3.2118, device='cuda:0')"
10,1.4344228573498272,51.98619917941067,"tensor(0.0216, device='cuda:0')","tensor(3.1282, device='cuda:0')"
11,1.411167361551807,52.55035434539351,"tensor(-0.1244, device='cuda:0')","tensor(3.0450, device='cuda:0')"
12,1.4018013910168694,52.26594554270795,"tensor(-0.1000, device='cuda:0')","tensor(2.9589, device='cuda:0')"
13,1.4060419255069323,51.49664304364043,"tensor(-0.0098, device='cuda:0')","tensor(2.9052, device='cuda:0')"
14,1.4265169660959924,50.57348004475942,"tensor(-0.0262, device='cuda:0')","tensor(2.8673, device='cuda:0')"
15,1.4536964077325094,49.967362924281986,"tensor(-0.0927, device='cuda:0')","tensor(2.8209, device='cuda:0')"
16,1.475314703016054,49.61767997016039,"tensor(-0.3725, device='cuda:0')","tensor(2.7457, device='cuda:0')"
17,1.4972941428422928,49.65497948526669,"tensor(-0.2562, device='cuda:0')","tensor(2.6466, device='cuda:0')"
18,1.5114185810089111,49.920738530399106,"tensor(-0.1888, device='cuda:0')","tensor(2.5784, device='cuda:0')"
19,1.5333822137188344,49.939388287952255,"tensor(0.1303, device='cuda:0')","tensor(2.5489, device='cuda:0')"
20,1.5420632710059483,50.060611712047745,"tensor(-0.0113, device='cuda:0')","tensor(2.5333, device='cuda:0')"
21,1.5398572236299515,50.29373368146214,"tensor(0.1509, device='cuda:0')","tensor(2.5187, device='cuda:0')"
22,1.522333402364027,50.960462513987316,"tensor(-0.2057, device='cuda:0')","tensor(2.4914, device='cuda:0')"
23,1.4980667183796565,51.6271913465125,"tensor(0.0583, device='cuda:0')","tensor(2.4474, device='cuda:0')"
24,1.4807584473774547,51.99552405818724,"tensor(-0.1288, device='cuda:0')","tensor(2.3899, device='cuda:0')"
25,1.4585853006158556,52.64360313315927,"tensor(-0.0135, device='cuda:0')","tensor(2.3197, device='cuda:0')"
26,1.4430361035324277,52.98396120850429,"tensor(-0.2720, device='cuda:0')","tensor(2.2629, device='cuda:0')"
27,1.451250087647211,52.81145095113764,"tensor(0.2175, device='cuda:0')","tensor(2.2053, device='cuda:0')"
28,1.481339407818658,51.790376725102576,"tensor(0.2819, device='cuda:0')","tensor(2.1494, device='cuda:0')"
29,1.4973207304165477,51.23554643789631,"tensor(-0.0620, device='cuda:0')","tensor(2.0856, device='cuda:0')"
30,1.4955204519487562,50.84856396866841,"tensor(0.1140, device='cuda:0')","tensor(2.0327, device='cuda:0')"
31,1.4989278419386773,50.37299515106304,"tensor(-0.0208, device='cuda:0')","tensor(1.9783, device='cuda:0')"
32,1.492319910654,50.13521074226035,"tensor(0.0258, device='cuda:0')","tensor(1.9340, device='cuda:0')"
33,1.5018230754704702,49.631667288325254,"tensor(-0.0374, device='cuda:0')","tensor(1.8889, device='cuda:0')"
34,1.5036811094198907,49.65497948526669,"tensor(-0.1039, device='cuda:0')","tensor(1.8389, device='cuda:0')"
35,1.5187631597121556,49.27265945542708,"tensor(0.0614, device='cuda:0')","tensor(1.7920, device='cuda:0')"
36,1.5463055478675025,48.43342036553525,"tensor(-0.0139, device='cuda:0')","tensor(1.7508, device='cuda:0')"
37,1.567475819871539,47.47295785154793,"tensor(-0.1634, device='cuda:0')","tensor(1.7200, device='cuda:0')"
38,1.5630905582081704,47.54289444237225,"tensor(-0.2522, device='cuda:0')","tensor(1.6852, device='cuda:0')"
39,1.5651212458809216,46.768929503916446,"tensor(0.1622, device='cuda:0')","tensor(1.6420, device='cuda:0')"
40,1.57236628589176,46.06956359567326,"tensor(-0.0261, device='cuda:0')","tensor(1.6222, device='cuda:0')"
41,1.572982719611554,45.62196941439761,"tensor(-0.0521, device='cuda:0')","tensor(1.6010, device='cuda:0')"
42,1.5680482543650127,45.701230883998505,"tensor(-0.0104, device='cuda:0')","tensor(1.5704, device='cuda:0')"
43,1.5524436725037438,46.862178291682206,"tensor(-0.1358, device='cuda:0')","tensor(1.5298, device='cuda:0')"
44,1.5449964262190319,48.24692279000373,"tensor(-0.1499, device='cuda:0')","tensor(1.4950, device='cuda:0')"
45,1.5660635360649653,48.04177545691906,"tensor(0.1779, device='cuda:0')","tensor(1.4917, device='cuda:0')"
46,1.5623008243384815,48.209623274897424,"tensor(0.1284, device='cuda:0')","tensor(1.4944, device='cuda:0')"
47,1.5436798103508496,48.52666915330101,"tensor(0.0490, device='cuda:0')","tensor(1.4521, device='cuda:0')"
48,1.52114606293894,49.05818724356583,"tensor(-0.1700, device='cuda:0')","tensor(1.4060, device='cuda:0')"
49,1.5028448679617472,49.36124580380455,"tensor(-0.3588, device='cuda:0')","tensor(1.4003, device='cuda:0')"
50,1.5055171272584371,49.56639313688922,"tensor(0.0120, device='cuda:0')","tensor(1.4152, device='cuda:0')"
51,1.5307624680655343,49.54308093994778,"tensor(-0.0971, device='cuda:0')","tensor(1.3836, device='cuda:0')"
52,1.5652000091615177,49.17474822827303,"tensor(0.1680, device='cuda:0')","tensor(1.3154, device='cuda:0')"
53,1.5630116725251788,49.64565460649012,"tensor(0.0431, device='cuda:0')","tensor(1.3257, device='cuda:0')"
54,1.5302550097306569,50.223797090637824,"tensor(0.0792, device='cuda:0')","tensor(1.3204, device='cuda:0')"
55,1.4923564727817262,50.75531518090265,"tensor(-0.0347, device='cuda:0')","tensor(1.2690, device='cuda:0')"
56,1.4681668707302638,50.84856396866841,"tensor(0.0160, device='cuda:0')","tensor(1.2477, device='cuda:0')"
57,1.4572373156746228,51.06769861991794,"tensor(-0.0199, device='cuda:0')","tensor(1.2816, device='cuda:0')"
58,1.4705132338262739,51.146960089518835,"tensor(-0.1518, device='cuda:0')","tensor(1.2823, device='cuda:0')"
59,1.5117782625768865,50.512868332711676,"tensor(0.1044, device='cuda:0')","tensor(1.2155, device='cuda:0')"
60,1.5539173558354378,50.223797090637824,"tensor(-0.0343, device='cuda:0')","tensor(1.1924, device='cuda:0')"
61,1.5486537856715066,50.75997762029094,"tensor(-0.1993, device='cuda:0')","tensor(1.2166, device='cuda:0')"
62,1.5071349871300517,51.53394255874674,"tensor(-0.1800, device='cuda:0')","tensor(1.1906, device='cuda:0')"
63,1.479729223819006,51.762402088772845,"tensor(0.1023, device='cuda:0')","tensor(1.1453, device='cuda:0')"
64,1.4801600610926038,51.692465497948525,"tensor(0.0470, device='cuda:0')","tensor(1.1631, device='cuda:0')"
