Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,2.3353289158216546,44.70967440556827,"tensor(0.2750, device='cuda:0')","tensor(0.6435, device='cuda:0')"
2,3.4601956985536075,40.73901060400804,"tensor(0.5138, device='cuda:0')","tensor(6.8155, device='cuda:0')"
3,1.9230750194262891,50.964637735320224,"tensor(0.7594, device='cuda:0')","tensor(10.4390, device='cuda:0')"
4,1.762448931911162,50.00700705376746,"tensor(0.2295, device='cuda:0')","tensor(2.8984, device='cuda:0')"
5,1.8096880790378367,48.40939879478675,"tensor(0.0945, device='cuda:0')","tensor(3.3366, device='cuda:0')"
6,1.8382669508102394,48.591582192740695,"tensor(0.0964, device='cuda:0')","tensor(4.3611, device='cuda:0')"
7,1.9347921954024405,47.66197972625777,"tensor(0.2779, device='cuda:0')","tensor(3.7667, device='cuda:0')"
8,2.0074018605408215,46.99397393375998,"tensor(0.0228, device='cuda:0')","tensor(3.2464, device='cuda:0')"
9,1.9725333171940984,47.88620544681646,"tensor(0.2093, device='cuda:0')","tensor(3.0687, device='cuda:0')"
10,1.885177211924678,49.586583827719906,"tensor(0.0315, device='cuda:0')","tensor(2.8954, device='cuda:0')"
11,1.8038925274851776,51.20754893259214,"tensor(0.2423, device='cuda:0')","tensor(2.6567, device='cuda:0')"
12,1.7533927205063047,52.12780866071846,"tensor(0.3501, device='cuda:0')","tensor(2.4883, device='cuda:0')"
13,1.7317818688849609,52.38006259634699,"tensor(0.1095, device='cuda:0')","tensor(2.4282, device='cuda:0')"
14,1.7389020323753357,52.44546176484327,"tensor(0.0935, device='cuda:0')","tensor(2.3691, device='cuda:0')"
15,1.7774527133220719,51.90825430933807,"tensor(-0.0675, device='cuda:0')","tensor(2.2549, device='cuda:0')"
16,1.8299736064814387,51.31031905451488,"tensor(-0.0257, device='cuda:0')","tensor(2.1099, device='cuda:0')"
17,1.868112400174141,50.61428504694726,"tensor(-0.0647, device='cuda:0')","tensor(2.0497, device='cuda:0')"
18,1.8633181069578444,50.85252487504088,"tensor(0.0757, device='cuda:0')","tensor(2.0326, device='cuda:0')"
19,1.8351260356250263,51.408417807259305,"tensor(0.0952, device='cuda:0')","tensor(1.9839, device='cuda:0')"
20,1.8219317893187206,51.441117391507454,"tensor(-0.0090, device='cuda:0')","tensor(1.9418, device='cuda:0')"
21,1.835868357547692,50.23590414350446,"tensor(0.0518, device='cuda:0')","tensor(1.9185, device='cuda:0')"
22,1.854286408140546,45.57854907273322,"tensor(0.2616, device='cuda:0')","tensor(1.7999, device='cuda:0')"
23,1.8266180076059841,49.08674732564115,"tensor(-0.0085, device='cuda:0')","tensor(1.6998, device='cuda:0')"
24,1.7958952128177597,50.24057551268277,"tensor(-0.0826, device='cuda:0')","tensor(1.6216, device='cuda:0')"
25,1.7694359162733668,50.665670107908625,"tensor(-0.0893, device='cuda:0')","tensor(1.5865, device='cuda:0')"
26,1.75636501681237,50.4928294483113,"tensor(0.0269, device='cuda:0')","tensor(1.5605, device='cuda:0')"
27,1.7563510710994403,47.95627598449106,"tensor(-0.2664, device='cuda:0')","tensor(1.5286, device='cuda:0')"
28,1.7812196087269556,45.6392768720512,"tensor(-0.0743, device='cuda:0')","tensor(1.5003, device='cuda:0')"
29,1.7934999322252614,45.947587237819405,"tensor(0.0356, device='cuda:0')","tensor(1.4385, device='cuda:0')"
30,1.8280003574632464,46.99397393375998,"tensor(-0.0433, device='cuda:0')","tensor(1.4030, device='cuda:0')"
31,1.8358446393339407,50.68902695380016,"tensor(-0.0845, device='cuda:0')","tensor(1.3932, device='cuda:0')"
32,1.8400962512407983,50.7217265380483,"tensor(0.1369, device='cuda:0')","tensor(1.3511, device='cuda:0')"
33,1.8363475065146173,50.89923856682394,"tensor(-0.0532, device='cuda:0')","tensor(1.3225, device='cuda:0')"
34,1.812701431768281,51.15149250245247,"tensor(0.0487, device='cuda:0')","tensor(1.3283, device='cuda:0')"
35,1.788980449239413,51.824169664128554,"tensor(-0.0599, device='cuda:0')","tensor(1.2729, device='cuda:0')"
36,1.7752252838441305,52.506189564161254,"tensor(-0.0434, device='cuda:0')","tensor(1.2268, device='cuda:0')"
37,1.7658711998235612,52.53421777923109,"tensor(-0.0058, device='cuda:0')","tensor(1.2532, device='cuda:0')"
38,1.7655054075377328,53.01069743541832,"tensor(-0.1075, device='cuda:0')","tensor(1.2261, device='cuda:0')"
39,1.7889696132569086,52.75844349978979,"tensor(0.1210, device='cuda:0')","tensor(1.1912, device='cuda:0')"
40,1.8129835304405009,52.52020367169617,"tensor(0.0691, device='cuda:0')","tensor(1.1579, device='cuda:0')"
41,1.8073719631703127,52.566917363479234,"tensor(0.0369, device='cuda:0')","tensor(1.1422, device='cuda:0')"
42,1.7746330430465085,52.87055636006914,"tensor(0.0397, device='cuda:0')","tensor(1.1257, device='cuda:0')"
43,1.7344018281215714,53.66468912038118,"tensor(-0.0229, device='cuda:0')","tensor(1.0854, device='cuda:0')"
44,1.6881896922630923,54.60830569439903,"tensor(-0.0514, device='cuda:0')","tensor(1.0661, device='cuda:0')"
45,1.6761945493164516,54.59896295604241,"tensor(-0.0649, device='cuda:0')","tensor(1.0745, device='cuda:0')"
46,1.6963193829925287,54.323352174522356,"tensor(-0.0716, device='cuda:0')","tensor(1.0587, device='cuda:0')"
47,1.7418342312531812,54.2065679450647,"tensor(-0.2246, device='cuda:0')","tensor(1.0382, device='cuda:0')"
48,1.771680622583344,54.066426869715514,"tensor(0.2068, device='cuda:0')","tensor(1.0052, device='cuda:0')"
49,1.7696271031385375,54.34203765123558,"tensor(0.0395, device='cuda:0')","tensor(1.0022, device='cuda:0')"
50,1.7092979051882313,54.61297706357733,"tensor(0.0199, device='cuda:0')","tensor(0.9794, device='cuda:0')"
51,1.6986289203521752,54.72976129303499,"tensor(0.0603, device='cuda:0')","tensor(0.9947, device='cuda:0')"
52,1.709025871363424,54.60830569439903,"tensor(0.1906, device='cuda:0')","tensor(1.0026, device='cuda:0')"
53,1.7250391812551589,54.113140561498575,"tensor(0.1272, device='cuda:0')","tensor(0.9547, device='cuda:0')"
54,1.7160533515825158,54.332694912878964,"tensor(0.0618, device='cuda:0')","tensor(0.9488, device='cuda:0')"
55,1.6926930044733344,54.8885878450974,"tensor(-0.0682, device='cuda:0')","tensor(0.9514, device='cuda:0')"
56,1.7037222495391255,54.584948848507494,"tensor(-0.1557, device='cuda:0')","tensor(0.9274, device='cuda:0')"
57,1.7391021916908878,53.636660905311345,"tensor(-0.2093, device='cuda:0')","tensor(0.9128, device='cuda:0')"
58,1.7520949209020251,53.68337459709441,"tensor(-0.1151, device='cuda:0')","tensor(0.9357, device='cuda:0')"
59,1.7400293312966824,54.720418554678375,"tensor(-0.0820, device='cuda:0')","tensor(0.8937, device='cuda:0')"
60,1.7269377672956103,54.94931564441538,"tensor(-0.0534, device='cuda:0')","tensor(0.9253, device='cuda:0')"
61,1.7408853611421018,54.07109823889382,"tensor(-0.0552, device='cuda:0')","tensor(0.8973, device='cuda:0')"
62,1.7467379373099123,53.46849161489232,"tensor(0.0349, device='cuda:0')","tensor(0.8732, device='cuda:0')"
63,1.732405086535783,53.977670855327695,"tensor(0.0017, device='cuda:0')","tensor(0.9769, device='cuda:0')"
64,1.7234639165302117,54.53823515672443,"tensor(-0.0719, device='cuda:0')","tensor(0.8518, device='cuda:0')"
65,1.697345182299614,54.92128742934554,"tensor(-0.1042, device='cuda:0')","tensor(0.8808, device='cuda:0')"
66,1.692656086314292,55.019386182089974,"tensor(0.0751, device='cuda:0')","tensor(0.8692, device='cuda:0')"
67,1.7277140220006306,54.62231980193395,"tensor(-0.1765, device='cuda:0')","tensor(0.8149, device='cuda:0')"
68,1.7447629262294089,54.4354650348017,"tensor(0.1270, device='cuda:0')","tensor(0.8424, device='cuda:0')"
69,1.755597673356533,54.257953006026064,"tensor(0.0679, device='cuda:0')","tensor(0.8302, device='cuda:0')"
70,1.736194610773098,54.47283598822815,"tensor(-0.0389, device='cuda:0')","tensor(0.7997, device='cuda:0')"
71,1.7566689740689028,53.711402812164245,"tensor(-0.1232, device='cuda:0')","tensor(0.8157, device='cuda:0')"
72,1.722605732580026,54.07109823889382,"tensor(0.1252, device='cuda:0')","tensor(0.8079, device='cuda:0')"
73,1.6854266205004282,54.59429158686411,"tensor(0.0126, device='cuda:0')","tensor(0.7879, device='cuda:0')"
74,1.6699351299376715,55.22492642593544,"tensor(0.0392, device='cuda:0')","tensor(0.7880, device='cuda:0')"
75,1.6520567442334833,55.76680525061896,"tensor(0.1047, device='cuda:0')","tensor(0.7786, device='cuda:0')"
76,1.666850303432771,55.7200915588359,"tensor(-0.0785, device='cuda:0')","tensor(0.8097, device='cuda:0')"
77,1.700739579363948,55.05675713551642,"tensor(0.0287, device='cuda:0')","tensor(0.7836, device='cuda:0')"
78,1.721538112454471,54.42612229644509,"tensor(-0.0510, device='cuda:0')","tensor(0.8396, device='cuda:0')"
79,1.6901768607397873,55.1128135656561,"tensor(-0.1968, device='cuda:0')","tensor(0.8711, device='cuda:0')"
80,1.7179573057662874,54.48217872658476,"tensor(-0.1342, device='cuda:0')","tensor(0.7906, device='cuda:0')"
81,1.6934355140796729,54.8885878450974,"tensor(0.0221, device='cuda:0')","tensor(0.8934, device='cuda:0')"
82,1.664203123322555,54.930630167702155,"tensor(0.1429, device='cuda:0')","tensor(0.8889, device='cuda:0')"
83,1.663514975103594,55.136170411547624,"tensor(-0.1450, device='cuda:0')","tensor(0.8767, device='cuda:0')"
84,1.6779924327773708,54.87924510674078,"tensor(-0.0760, device='cuda:0')","tensor(0.8402, device='cuda:0')"
