Adaption Step,loss,intra_session_acc,statistical_loss
0,40.5883726360028,1.8562474995851517,"tensor(-0.4776, device='cuda:0', grad_fn=<AddBackward0>)"
1,44.22134018211534,1.9069584043962615,"tensor(1.6305, device='cuda:0', grad_fn=<AddBackward0>)"
2,44.10459957973383,1.8143908899454844,"tensor(0.9848, device='cuda:0', grad_fn=<AddBackward0>)"
3,44.63693672659351,1.6993093714118004,"tensor(0.4478, device='cuda:0', grad_fn=<AddBackward0>)"
4,44.50151762783096,1.601395771616981,"tensor(0.7831, device='cuda:0', grad_fn=<AddBackward0>)"
5,44.282045295353726,1.577022125678403,"tensor(0.4704, device='cuda:0', grad_fn=<AddBackward0>)"
6,43.96918048097128,1.583062656933353,"tensor(0.7093, device='cuda:0', grad_fn=<AddBackward0>)"
7,44.207331309829556,1.5859694069340116,"tensor(-0.0575, device='cuda:0', grad_fn=<AddBackward0>)"
8,41.98459024048564,1.6130801964373815,"tensor(0.5475, device='cuda:0', grad_fn=<AddBackward0>)"
9,35.05486808311931,1.6824171142209143,"tensor(0.2955, device='cuda:0', grad_fn=<AddBackward0>)"
10,33.8080784496848,1.7036731931425275,"tensor(0.3325, device='cuda:0', grad_fn=<AddBackward0>)"
11,35.07821620359561,1.6952890441531228,"tensor(0.3731, device='cuda:0', grad_fn=<AddBackward0>)"
12,37.893999533037594,1.6769753825806437,"tensor(0.2643, device='cuda:0', grad_fn=<AddBackward0>)"
13,41.92388512724726,1.6322485183676083,"tensor(0.3525, device='cuda:0', grad_fn=<AddBackward0>)"
14,45.192621993929485,1.5986226992238135,"tensor(0.2702, device='cuda:0', grad_fn=<AddBackward0>)"
15,43.90380574363764,1.63011301557223,"tensor(-0.0017, device='cuda:0', grad_fn=<AddBackward0>)"
16,41.470931590007005,1.691252059170178,"tensor(0.1694, device='cuda:0', grad_fn=<AddBackward0>)"
17,39.425636236282976,1.739495214961824,"tensor(0.2413, device='cuda:0', grad_fn=<AddBackward0>)"
18,39.40228811580668,1.7259264528041793,"tensor(-0.2106, device='cuda:0', grad_fn=<AddBackward0>)"
19,40.23348120476302,1.7051715716010047,"tensor(-0.0076, device='cuda:0', grad_fn=<AddBackward0>)"
20,41.38220873219706,1.6816618172895341,"tensor(0.2657, device='cuda:0', grad_fn=<AddBackward0>)"
21,40.70511323838431,1.704177626186893,"tensor(-0.0653, device='cuda:0', grad_fn=<AddBackward0>)"
22,39.589073079617094,1.7208830948386873,"tensor(-0.1420, device='cuda:0', grad_fn=<AddBackward0>)"
23,38.25823021246789,1.7414466547114509,"tensor(0.0840, device='cuda:0', grad_fn=<AddBackward0>)"
24,36.287648844268034,1.7517295227873892,"tensor(0.0451, device='cuda:0', grad_fn=<AddBackward0>)"
25,35.7739901937894,1.7478942033790408,"tensor(-0.0943, device='cuda:0', grad_fn=<AddBackward0>)"
26,35.73663320102732,1.7541193575376557,"tensor(-0.0502, device='cuda:0', grad_fn=<AddBackward0>)"
27,36.745272005603546,1.7305318361946516,"tensor(-0.1924, device='cuda:0', grad_fn=<AddBackward0>)"
28,37.772589306560825,1.7202278769442014,"tensor(-0.0496, device='cuda:0', grad_fn=<AddBackward0>)"
29,38.02474900770488,1.7221570454892658,"tensor(0.0113, device='cuda:0', grad_fn=<AddBackward0>)"
30,38.01540975951436,1.7223176863931475,"tensor(-0.2581, device='cuda:0', grad_fn=<AddBackward0>)"
31,36.96007471398553,1.7406353595710935,"tensor(0.0670, device='cuda:0', grad_fn=<AddBackward0>)"
32,36.87135185617558,1.7410989652077358,"tensor(-0.2197, device='cuda:0', grad_fn=<AddBackward0>)"
33,35.80667756245622,1.7523407616785593,"tensor(0.1630, device='cuda:0', grad_fn=<AddBackward0>)"
34,36.15222974550549,1.7360099859180904,"tensor(-0.0625, device='cuda:0', grad_fn=<AddBackward0>)"
35,36.679897268269904,1.7101900158893495,"tensor(-0.1469, device='cuda:0', grad_fn=<AddBackward0>)"
36,37.64650945598879,1.7007633504413424,"tensor(-0.1697, device='cuda:0', grad_fn=<AddBackward0>)"
37,37.50642073313098,1.721973831454913,"tensor(-0.1138, device='cuda:0', grad_fn=<AddBackward0>)"
38,34.92878823254728,1.7094024157240277,"tensor(-0.1978, device='cuda:0', grad_fn=<AddBackward0>)"
39,31.622694373102966,1.7199993193859147,"tensor(-0.1565, device='cuda:0', grad_fn=<AddBackward0>)"
40,30.85687602148027,1.7240988551860763,"tensor(-0.1180, device='cuda:0', grad_fn=<AddBackward0>)"
41,32.32780761148727,1.712896802950473,"tensor(-0.2808, device='cuda:0', grad_fn=<AddBackward0>)"
42,35.64791034321737,1.7031103734459196,"tensor(-0.1935, device='cuda:0', grad_fn=<AddBackward0>)"
43,38.01540975951436,1.701385895765963,"tensor(-0.0069, device='cuda:0', grad_fn=<AddBackward0>)"
44,38.85594209666122,1.693324513023808,"tensor(-0.0298, device='cuda:0', grad_fn=<AddBackward0>)"
45,41.58300256829325,1.666280669470628,"tensor(-0.1287, device='cuda:0', grad_fn=<AddBackward0>)"
46,43.24538874620593,1.6458581671828316,"tensor(-0.1074, device='cuda:0', grad_fn=<AddBackward0>)"
47,43.13798739201494,1.6457207451264064,"tensor(-0.2757, device='cuda:0', grad_fn=<AddBackward0>)"
48,43.27340649077749,1.6523122904556138,"tensor(-0.2483, device='cuda:0', grad_fn=<AddBackward0>)"
49,43.628297922017275,1.6577037289029075,"tensor(-0.2951, device='cuda:0', grad_fn=<AddBackward0>)"
50,43.264067242586975,1.6704233544213432,"tensor(-0.0402, device='cuda:0', grad_fn=<AddBackward0>)"
51,42.390847536773286,1.6533207935946328,"tensor(-0.0485, device='cuda:0', grad_fn=<AddBackward0>)"
52,41.069343917814614,1.6707942737709909,"tensor(-0.1571, device='cuda:0', grad_fn=<AddBackward0>)"
53,41.78379640438945,1.653459366943155,"tensor(-0.1962, device='cuda:0', grad_fn=<AddBackward0>)"
54,41.84917114172309,1.6576120587331908,"tensor(-0.1378, device='cuda:0', grad_fn=<AddBackward0>)"
55,41.6717254261032,1.6584351974583806,"tensor(-0.1607, device='cuda:0', grad_fn=<AddBackward0>)"
56,41.89119775858043,1.6470548460880916,"tensor(-0.0066, device='cuda:0', grad_fn=<AddBackward0>)"
57,42.260098062106,1.6380638226511932,"tensor(-0.1669, device='cuda:0', grad_fn=<AddBackward0>)"
58,42.311463927153866,1.6414504971887385,"tensor(-0.2890, device='cuda:0', grad_fn=<AddBackward0>)"
59,41.82115339715153,1.65161583271055,"tensor(-0.2128, device='cuda:0', grad_fn=<AddBackward0>)"
60,41.05066542143357,1.6627320544350714,"tensor(-0.1679, device='cuda:0', grad_fn=<AddBackward0>)"
61,40.046696240952606,1.6771870067431813,"tensor(0.1722, device='cuda:0', grad_fn=<AddBackward0>)"
62,39.841232780761146,1.6787248704405058,"tensor(-0.1149, device='cuda:0', grad_fn=<AddBackward0>)"
63,38.244221340182115,1.7015734822267579,"tensor(0.3118, device='cuda:0', grad_fn=<AddBackward0>)"
64,37.062806444081254,1.7284196036912145,"tensor(-0.1320, device='cuda:0', grad_fn=<AddBackward0>)"
65,37.04412794770021,1.7488970611067045,"tensor(-0.1206, device='cuda:0', grad_fn=<AddBackward0>)"
66,37.52976885360729,1.7586836907125654,"tensor(0.1959, device='cuda:0', grad_fn=<AddBackward0>)"
67,38.20219472332477,1.8008232205396606,"tensor(0.2243, device='cuda:0', grad_fn=<AddBackward0>)"
68,37.54844734998833,1.9373176960008485,"tensor(0.2489, device='cuda:0', grad_fn=<AddBackward0>)"
69,37.32430539341583,1.7999123341980434,"tensor(0.6294, device='cuda:0', grad_fn=<AddBackward0>)"
70,37.66051832827458,1.7778116379465376,"tensor(0.5407, device='cuda:0', grad_fn=<AddBackward0>)"
71,38.02941863180014,1.741868867760613,"tensor(0.7254, device='cuda:0', grad_fn=<AddBackward0>)"
72,38.18351622694373,1.7332595370355106,"tensor(0.4665, device='cuda:0', grad_fn=<AddBackward0>)"
73,38.58977352323138,1.729773387312889,"tensor(-0.0010, device='cuda:0', grad_fn=<AddBackward0>)"
74,38.92598645809012,1.7156563805682319,"tensor(-0.0750, device='cuda:0', grad_fn=<AddBackward0>)"
75,36.46976418398319,1.7086435588342803,"tensor(0.4979, device='cuda:0', grad_fn=<AddBackward0>)"
76,34.09292551949568,1.7378070375749044,"tensor(-0.0433, device='cuda:0', grad_fn=<AddBackward0>)"
77,33.15900070044361,1.7766549299870218,"tensor(0.1600, device='cuda:0', grad_fn=<AddBackward0>)"
78,34.162969880924585,1.8087587526866369,"tensor(0.2072, device='cuda:0', grad_fn=<AddBackward0>)"
79,32.93952836796638,1.840795054676987,"tensor(0.2590, device='cuda:0', grad_fn=<AddBackward0>)"
80,31.912211067009107,1.8306705295330001,"tensor(0.1395, device='cuda:0', grad_fn=<AddBackward0>)"
81,32.75741302825123,1.815937113549028,"tensor(0.0612, device='cuda:0', grad_fn=<AddBackward0>)"
82,33.26173243053934,1.829597776844388,"tensor(0.0056, device='cuda:0', grad_fn=<AddBackward0>)"
83,33.691337847303295,1.8344040974265052,"tensor(0.0764, device='cuda:0', grad_fn=<AddBackward0>)"
84,33.593275741302826,1.8357735950322378,"tensor(0.3225, device='cuda:0', grad_fn=<AddBackward0>)"
85,33.65865047863647,1.7944710130492847,"tensor(0.0950, device='cuda:0', grad_fn=<AddBackward0>)"
86,33.90614055568527,1.7592874903764044,"tensor(-0.1178, device='cuda:0', grad_fn=<AddBackward0>)"
87,34.47583469530703,1.730669225610438,"tensor(-0.4507, device='cuda:0', grad_fn=<AddBackward0>)"
88,35.661919215503154,1.7066159752153216,"tensor(-0.1619, device='cuda:0', grad_fn=<AddBackward0>)"
89,35.671258463693675,1.698003942767779,"tensor(-0.2048, device='cuda:0', grad_fn=<AddBackward0>)"
90,37.24492178379641,1.6868508156566393,"tensor(-0.4130, device='cuda:0', grad_fn=<AddBackward0>)"
91,38.78589773523231,1.6934922390750475,"tensor(-0.0846, device='cuda:0', grad_fn=<AddBackward0>)"
92,42.138687835629234,1.6881111927685284,"tensor(-0.4338, device='cuda:0', grad_fn=<AddBackward0>)"
93,43.14732664020546,1.6701369090449243,"tensor(-0.3662, device='cuda:0', grad_fn=<AddBackward0>)"
94,43.539575064207334,1.6596935845556713,"tensor(-0.2221, device='cuda:0', grad_fn=<AddBackward0>)"
95,42.5075881391548,1.6817761957645416,"tensor(-0.3127, device='cuda:0', grad_fn=<AddBackward0>)"
