Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,54.53189108541589,1.5060345145563285,0,0
1,23.797090637821707,3.9940402348126685,"tensor(0.2475, device='cuda:0')","tensor(0.8466, device='cuda:0')"
2,47.15591197314435,1.844707729472291,"tensor(1.3347, device='cuda:0')","tensor(17.3196, device='cuda:0')"
3,42.721932114882506,2.1682122608735446,"tensor(0.2328, device='cuda:0')","tensor(3.3013, device='cuda:0')"
4,42.09716523685192,2.1268531871693477,"tensor(0.1682, device='cuda:0')","tensor(4.7134, device='cuda:0')"
5,44.661506900410295,1.8664706095698333,"tensor(0.3683, device='cuda:0')","tensor(4.8385, device='cuda:0')"
6,46.321335322640806,1.6807215918032896,"tensor(0.4016, device='cuda:0')","tensor(3.8426, device='cuda:0')"
7,47.46829541215964,1.567080433702185,"tensor(0.4922, device='cuda:0')","tensor(3.3233, device='cuda:0')"
8,49.41253263707572,1.4872054858576684,"tensor(0.0351, device='cuda:0')","tensor(3.1753, device='cuda:0')"
9,51.53860499813502,1.4474205516633534,"tensor(0.0689, device='cuda:0')","tensor(3.0343, device='cuda:0')"
10,52.18668407310705,1.4459383189678192,"tensor(0.2287, device='cuda:0')","tensor(2.8789, device='cuda:0')"
11,51.44535621036926,1.4599561975115822,"tensor(-0.1827, device='cuda:0')","tensor(2.7413, device='cuda:0')"
12,50.130548302872064,1.4765505978748912,"tensor(0.0970, device='cuda:0')","tensor(2.6523, device='cuda:0')"
13,49.230697500932486,1.4864414401707196,"tensor(-0.1369, device='cuda:0')","tensor(2.5779, device='cuda:0')"
14,49.03021260723611,1.4956957563048316,"tensor(-0.1700, device='cuda:0')","tensor(2.4875, device='cuda:0')"
15,49.24002237970906,1.5077528254616828,"tensor(-0.0392, device='cuda:0')","tensor(2.3940, device='cuda:0')"
16,49.17474822827303,1.5243159915719713,"tensor(-0.0427, device='cuda:0')","tensor(2.3164, device='cuda:0')"
17,49.43118239462887,1.5388004627256167,"tensor(-0.0159, device='cuda:0')","tensor(2.2683, device='cuda:0')"
18,43.383998508019396,1.6685664834720748,"tensor(-0.0406, device='cuda:0')","tensor(2.2498, device='cuda:0')"
19,38.43715031704588,1.7499057086450713,"tensor(-0.0217, device='cuda:0')","tensor(2.2603, device='cuda:0')"
20,37.64453562103693,1.75256942709287,"tensor(0.1272, device='cuda:0')","tensor(2.2695, device='cuda:0')"
21,38.05016784781798,1.723634703883103,"tensor(-0.0403, device='cuda:0')","tensor(2.2433, device='cuda:0')"
22,38.833457665050354,1.696444185007186,"tensor(-0.0691, device='cuda:0')","tensor(2.1726, device='cuda:0')"
23,39.71932114882507,1.6737918016456423,"tensor(-0.0573, device='cuda:0')","tensor(2.1143, device='cuda:0')"
24,40.85229392017904,1.6537874018152554,"tensor(-0.1549, device='cuda:0')","tensor(2.0944, device='cuda:0')"
25,42.763894069377095,1.6199537256643886,"tensor(-0.0375, device='cuda:0')","tensor(2.0675, device='cuda:0')"
26,44.90395374860127,1.5931552354068983,"tensor(-0.0028, device='cuda:0')","tensor(1.9883, device='cuda:0')"
27,46.72230511003357,1.5667216880690484,"tensor(-0.1108, device='cuda:0')","tensor(1.9101, device='cuda:0')"
28,47.976501305483026,1.545056825947194,"tensor(-0.0235, device='cuda:0')","tensor(1.8505, device='cuda:0')"
29,48.84371503170459,1.5321586795506024,"tensor(-0.1335, device='cuda:0')","tensor(1.8160, device='cuda:0')"
30,49.64565460649012,1.5193693428522064,"tensor(-0.1047, device='cuda:0')","tensor(1.7897, device='cuda:0')"
31,50.6201044386423,1.498688973841213,"tensor(-0.1548, device='cuda:0')","tensor(1.7369, device='cuda:0')"
32,51.35676986199179,1.4835985476771991,"tensor(-0.2891, device='cuda:0')","tensor(1.6948, device='cuda:0')"
33,51.57124207385304,1.4811418088419097,"tensor(-0.1785, device='cuda:0')","tensor(1.6464, device='cuda:0')"
34,51.146960089518835,1.4986715909271013,"tensor(-0.0887, device='cuda:0')","tensor(1.6200, device='cuda:0')"
35,50.72734054457292,1.5194477378612472,"tensor(-0.1512, device='cuda:0')","tensor(1.6036, device='cuda:0')"
36,50.41961954494592,1.5166341875280653,"tensor(-0.0885, device='cuda:0')","tensor(1.5873, device='cuda:0')"
37,50.11189854531891,1.494279948018846,"tensor(-0.0311, device='cuda:0')","tensor(1.5380, device='cuda:0')"
