Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,7.2384926575635165,21.946662930269486,"tensor(0.0363, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,1.8764556527270801,52.33758348512447,"tensor(3.0574, device='cuda:0')","tensor(54.4404, device='cuda:0')"
3,1.4398054370567912,56.00392321703797,"tensor(1.9858, device='cuda:0')","tensor(10.2795, device='cuda:0')"
4,1.4307519460008258,55.317360235393025,"tensor(1.1775, device='cuda:0')","tensor(5.9895, device='cuda:0')"
5,1.3569399758818603,55.77973938629676,"tensor(0.9585, device='cuda:0')","tensor(5.9866, device='cuda:0')"
6,1.3894295656964892,55.48549810844893,"tensor(1.0418, device='cuda:0')","tensor(5.2332, device='cuda:0')"
7,1.1995898306901966,57.914156274812015,"tensor(1.2177, device='cuda:0')","tensor(5.2782, device='cuda:0')"
8,1.0729797959682488,60.52496380365233,"tensor(0.8220, device='cuda:0')","tensor(4.5142, device='cuda:0')"
9,1.0375207635086208,62.332445939003314,"tensor(0.8413, device='cuda:0')","tensor(4.2642, device='cuda:0')"
10,1.0364950859830493,62.60800523095605,"tensor(0.5312, device='cuda:0')","tensor(4.0969, device='cuda:0')"
11,1.0809893250642788,61.29092522535146,"tensor(0.6874, device='cuda:0')","tensor(3.8092, device='cuda:0')"
12,1.2919190258142494,53.71070944841436,"tensor(0.5504, device='cuda:0')","tensor(3.6766, device='cuda:0')"
13,1.3195672962991964,51.10457241604782,"tensor(0.6254, device='cuda:0')","tensor(3.8628, device='cuda:0')"
14,1.115200540671746,59.84774181495493,"tensor(0.2703, device='cuda:0')","tensor(3.5485, device='cuda:0')"
15,1.1011646097259862,60.78651160618374,"tensor(0.5906, device='cuda:0')","tensor(3.3530, device='cuda:0')"
16,1.0890350636272204,60.819205081500165,"tensor(0.6259, device='cuda:0')","tensor(3.4097, device='cuda:0')"
17,1.0787052356948454,60.72579515202466,"tensor(0.5875, device='cuda:0')","tensor(3.3529, device='cuda:0')"
18,1.1592504771515018,59.352669188734765,"tensor(0.4020, device='cuda:0')","tensor(3.0110, device='cuda:0')"
19,1.2812326512343826,57.22292279669329,"tensor(0.3877, device='cuda:0')","tensor(2.8708, device='cuda:0')"
20,1.2466156594455242,57.44710662743449,"tensor(0.3178, device='cuda:0')","tensor(3.1268, device='cuda:0')"
21,1.1802012602842988,58.1990565597123,"tensor(0.3734, device='cuda:0')","tensor(2.8709, device='cuda:0')"
22,1.2844901977195626,52.473027882863946,"tensor(0.3831, device='cuda:0')","tensor(2.6541, device='cuda:0')"
23,1.3946444275123733,44.939517070664614,"tensor(0.4914, device='cuda:0')","tensor(2.8308, device='cuda:0')"
24,1.3811666447491873,44.29031806080987,"tensor(0.1758, device='cuda:0')","tensor(2.8522, device='cuda:0')"
25,1.3421888110183535,49.829526878707206,"tensor(0.1406, device='cuda:0')","tensor(2.6505, device='cuda:0')"
26,1.3048905980374133,55.82644435103452,"tensor(0.1722, device='cuda:0')","tensor(2.6074, device='cuda:0')"
27,1.2487909361010505,57.988884218392414,"tensor(0.0666, device='cuda:0')","tensor(2.6560, device='cuda:0')"
28,1.1960837131454831,58.68478819298491,"tensor(0.1088, device='cuda:0')","tensor(2.5462, device='cuda:0')"
29,1.1756844380426974,58.932324506095,"tensor(0.0555, device='cuda:0')","tensor(2.3615, device='cuda:0')"
30,1.168079511040733,59.137826350941104,"tensor(0.2160, device='cuda:0')","tensor(2.3179, device='cuda:0')"
31,1.1611821553891613,59.33865769931344,"tensor(-0.0177, device='cuda:0')","tensor(2.2720, device='cuda:0')"
32,1.161272262356111,59.362010181682315,"tensor(0.1583, device='cuda:0')","tensor(2.1813, device='cuda:0')"
33,1.1505000122955866,59.45074961468404,"tensor(0.0079, device='cuda:0')","tensor(2.1102, device='cuda:0')"
34,1.1347893872076558,59.665592452477696,"tensor(0.1203, device='cuda:0')","tensor(2.1062, device='cuda:0')"
35,1.141572254044669,59.707626920741674,"tensor(0.1040, device='cuda:0')","tensor(2.1432, device='cuda:0')"
36,1.1406988038548402,60.10461912101256,"tensor(0.0941, device='cuda:0')","tensor(2.1114, device='cuda:0')"
37,1.1505742330281508,60.230722525804495,"tensor(0.1367, device='cuda:0')","tensor(2.0483, device='cuda:0')"
38,1.1332271534594751,60.268086497594695,"tensor(0.1630, device='cuda:0')","tensor(1.9912, device='cuda:0')"
39,1.1168211639991827,60.64639671197048,"tensor(0.0958, device='cuda:0')","tensor(1.9509, device='cuda:0')"
40,1.1343293583818845,59.969174723273085,"tensor(0.1685, device='cuda:0')","tensor(1.9134, device='cuda:0')"
41,1.1480643023692427,59.52547755826444,"tensor(0.0487, device='cuda:0')","tensor(1.9576, device='cuda:0')"
42,1.1360099938298975,60.043902666853484,"tensor(0.1823, device='cuda:0')","tensor(1.9451, device='cuda:0')"
43,1.104393894296317,60.74914763439354,"tensor(0.1073, device='cuda:0')","tensor(1.8443, device='cuda:0')"
44,1.1111976518517448,60.94530848629209,"tensor(-0.0567, device='cuda:0')","tensor(1.8666, device='cuda:0')"
45,1.1389814648954641,60.77717061323619,"tensor(0.0990, device='cuda:0')","tensor(1.9323, device='cuda:0')"
46,1.1317673292720603,61.0947643734529,"tensor(0.0199, device='cuda:0')","tensor(1.9339, device='cuda:0')"
47,1.108787880944354,61.454392601933584,"tensor(0.1282, device='cuda:0')","tensor(1.8379, device='cuda:0')"
48,1.1088099738671666,60.865910046237914,"tensor(0.0582, device='cuda:0')","tensor(1.8057, device='cuda:0')"
49,1.0958448063049997,60.884592032133014,"tensor(0.1749, device='cuda:0')","tensor(1.8308, device='cuda:0')"
50,1.0891487747430801,60.93596749334454,"tensor(-0.0932, device='cuda:0')","tensor(1.8089, device='cuda:0')"
51,1.0976432250546557,61.108775862874225,"tensor(0.0400, device='cuda:0')","tensor(1.7523, device='cuda:0')"
52,1.128139218936364,61.202185792349724,"tensor(-0.0165, device='cuda:0')","tensor(1.7150, device='cuda:0')"
53,1.1336409774209772,61.29092522535146,"tensor(0.0606, device='cuda:0')","tensor(1.7412, device='cuda:0')"
54,1.137729608764251,61.122787352295546,"tensor(0.0653, device='cuda:0')","tensor(1.7191, device='cuda:0')"
55,1.1105590852953138,61.24889075708748,"tensor(0.1910, device='cuda:0')","tensor(1.7395, device='cuda:0')"
56,1.0987559750321365,61.27691373593013,"tensor(0.0932, device='cuda:0')","tensor(1.6516, device='cuda:0')"
57,1.103003283430423,60.70711316612956,"tensor(0.0474, device='cuda:0')","tensor(1.6440, device='cuda:0')"
58,1.0683919680083083,61.33763019008921,"tensor(0.0145, device='cuda:0')","tensor(1.7957, device='cuda:0')"
59,1.0659137879099165,61.753304376255194,"tensor(0.1452, device='cuda:0')","tensor(1.6375, device='cuda:0')"
60,1.0996524242772943,61.65522395030592,"tensor(0.1345, device='cuda:0')","tensor(1.6269, device='cuda:0')"
61,1.131560605019331,61.03404791929382,"tensor(0.0898, device='cuda:0')","tensor(1.6735, device='cuda:0')"
62,1.138417816853949,60.89860352155434,"tensor(0.2540, device='cuda:0')","tensor(1.5943, device='cuda:0')"
63,1.1092932252656846,61.23020877119238,"tensor(-0.0451, device='cuda:0')","tensor(1.5507, device='cuda:0')"
64,1.0660229903601466,62.17364905889496,"tensor(-0.0358, device='cuda:0')","tensor(1.5156, device='cuda:0')"
65,1.0613181947597436,62.16897856242119,"tensor(0.2783, device='cuda:0')","tensor(1.4800, device='cuda:0')"
66,1.0609404642489695,62.276399981318015,"tensor(0.1263, device='cuda:0')","tensor(1.5609, device='cuda:0')"
67,1.0706211702809447,62.000840689365276,"tensor(0.1756, device='cuda:0')","tensor(1.5291, device='cuda:0')"
68,1.10954326462178,60.94530848629209,"tensor(-0.0680, device='cuda:0')","tensor(1.4706, device='cuda:0')"
69,1.1353790616350514,60.51562281070478,"tensor(-0.0572, device='cuda:0')","tensor(1.5240, device='cuda:0')"
70,1.1350064926913805,60.60903274018028,"tensor(0.0029, device='cuda:0')","tensor(1.5000, device='cuda:0')"
71,1.1694550473420393,59.698285927794124,"tensor(-0.1375, device='cuda:0')","tensor(1.4868, device='cuda:0')"
72,1.1375204503891014,60.263416001120916,"tensor(-0.0508, device='cuda:0')","tensor(1.5781, device='cuda:0')"
73,1.0948463932034516,60.99201345102984,"tensor(0.1528, device='cuda:0')","tensor(1.5406, device='cuda:0')"
74,1.2051630868088632,57.28363925085237,"tensor(0.0626, device='cuda:0')","tensor(1.5572, device='cuda:0')"
75,1.2314003753874982,57.078137406006256,"tensor(-0.0290, device='cuda:0')","tensor(1.8580, device='cuda:0')"
76,2.848789774945804,36.490588949605346,"tensor(0.1518, device='cuda:0')","tensor(2.0432, device='cuda:0')"
77,2.768369319893065,22.65657839428331,"tensor(1.3467, device='cuda:0')","tensor(9.6152, device='cuda:0')"
78,1.8206269152107692,44.019429265330906,"tensor(2.9215, device='cuda:0')","tensor(11.0205, device='cuda:0')"
79,2.304945952125958,26.972117136051562,"tensor(2.8485, device='cuda:0')","tensor(8.0845, device='cuda:0')"
80,2.6144133366289593,24.351968614263697,"tensor(3.2242, device='cuda:0')","tensor(7.1281, device='cuda:0')"
81,2.5174217834359123,25.220680958385877,"tensor(3.3046, device='cuda:0')","tensor(8.7508, device='cuda:0')"
82,2.9327751653535024,20.62958292466489,"tensor(3.7259, device='cuda:0')","tensor(8.1498, device='cuda:0')"
83,2.6007413268089294,21.003222642566904,"tensor(4.1329, device='cuda:0')","tensor(9.3470, device='cuda:0')"
84,3.0114354831831798,18.018775395824576,"tensor(4.2153, device='cuda:0')","tensor(9.3882, device='cuda:0')"
85,2.67152890704927,17.39759936481248,"tensor(4.3235, device='cuda:0')","tensor(11.2541, device='cuda:0')"
86,6.875980644708588,14.048853393115689,"tensor(4.8908, device='cuda:0')","tensor(11.5220, device='cuda:0')"
87,3.4372597265811193,13.208164027836158,"tensor(5.6295, device='cuda:0')","tensor(20.3666, device='cuda:0')"
88,3.1017007345245,12.895240764093224,"tensor(5.2645, device='cuda:0')","tensor(13.9063, device='cuda:0')"
89,2.894194801648458,15.510718789407314,"tensor(5.3735, device='cuda:0')","tensor(13.1559, device='cuda:0')"
90,2.846611371352559,15.730232123674746,"tensor(5.4581, device='cuda:0')","tensor(12.9305, device='cuda:0')"
91,2.5761367636067525,16.650319929008454,"tensor(5.7602, device='cuda:0')","tensor(12.6325, device='cuda:0')"
92,2.649899892154194,13.623838214002149,"tensor(5.5326, device='cuda:0')","tensor(11.7060, device='cuda:0')"
93,2.592637829837345,13.012003175937602,"tensor(5.6657, device='cuda:0')","tensor(11.5623, device='cuda:0')"
94,2.757964788448243,14.37578814627995,"tensor(5.7111, device='cuda:0')","tensor(11.5261, device='cuda:0')"
95,2.78710322649706,14.80080332539349,"tensor(5.4004, device='cuda:0')","tensor(11.8157, device='cuda:0')"
96,2.4575502822796502,15.67885666246322,"tensor(5.6229, device='cuda:0')","tensor(12.1407, device='cuda:0')"
97,2.3766671383664724,15.393956377562935,"tensor(5.6496, device='cuda:0')","tensor(11.6851, device='cuda:0')"
98,2.419963661403883,15.445331838774461,"tensor(5.7512, device='cuda:0')","tensor(11.6997, device='cuda:0')"
99,2.6022374551920664,15.132408575031526,"tensor(5.6006, device='cuda:0')","tensor(11.8028, device='cuda:0')"
100,2.229691139289311,11.34463593479987,"tensor(5.5847, device='cuda:0')","tensor(11.9302, device='cuda:0')"
101,2.2798528720935187,11.867731539862687,"tensor(5.6289, device='cuda:0')","tensor(11.5769, device='cuda:0')"
102,2.3847982989890233,15.431320349353136,"tensor(5.5202, device='cuda:0')","tensor(11.6543, device='cuda:0')"
103,2.605580822342918,12.2226892718696,"tensor(5.6556, device='cuda:0')","tensor(11.5652, device='cuda:0')"
104,2.752470998536973,12.671056933352014,"tensor(4.9891, device='cuda:0')","tensor(11.9146, device='cuda:0')"
105,2.7688752185730707,12.255382747186026,"tensor(5.0680, device='cuda:0')","tensor(12.2437, device='cuda:0')"
106,2.8160790297247114,15.875017514361776,"tensor(4.9279, device='cuda:0')","tensor(11.5105, device='cuda:0')"
107,2.7554426129375185,15.846994535519126,"tensor(5.1443, device='cuda:0')","tensor(11.4179, device='cuda:0')"
108,2.6675456712643304,15.67885666246322,"tensor(5.0336, device='cuda:0')","tensor(11.3105, device='cuda:0')"
109,2.6674588947069076,14.651347438232683,"tensor(4.9686, device='cuda:0')","tensor(11.3345, device='cuda:0')"
110,2.625432538134711,15.127738078557751,"tensor(4.9316, device='cuda:0')","tensor(11.5440, device='cuda:0')"
111,2.558016286009834,14.609312969968707,"tensor(4.7708, device='cuda:0')","tensor(11.2298, device='cuda:0')"
112,3.0026668331452777,13.918079491849983,"tensor(5.1770, device='cuda:0')","tensor(11.1899, device='cuda:0')"
113,2.8907010427543094,13.161459063098407,"tensor(4.7430, device='cuda:0')","tensor(12.3469, device='cuda:0')"
114,2.6315362595376515,14.618653962916259,"tensor(4.8035, device='cuda:0')","tensor(11.8462, device='cuda:0')"
115,2.464108789960543,15.580776236513941,"tensor(4.5733, device='cuda:0')","tensor(11.7464, device='cuda:0')"
116,2.39576609645571,14.632665452337584,"tensor(4.7012, device='cuda:0')","tensor(11.7396, device='cuda:0')"
117,2.3186071053856896,14.053523889589464,"tensor(4.8267, device='cuda:0')","tensor(11.8188, device='cuda:0')"
118,2.2557572906925563,14.030171407220587,"tensor(4.6757, device='cuda:0')","tensor(11.7582, device='cuda:0')"
119,2.257479896148046,14.637335948811359,"tensor(4.9057, device='cuda:0')","tensor(11.5689, device='cuda:0')"
120,2.3025769052051364,14.65601793470646,"tensor(4.9419, device='cuda:0')","tensor(11.4665, device='cuda:0')"
121,2.3986391921838126,13.768623604689179,"tensor(4.7312, device='cuda:0')","tensor(11.4303, device='cuda:0')"
122,2.6596319412901286,12.12460884592032,"tensor(4.7293, device='cuda:0')","tensor(11.5237, device='cuda:0')"
123,2.851321040874436,11.386670403063846,"tensor(4.7322, device='cuda:0')","tensor(11.9196, device='cuda:0')"
