Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,3.4996422813052224,23.917612442202607,"tensor(0.0012, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,2.9452069850549814,26.892718695997385,"tensor(0.0568, device='cuda:0')","tensor(17.8502, device='cuda:0')"
3,2.137148290872574,38.42884498622204,"tensor(0.0451, device='cuda:0')","tensor(11.6757, device='cuda:0')"
4,1.4519324581183137,52.78128065013311,"tensor(0.0281, device='cuda:0')","tensor(8.0509, device='cuda:0')"
5,1.2298626229166985,57.633926486385505,"tensor(0.0131, device='cuda:0')","tensor(3.8719, device='cuda:0')"
6,1.2295949716298353,56.60174676568119,"tensor(0.0116, device='cuda:0')","tensor(3.0584, device='cuda:0')"
7,1.2351242259499573,55.373406193078324,"tensor(0.0123, device='cuda:0')","tensor(3.7472, device='cuda:0')"
8,1.1877233402005263,55.79375087571809,"tensor(0.0123, device='cuda:0')","tensor(4.1650, device='cuda:0')"
9,1.1665417896140189,56.148708607725,"tensor(0.0135, device='cuda:0')","tensor(3.9732, device='cuda:0')"
10,1.186240979692056,56.98472747653076,"tensor(0.0162, device='cuda:0')","tensor(3.8322, device='cuda:0')"
11,1.1981269517647368,58.90430152725235,"tensor(0.0148, device='cuda:0')","tensor(3.8309, device='cuda:0')"
12,1.1690322475596553,60.529634300126105,"tensor(0.0154, device='cuda:0')","tensor(3.7032, device='cuda:0')"
13,1.1529476596486001,60.70244266965578,"tensor(0.0176, device='cuda:0')","tensor(3.3220, device='cuda:0')"
14,1.2074906057899906,55.09784690112559,"tensor(0.0131, device='cuda:0')","tensor(2.9463, device='cuda:0')"
15,1.30193141368883,45.12166643314184,"tensor(0.0147, device='cuda:0')","tensor(2.7515, device='cuda:0')"
16,1.3627711151327406,41.51137265891364,"tensor(0.0134, device='cuda:0')","tensor(2.6995, device='cuda:0')"
17,1.3610313932100933,41.431974218859466,"tensor(0.0127, device='cuda:0')","tensor(2.6684, device='cuda:0')"
18,1.3062749026077134,44.40708047265424,"tensor(0.0132, device='cuda:0')","tensor(2.5697, device='cuda:0')"
19,1.230917190689416,51.001821493624774,"tensor(0.0121, device='cuda:0')","tensor(2.4197, device='cuda:0')"
20,1.1680874994822912,57.068796413058706,"tensor(0.0123, device='cuda:0')","tensor(2.2942, device='cuda:0')"
21,1.1236074488787424,60.529634300126105,"tensor(0.0133, device='cuda:0')","tensor(2.2404, device='cuda:0')"
22,1.0869780578428792,61.977488206996405,"tensor(0.0144, device='cuda:0')","tensor(2.2061, device='cuda:0')"
23,1.0521173266073067,62.62668721685115,"tensor(0.0125, device='cuda:0')","tensor(2.1114, device='cuda:0')"
