Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,3.5556008425496874,24.090420811732287,"tensor(0.0003, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,2.951398003669012,26.551772453411797,"tensor(0.0052, device='cuda:0')","tensor(18.4964, device='cuda:0')"
3,2.2014562851261523,37.37331278314885,"tensor(0.0036, device='cuda:0')","tensor(11.5809, device='cuda:0')"
4,1.4932976269296236,52.150763626173465,"tensor(0.0030, device='cuda:0')","tensor(8.3576, device='cuda:0')"
5,1.2218169644474983,57.88613329596936,"tensor(0.0023, device='cuda:0')","tensor(4.1249, device='cuda:0')"
6,1.214645040531953,57.12484237074401,"tensor(0.0020, device='cuda:0')","tensor(3.0292, device='cuda:0')"
7,1.2370811372640587,55.56022605202933,"tensor(0.0020, device='cuda:0')","tensor(3.6404, device='cuda:0')"
8,1.2020727007516794,55.76572789687544,"tensor(0.0021, device='cuda:0')","tensor(4.1682, device='cuda:0')"
9,1.1767711692622729,55.98524123114287,"tensor(0.0033, device='cuda:0')","tensor(4.0759, device='cuda:0')"
10,1.1897687632590532,56.783896128158425,"tensor(0.0032, device='cuda:0')","tensor(3.9209, device='cuda:0')"
11,1.1937530784912052,58.85292606604082,"tensor(0.0035, device='cuda:0')","tensor(3.8868, device='cuda:0')"
12,1.1603631048152845,60.74447713791976,"tensor(0.0043, device='cuda:0')","tensor(3.7333, device='cuda:0')"
13,1.1401592877116942,61.33295969361543,"tensor(0.0040, device='cuda:0')","tensor(3.3578, device='cuda:0')"
14,1.1887765179077785,56.821260099948624,"tensor(0.0042, device='cuda:0')","tensor(2.9753, device='cuda:0')"
15,1.2798846413691838,46.971183036756806,"tensor(0.0039, device='cuda:0')","tensor(2.7638, device='cuda:0')"
16,1.3425626556078594,42.18859464761104,"tensor(0.0046, device='cuda:0')","tensor(2.6993, device='cuda:0')"
17,1.3439434619531745,42.001774788660036,"tensor(0.0044, device='cuda:0')","tensor(2.6532, device='cuda:0')"
18,1.2941193110531284,45.14034841903695,"tensor(0.0041, device='cuda:0')","tensor(2.5648, device='cuda:0')"
19,1.221362597176007,51.590304049320444,"tensor(0.0044, device='cuda:0')","tensor(2.4291, device='cuda:0')"
20,1.1601409729392755,57.61057400401663,"tensor(0.0041, device='cuda:0')","tensor(2.3152, device='cuda:0')"
21,1.1198346066687788,60.51562281070478,"tensor(0.0044, device='cuda:0')","tensor(2.2701, device='cuda:0')"
22,1.0871787441096135,61.771986362150294,"tensor(0.0041, device='cuda:0')","tensor(2.2443, device='cuda:0')"
23,1.0547518830391622,62.53327728737565,"tensor(0.0038, device='cuda:0')","tensor(2.1599, device='cuda:0')"
24,1.0297959210971992,62.846200551118585,"tensor(0.0035, device='cuda:0')","tensor(2.0273, device='cuda:0')"
25,1.0139780263638212,62.99565643827939,"tensor(0.0041, device='cuda:0')","tensor(1.9122, device='cuda:0')"
26,1.0063689245531957,63.126430339545095,"tensor(0.0033, device='cuda:0')","tensor(1.8602, device='cuda:0')"
27,1.0023625409674077,63.08439587128112,"tensor(0.0038, device='cuda:0')","tensor(1.8355, device='cuda:0')"
28,1.0003376787617093,63.05170239596469,"tensor(0.0036, device='cuda:0')","tensor(1.7905, device='cuda:0')"
29,1.0012699346989393,62.91625799822521,"tensor(0.0030, device='cuda:0')","tensor(1.7400, device='cuda:0')"
30,1.0045666886227471,62.860212040539906,"tensor(0.0031, device='cuda:0')","tensor(1.6931, device='cuda:0')"
31,1.0097031874493474,62.69674466395778,"tensor(0.0033, device='cuda:0')","tensor(1.6578, device='cuda:0')"
32,1.0156437116009849,62.5239362944281,"tensor(0.0038, device='cuda:0')","tensor(1.6182, device='cuda:0')"
33,1.0226235876658134,62.22502452010649,"tensor(0.0031, device='cuda:0')","tensor(1.5730, device='cuda:0')"
34,1.0315872537238258,61.91677175283733,"tensor(0.0029, device='cuda:0')","tensor(1.5293, device='cuda:0')"
35,1.043242212562334,61.454392601933584,"tensor(0.0027, device='cuda:0')","tensor(1.4937, device='cuda:0')"
36,1.057059024416265,61.04805940871515,"tensor(0.0031, device='cuda:0')","tensor(1.4570, device='cuda:0')"
37,1.0689253892217363,60.74447713791976,"tensor(0.0032, device='cuda:0')","tensor(1.4299, device='cuda:0')"
38,1.0731438080824556,60.819205081500165,"tensor(0.0033, device='cuda:0')","tensor(1.4123, device='cuda:0')"
39,1.0666249421026026,61.34697118303676,"tensor(0.0039, device='cuda:0')","tensor(1.3874, device='cuda:0')"
40,1.0555672077905565,61.87473728457335,"tensor(0.0044, device='cuda:0')","tensor(1.3484, device='cuda:0')"
41,1.043290906718799,62.332445939003314,"tensor(0.0032, device='cuda:0')","tensor(1.3147, device='cuda:0')"
42,1.033019637777692,62.827518565223485,"tensor(0.0028, device='cuda:0')","tensor(1.2892, device='cuda:0')"
43,1.0237910102698065,63.135771332492645,"tensor(0.0031, device='cuda:0')","tensor(1.2570, device='cuda:0')"
44,1.0181141026495468,63.28055672317967,"tensor(0.0028, device='cuda:0')","tensor(1.2303, device='cuda:0')"
45,1.014909671530837,63.36462565970763,"tensor(0.0028, device='cuda:0')","tensor(1.2116, device='cuda:0')"
46,1.0112240302952982,63.425342113866705,"tensor(0.0033, device='cuda:0')","tensor(1.1939, device='cuda:0')"
47,1.0080552329087542,63.57479800102751,"tensor(0.0031, device='cuda:0')","tensor(1.1675, device='cuda:0')"
48,1.008218019934637,63.58880949044883,"tensor(0.0029, device='cuda:0')","tensor(1.1427, device='cuda:0')"
49,1.0111906430905773,63.58880949044883,"tensor(0.0028, device='cuda:0')","tensor(1.1252, device='cuda:0')"
50,1.0139222409398783,63.64485544813414,"tensor(0.0025, device='cuda:0')","tensor(1.1097, device='cuda:0')"
51,1.016817419301896,63.55144551865863,"tensor(0.0027, device='cuda:0')","tensor(1.0955, device='cuda:0')"
52,1.0184784708101124,63.66353743402924,"tensor(0.0028, device='cuda:0')","tensor(1.0794, device='cuda:0')"
53,1.0185076545569158,63.55611601513241,"tensor(0.0027, device='cuda:0')","tensor(1.0636, device='cuda:0')"
54,1.0153625189725841,63.58413899397506,"tensor(0.0024, device='cuda:0')","tensor(1.0513, device='cuda:0')"
55,1.0114136290337359,63.714912895240765,"tensor(0.0023, device='cuda:0')","tensor(1.0353, device='cuda:0')"
56,1.0070998046901964,63.89239176124422,"tensor(0.0024, device='cuda:0')","tensor(1.0233, device='cuda:0')"
57,1.0029223732472885,63.9904721871935,"tensor(0.0023, device='cuda:0')","tensor(1.0116, device='cuda:0')"
58,0.9988207991811491,64.07921162019522,"tensor(0.0023, device='cuda:0')","tensor(1.0026, device='cuda:0')"
59,0.99569021910429,64.13525757788052,"tensor(0.0022, device='cuda:0')","tensor(0.9918, device='cuda:0')"
60,0.9930199764314152,64.07454112372145,"tensor(0.0023, device='cuda:0')","tensor(0.9794, device='cuda:0')"
61,0.9920863454185781,64.0465181448788,"tensor(0.0023, device='cuda:0')","tensor(0.9670, device='cuda:0')"
62,0.9921524824485892,63.9717902012984,"tensor(0.0020, device='cuda:0')","tensor(0.9585, device='cuda:0')"
63,0.9946926790511325,64.01382466956237,"tensor(0.0020, device='cuda:0')","tensor(0.9454, device='cuda:0')"
64,0.9961968471429178,63.92508523656065,"tensor(0.0022, device='cuda:0')","tensor(0.9362, device='cuda:0')"
65,0.9984044896527415,63.92508523656065,"tensor(0.0021, device='cuda:0')","tensor(0.9274, device='cuda:0')"
66,0.9986849557608366,63.89239176124422,"tensor(0.0020, device='cuda:0')","tensor(0.9167, device='cuda:0')"
67,0.9985657781362534,63.92975573303442,"tensor(0.0022, device='cuda:0')","tensor(0.9088, device='cuda:0')"
68,0.9974998980760574,63.897062257718,"tensor(0.0019, device='cuda:0')","tensor(0.9030, device='cuda:0')"
69,0.9942114011694988,64.01849516603615,"tensor(0.0018, device='cuda:0')","tensor(0.8970, device='cuda:0')"
70,0.9921433826287588,64.2146560179347,"tensor(0.0020, device='cuda:0')","tensor(0.8902, device='cuda:0')"
71,0.9897228376496405,64.20064452851338,"tensor(0.0018, device='cuda:0')","tensor(0.8806, device='cuda:0')"
72,0.9895307740994862,64.27537247209378,"tensor(0.0018, device='cuda:0')","tensor(0.8719, device='cuda:0')"
73,0.989828276403603,64.28471346504134,"tensor(0.0015, device='cuda:0')","tensor(0.8653, device='cuda:0')"
74,0.9925494961263168,64.16328055672318,"tensor(0.0018, device='cuda:0')","tensor(0.8589, device='cuda:0')"
75,0.9926297031342983,64.15393956377562,"tensor(0.0020, device='cuda:0')","tensor(0.8531, device='cuda:0')"
76,0.9928983747072163,64.2146560179347,"tensor(0.0023, device='cuda:0')","tensor(0.8464, device='cuda:0')"
77,0.9927910723324332,64.22866750735604,"tensor(0.0018, device='cuda:0')","tensor(0.8403, device='cuda:0')"
