Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.29489680486066,54.61656655957536,0,0
1,1.29489680486066,54.61656655957536,"tensor(0.0726, device='cuda:0', dtype=torch.float16)","tensor(1.0291, device='cuda:0')"
2,1.29489680486066,54.61656655957536,"tensor(0.0778, device='cuda:0', dtype=torch.float16)","tensor(1.0291, device='cuda:0')"
3,1.2931216827460699,54.61656655957536,"tensor(0.0880, device='cuda:0', dtype=torch.float16)","tensor(1.0291, device='cuda:0')"
4,1.2920015954545565,54.43497695208828,"tensor(0.0710, device='cuda:0', dtype=torch.float16)","tensor(1.0222, device='cuda:0')"
5,1.291720254080636,54.351166364017324,"tensor(0.0718, device='cuda:0', dtype=torch.float16)","tensor(1.0159, device='cuda:0')"
6,1.292283795773983,54.155608325185085,"tensor(0.0618, device='cuda:0', dtype=torch.float16)","tensor(1.0116, device='cuda:0')"
7,1.2922148129769735,54.19751361922056,"tensor(0.0704, device='cuda:0', dtype=torch.float16)","tensor(1.0071, device='cuda:0')"
8,1.2920944637485914,54.16957675653024,"tensor(0.0753, device='cuda:0', dtype=torch.float16)","tensor(1.0038, device='cuda:0')"
9,1.2917745390108653,54.113703031149605,"tensor(0.0778, device='cuda:0', dtype=torch.float16)","tensor(1.0011, device='cuda:0')"
10,1.291276114327567,54.113703031149605,"tensor(0.0939, device='cuda:0', dtype=torch.float16)","tensor(0.9987, device='cuda:0')"
11,1.2914630014981543,53.96005028635284,"tensor(0.0859, device='cuda:0', dtype=torch.float16)","tensor(0.9968, device='cuda:0')"
12,1.2917888366750307,53.987987149043164,"tensor(0.0790, device='cuda:0', dtype=torch.float16)","tensor(0.9952, device='cuda:0')"
13,1.2931921407580376,53.96005028635284,"tensor(0.0677, device='cuda:0', dtype=torch.float16)","tensor(0.9936, device='cuda:0')"
14,1.2940357252955437,53.96005028635284,"tensor(0.0834, device='cuda:0', dtype=torch.float16)","tensor(0.9925, device='cuda:0')"
15,1.293936355837754,53.9041765609722,"tensor(0.0791, device='cuda:0', dtype=torch.float16)","tensor(0.9909, device='cuda:0')"
16,1.29359896587474,53.9041765609722,"tensor(0.0601, device='cuda:0', dtype=torch.float16)","tensor(0.9893, device='cuda:0')"
17,1.2929858746273177,53.834334404246405,"tensor(0.0715, device='cuda:0', dtype=torch.float16)","tensor(0.9877, device='cuda:0')"
18,1.2922067833798272,53.82036597290124,"tensor(0.0818, device='cuda:0', dtype=torch.float16)","tensor(0.9867, device='cuda:0')"
19,1.2918008235948426,53.80639754155608,"tensor(0.0755, device='cuda:0', dtype=torch.float16)","tensor(0.9852, device='cuda:0')"
20,1.2923287174531393,53.7644922475206,"tensor(0.0680, device='cuda:0', dtype=torch.float16)","tensor(0.9842, device='cuda:0')"
21,1.2934546928320612,53.72258695348513,"tensor(0.0702, device='cuda:0', dtype=torch.float16)","tensor(0.9829, device='cuda:0')"
22,1.2949804493359156,53.708618522139965,"tensor(0.0615, device='cuda:0', dtype=torch.float16)","tensor(0.9811, device='cuda:0')"
23,1.2958304594670023,53.6946500907948,"tensor(0.0592, device='cuda:0', dtype=torch.float16)","tensor(0.9796, device='cuda:0')"
24,1.2967373036912508,53.666713228104484,"tensor(0.0809, device='cuda:0', dtype=torch.float16)","tensor(0.9787, device='cuda:0')"
25,1.2981152811220713,53.61083950272384,"tensor(0.0792, device='cuda:0', dtype=torch.float16)","tensor(0.9772, device='cuda:0')"
26,1.300478374319417,53.48512362061741,"tensor(0.0566, device='cuda:0', dtype=torch.float16)","tensor(0.9761, device='cuda:0')"
27,1.3021290887679373,53.44321832658193,"tensor(0.0820, device='cuda:0', dtype=torch.float16)","tensor(0.9750, device='cuda:0')"
28,1.303656701530729,53.48512362061741,"tensor(0.0591, device='cuda:0', dtype=torch.float16)","tensor(0.9738, device='cuda:0')"
29,1.3047078007033892,53.471155189272245,"tensor(0.0614, device='cuda:0', dtype=torch.float16)","tensor(0.9732, device='cuda:0')"
