Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.0887061109145482,67.4683072334079,0,0
1,1.0887061109145482,67.4683072334079,"tensor(0.1393, device='cuda:0', dtype=torch.float16)","tensor(0.6193, device='cuda:0')"
2,1.0887061109145482,67.4683072334079,"tensor(0.1255, device='cuda:0', dtype=torch.float16)","tensor(0.6193, device='cuda:0')"
3,1.051374382206372,68.02293064876957,"tensor(0.1262, device='cuda:0', dtype=torch.float16)","tensor(0.6193, device='cuda:0')"
4,1.0375272700829166,68.38646532438479,"tensor(0.1208, device='cuda:0', dtype=torch.float16)","tensor(0.6296, device='cuda:0')"
5,1.0421327137876124,68.21868008948546,"tensor(0.1214, device='cuda:0', dtype=torch.float16)","tensor(0.6302, device='cuda:0')"
6,1.0488546535017944,67.99962714392245,"tensor(0.1261, device='cuda:0', dtype=torch.float16)","tensor(0.6208, device='cuda:0')"
7,1.0548185314096155,67.83650260999254,"tensor(0.1427, device='cuda:0', dtype=torch.float16)","tensor(0.6135, device='cuda:0')"
8,1.0578298675162452,67.65007457121551,"tensor(0.1075, device='cuda:0', dtype=torch.float16)","tensor(0.6065, device='cuda:0')"
9,1.0566844690058912,67.60346756152126,"tensor(0.1361, device='cuda:0', dtype=torch.float16)","tensor(0.6043, device='cuda:0')"
10,1.0568308344199544,67.65939597315436,"tensor(0.1149, device='cuda:0', dtype=torch.float16)","tensor(0.6014, device='cuda:0')"
11,1.052064596719685,67.74328859060402,"tensor(0.1099, device='cuda:0', dtype=torch.float16)","tensor(0.5990, device='cuda:0')"
12,1.0459918342530727,67.96700223713647,"tensor(0.1404, device='cuda:0', dtype=torch.float16)","tensor(0.5984, device='cuda:0')"
13,1.0378693008706683,68.08351976137212,"tensor(0.1265, device='cuda:0', dtype=torch.float16)","tensor(0.5965, device='cuda:0')"
14,1.0346894929451602,68.1347874720358,"tensor(0.1119, device='cuda:0', dtype=torch.float16)","tensor(0.5985, device='cuda:0')"
15,1.0326560506863254,68.22800149142431,"tensor(0.1226, device='cuda:0', dtype=torch.float16)","tensor(0.5979, device='cuda:0')"
16,1.0342600327872096,68.12546607009695,"tensor(0.1144, device='cuda:0', dtype=torch.float16)","tensor(0.5960, device='cuda:0')"
17,1.0352300361153626,68.11148396718866,"tensor(0.1514, device='cuda:0', dtype=torch.float16)","tensor(0.5919, device='cuda:0')"
18,1.0417199858597346,67.96234153616705,"tensor(0.0963, device='cuda:0', dtype=torch.float16)","tensor(0.5890, device='cuda:0')"
19,1.0452067067935353,67.91107382550335,"tensor(0.1250, device='cuda:0', dtype=torch.float16)","tensor(0.5856, device='cuda:0')"
