Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.2205239133465857,61.713965122259104,0,0
1,1.2205239133465857,61.713965122259104,"tensor(0.0737, device='cuda:0', dtype=torch.float16)","tensor(0.7961, device='cuda:0')"
2,1.2205239133465857,61.713965122259104,"tensor(0.0843, device='cuda:0', dtype=torch.float16)","tensor(0.7961, device='cuda:0')"
3,1.191353977879598,61.9944831455421,"tensor(0.0697, device='cuda:0', dtype=torch.float16)","tensor(0.7961, device='cuda:0')"
4,1.2409627261970724,61.17163027724531,"tensor(0.0837, device='cuda:0', dtype=torch.float16)","tensor(1.0578, device='cuda:0')"
5,1.261192742823845,60.577867127962975,"tensor(0.0800, device='cuda:0', dtype=torch.float16)","tensor(0.9247, device='cuda:0')"
6,1.2353465588142474,61.059423067932116,"tensor(0.0789, device='cuda:0', dtype=torch.float16)","tensor(0.9070, device='cuda:0')"
7,1.2232627100532962,60.867735752022064,"tensor(0.0617, device='cuda:0', dtype=torch.float16)","tensor(0.8300, device='cuda:0')"
8,1.205394602247647,61.28383748655851,"tensor(0.0596, device='cuda:0', dtype=torch.float16)","tensor(0.8607, device='cuda:0')"
9,1.1870974284552394,61.685913319930805,"tensor(0.0649, device='cuda:0', dtype=torch.float16)","tensor(0.8519, device='cuda:0')"
10,1.1862710868673665,62.0038337463182,"tensor(0.0594, device='cuda:0', dtype=torch.float16)","tensor(0.7902, device='cuda:0')"
11,1.1967472567089967,61.78876992846791,"tensor(0.0769, device='cuda:0', dtype=torch.float16)","tensor(0.7863, device='cuda:0')"
12,1.1948663336890084,61.8542241339006,"tensor(0.0591, device='cuda:0', dtype=torch.float16)","tensor(0.8170, device='cuda:0')"
13,1.1886118963538181,61.88695123661695,"tensor(0.0731, device='cuda:0', dtype=torch.float16)","tensor(0.7989, device='cuda:0')"
14,1.1904787829234487,61.723315723035206,"tensor(0.0580, device='cuda:0', dtype=torch.float16)","tensor(0.7533, device='cuda:0')"
15,1.201501754068193,61.61110851372201,"tensor(0.0560, device='cuda:0', dtype=torch.float16)","tensor(0.7371, device='cuda:0')"
16,1.2102251221381484,61.237084482678014,"tensor(0.0672, device='cuda:0', dtype=torch.float16)","tensor(0.7517, device='cuda:0')"
17,1.2123156649370987,61.12487727336482,"tensor(0.0566, device='cuda:0', dtype=torch.float16)","tensor(0.7578, device='cuda:0')"
18,1.2125440459875834,61.10150077142456,"tensor(0.0493, device='cuda:0', dtype=torch.float16)","tensor(0.7447, device='cuda:0')"
19,1.2115854072783674,61.13890317452896,"tensor(0.0555, device='cuda:0', dtype=torch.float16)","tensor(0.7303, device='cuda:0')"
20,1.2080925084827911,61.18565617840946,"tensor(0.0631, device='cuda:0', dtype=torch.float16)","tensor(0.7294, device='cuda:0')"
21,1.1997589496452183,61.12955257375286,"tensor(0.0558, device='cuda:0', dtype=torch.float16)","tensor(0.7300, device='cuda:0')"
22,1.1901482576947837,61.42877179858806,"tensor(0.0490, device='cuda:0', dtype=torch.float16)","tensor(0.7237, device='cuda:0')"
23,1.1864275508338498,61.49890130440881,"tensor(0.0515, device='cuda:0', dtype=torch.float16)","tensor(0.7175, device='cuda:0')"
24,1.1866504953553279,61.69993922109496,"tensor(0.0564, device='cuda:0', dtype=torch.float16)","tensor(0.7174, device='cuda:0')"
25,1.1890138092317752,61.80279582963205,"tensor(0.0591, device='cuda:0', dtype=torch.float16)","tensor(0.7121, device='cuda:0')"
