Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.7520764267870358,71.69148637257656,0,0
1,0.7520764267870358,71.69148637257656,"tensor(0.1146, device='cuda:0', dtype=torch.float16)","tensor(0.6749, device='cuda:0')"
2,0.7520764267870358,71.69148637257656,"tensor(0.1088, device='cuda:0', dtype=torch.float16)","tensor(0.6749, device='cuda:0')"
3,0.8020359847162452,69.9915706659174,"tensor(0.1017, device='cuda:0', dtype=torch.float16)","tensor(0.6749, device='cuda:0')"
4,0.7304520939609834,72.53441978083731,"tensor(0.0939, device='cuda:0', dtype=torch.float16)","tensor(1.0819, device='cuda:0')"
5,0.7371851860412529,72.36583309918517,"tensor(0.0952, device='cuda:0', dtype=torch.float16)","tensor(1.2433, device='cuda:0')"
6,0.8226965982466936,69.5841528519247,"tensor(0.1148, device='cuda:0', dtype=torch.float16)","tensor(0.7555, device='cuda:0')"
7,0.8299095683864185,69.49985951109862,"tensor(0.1135, device='cuda:0', dtype=torch.float16)","tensor(1.0317, device='cuda:0')"
8,0.7832599662776504,70.65186850238831,"tensor(0.1130, device='cuda:0', dtype=torch.float16)","tensor(1.0081, device='cuda:0')"
9,0.7571460719087294,71.17167743748244,"tensor(0.0981, device='cuda:0', dtype=torch.float16)","tensor(0.7378, device='cuda:0')"
10,0.7543167046138218,71.43860635009834,"tensor(0.0991, device='cuda:0', dtype=torch.float16)","tensor(0.7514, device='cuda:0')"
11,0.7523176723292896,71.55099747119978,"tensor(0.1107, device='cuda:0', dtype=torch.float16)","tensor(0.8853, device='cuda:0')"
12,0.7571527037237372,71.24192188817084,"tensor(0.1089, device='cuda:0', dtype=torch.float16)","tensor(0.8478, device='cuda:0')"
13,0.7681792857391494,71.04523742624333,"tensor(0.1057, device='cuda:0', dtype=torch.float16)","tensor(0.7675, device='cuda:0')"
14,0.7743704569126878,70.60972183197528,"tensor(0.1201, device='cuda:0', dtype=torch.float16)","tensor(0.7665, device='cuda:0')"
15,0.7643966749310493,71.14357965720708,"tensor(0.1077, device='cuda:0', dtype=torch.float16)","tensor(0.7694, device='cuda:0')"
16,0.7507099237825189,71.71958415285192,"tensor(0.1070, device='cuda:0', dtype=torch.float16)","tensor(0.7324, device='cuda:0')"
17,0.7442341369709798,71.71958415285192,"tensor(0.1077, device='cuda:0', dtype=torch.float16)","tensor(0.6975, device='cuda:0')"
18,0.7435924503952265,71.81792638381567,"tensor(0.1232, device='cuda:0', dtype=torch.float16)","tensor(0.7130, device='cuda:0')"
19,0.7482142514948334,71.57909525147514,"tensor(0.0858, device='cuda:0', dtype=torch.float16)","tensor(0.7297, device='cuda:0')"
20,0.7565977903349059,71.38241078954762,"tensor(0.0805, device='cuda:0', dtype=torch.float16)","tensor(0.7105, device='cuda:0')"
21,0.765027329325676,71.32621522899692,"tensor(0.0978, device='cuda:0', dtype=torch.float16)","tensor(0.6830, device='cuda:0')"
22,0.7716722201023783,70.98904186569261,"tensor(0.1114, device='cuda:0', dtype=torch.float16)","tensor(0.6829, device='cuda:0')"
23,0.7695298934621471,71.07333520651869,"tensor(0.1114, device='cuda:0', dtype=torch.float16)","tensor(0.6945, device='cuda:0')"
24,0.7594549059867859,71.22787299803315,"tensor(0.0850, device='cuda:0', dtype=torch.float16)","tensor(0.6855, device='cuda:0')"
25,0.748529264703393,71.49480191064906,"tensor(0.0910, device='cuda:0', dtype=torch.float16)","tensor(0.6683, device='cuda:0')"
26,0.7428204475768975,71.76173082326497,"tensor(0.0886, device='cuda:0', dtype=torch.float16)","tensor(0.6673, device='cuda:0')"
27,0.7406202677105155,71.8741219443664,"tensor(0.0763, device='cuda:0', dtype=torch.float16)","tensor(0.6797, device='cuda:0')"
28,0.7446428995047297,71.67743748243889,"tensor(0.0977, device='cuda:0', dtype=torch.float16)","tensor(0.6792, device='cuda:0')"
29,0.753309929477317,71.55099747119978,"tensor(0.0912, device='cuda:0', dtype=torch.float16)","tensor(0.6685, device='cuda:0')"
30,0.7610788803015437,71.31216633885923,"tensor(0.0893, device='cuda:0', dtype=torch.float16)","tensor(0.6580, device='cuda:0')"
31,0.7641495173530919,71.36836189940995,"tensor(0.1047, device='cuda:0', dtype=torch.float16)","tensor(0.6572, device='cuda:0')"
32,0.7630423504327025,71.24192188817084,"tensor(0.1008, device='cuda:0', dtype=torch.float16)","tensor(0.6487, device='cuda:0')"
33,0.7612159496971539,71.42455745996067,"tensor(0.0834, device='cuda:0', dtype=torch.float16)","tensor(0.6420, device='cuda:0')"
34,0.7619948557444981,71.50885080078673,"tensor(0.1192, device='cuda:0', dtype=torch.float16)","tensor(0.6487, device='cuda:0')"
35,0.7630705210779395,71.43860635009834,"tensor(0.1251, device='cuda:0', dtype=torch.float16)","tensor(0.6564, device='cuda:0')"
36,0.7666960454412869,70.98904186569261,"tensor(0.0797, device='cuda:0', dtype=torch.float16)","tensor(0.6499, device='cuda:0')"
37,0.7716872191854885,70.60972183197528,"tensor(0.0938, device='cuda:0', dtype=torch.float16)","tensor(0.6391, device='cuda:0')"
38,0.771649601736239,70.55352627142456,"tensor(0.0854, device='cuda:0', dtype=torch.float16)","tensor(0.6385, device='cuda:0')"
39,0.7658653834036419,70.67996628266367,"tensor(0.0839, device='cuda:0', dtype=torch.float16)","tensor(0.6406, device='cuda:0')"
40,0.7581095179276807,70.89069963472886,"tensor(0.1049, device='cuda:0', dtype=torch.float16)","tensor(0.6362, device='cuda:0')"
41,0.7538231164216995,71.15762854734476,"tensor(0.1000, device='cuda:0', dtype=torch.float16)","tensor(0.6338, device='cuda:0')"
42,0.7514725992722171,71.45265524023603,"tensor(0.0787, device='cuda:0', dtype=torch.float16)","tensor(0.6334, device='cuda:0')"
43,0.7534747528178352,71.43860635009834,"tensor(0.0679, device='cuda:0', dtype=torch.float16)","tensor(0.6276, device='cuda:0')"
44,0.7564814713384423,71.39645967968531,"tensor(0.0803, device='cuda:0', dtype=torch.float16)","tensor(0.6238, device='cuda:0')"
45,0.75850767322949,71.50885080078673,"tensor(0.0814, device='cuda:0', dtype=torch.float16)","tensor(0.6217, device='cuda:0')"
46,0.7579066466007914,71.43860635009834,"tensor(0.0919, device='cuda:0', dtype=torch.float16)","tensor(0.6227, device='cuda:0')"
47,0.7557034141251019,71.53694858106209,"tensor(0.1006, device='cuda:0', dtype=torch.float16)","tensor(0.6200, device='cuda:0')"
48,0.7549948569919381,71.49480191064906,"tensor(0.0798, device='cuda:0', dtype=torch.float16)","tensor(0.6189, device='cuda:0')"
49,0.7556918721113887,71.38241078954762,"tensor(0.0795, device='cuda:0', dtype=torch.float16)","tensor(0.6188, device='cuda:0')"
50,0.7593458789799895,71.00309075583029,"tensor(0.0699, device='cuda:0', dtype=torch.float16)","tensor(0.6172, device='cuda:0')"
