Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5929274787860257,51.52954323229501,0,0
1,1.5929274787860257,51.52954323229501,"tensor(0.0823, device='cuda:0', dtype=torch.float16)","tensor(0.8587, device='cuda:0')"
2,1.5963111035525799,52.898449504120684,"tensor(0.0715, device='cuda:0', dtype=torch.float16)","tensor(0.8587, device='cuda:0')"
3,1.4804029262491636,53.387344601201285,"tensor(0.0767, device='cuda:0', dtype=torch.float16)","tensor(1.3770, device='cuda:0')"
4,1.5991318284400873,51.19430088001118,"tensor(0.0829, device='cuda:0', dtype=torch.float16)","tensor(0.9199, device='cuda:0')"
5,1.6397765065942491,50.28635284257578,"tensor(0.0762, device='cuda:0', dtype=torch.float16)","tensor(1.0487, device='cuda:0')"
6,1.6411409303545952,49.9650789216371,"tensor(0.0970, device='cuda:0', dtype=torch.float16)","tensor(1.0181, device='cuda:0')"
7,1.6374659043337618,50.56572146947898,"tensor(0.0793, device='cuda:0', dtype=torch.float16)","tensor(0.9053, device='cuda:0')"
8,1.614084037819079,50.92890068445313,"tensor(0.0785, device='cuda:0', dtype=torch.float16)","tensor(0.8850, device='cuda:0')"
9,1.5621100376759256,51.68319597709177,"tensor(0.0782, device='cuda:0', dtype=torch.float16)","tensor(0.9155, device='cuda:0')"
10,1.4984391145408154,52.39558597569493,"tensor(0.0942, device='cuda:0', dtype=torch.float16)","tensor(0.9120, device='cuda:0')"
11,1.4603740338768278,53.066070680262605,"tensor(0.0800, device='cuda:0', dtype=torch.float16)","tensor(0.8786, device='cuda:0')"
12,1.4571559163076537,52.85654421008521,"tensor(0.0737, device='cuda:0', dtype=torch.float16)","tensor(0.8457, device='cuda:0')"
13,1.4792408235371113,52.35368068165945,"tensor(0.0811, device='cuda:0', dtype=torch.float16)","tensor(0.8250, device='cuda:0')"
14,1.5170502135796207,51.68319597709177,"tensor(0.0776, device='cuda:0', dtype=torch.float16)","tensor(0.8172, device='cuda:0')"
15,1.5485507154038973,50.621595194859616,"tensor(0.0766, device='cuda:0', dtype=torch.float16)","tensor(0.8174, device='cuda:0')"
16,1.5742794573307037,50.1047632350887,"tensor(0.0745, device='cuda:0', dtype=torch.float16)","tensor(0.8123, device='cuda:0')"
17,1.5831878797284193,50.28635284257578,"tensor(0.0739, device='cuda:0', dtype=torch.float16)","tensor(0.7964, device='cuda:0')"
18,1.5790200467620576,50.3841318619919,"tensor(0.0884, device='cuda:0', dtype=torch.float16)","tensor(0.7847, device='cuda:0')"
19,1.5649785878402847,50.984774409833776,"tensor(0.0757, device='cuda:0', dtype=torch.float16)","tensor(0.7711, device='cuda:0')"
20,1.5397166066936083,51.72510127112725,"tensor(0.0715, device='cuda:0', dtype=torch.float16)","tensor(0.7620, device='cuda:0')"
21,1.5111013624284948,52.13018578013689,"tensor(0.0779, device='cuda:0', dtype=torch.float16)","tensor(0.7538, device='cuda:0')"
22,1.4940511674753256,52.43749126973041,"tensor(0.0739, device='cuda:0', dtype=torch.float16)","tensor(0.7541, device='cuda:0')"
23,1.4901537857949734,52.49336499511105,"tensor(0.0601, device='cuda:0', dtype=torch.float16)","tensor(0.7541, device='cuda:0')"
24,1.506992987224034,52.03240676072077,"tensor(0.0674, device='cuda:0', dtype=torch.float16)","tensor(0.7476, device='cuda:0')"
25,1.5347094919000352,51.51557480094986,"tensor(0.0739, device='cuda:0', dtype=torch.float16)","tensor(0.7373, device='cuda:0')"
26,1.564232244023255,50.83112166503702,"tensor(0.0872, device='cuda:0', dtype=torch.float16)","tensor(0.7288, device='cuda:0')"
27,1.5839993304439954,50.46794245006286,"tensor(0.0779, device='cuda:0', dtype=torch.float16)","tensor(0.7229, device='cuda:0')"
28,1.5914314133780343,50.42603715602738,"tensor(0.0789, device='cuda:0', dtype=torch.float16)","tensor(0.7196, device='cuda:0')"
29,1.5849704226212842,50.621595194859616,"tensor(0.0845, device='cuda:0', dtype=torch.float16)","tensor(0.7149, device='cuda:0')"
30,1.567312662090574,51.110490291940216,"tensor(0.0783, device='cuda:0', dtype=torch.float16)","tensor(0.7076, device='cuda:0')"
31,1.551682916602918,51.138427154630534,"tensor(0.0735, device='cuda:0', dtype=torch.float16)","tensor(0.7020, device='cuda:0')"
32,1.5365818424948625,51.585416957675655,"tensor(0.0797, device='cuda:0', dtype=torch.float16)","tensor(0.7000, device='cuda:0')"
33,1.5250206137342113,51.780974996507894,"tensor(0.0725, device='cuda:0', dtype=torch.float16)","tensor(0.6997, device='cuda:0')"
34,1.5219555326870509,51.822880290543374,"tensor(0.0866, device='cuda:0', dtype=torch.float16)","tensor(0.6947, device='cuda:0')"
35,1.5321015673024314,51.822880290543374,"tensor(0.0668, device='cuda:0', dtype=torch.float16)","tensor(0.6905, device='cuda:0')"
36,1.5472479228462492,51.37589048749825,"tensor(0.0767, device='cuda:0', dtype=torch.float16)","tensor(0.6832, device='cuda:0')"
37,1.5607666415827615,51.054616566559574,"tensor(0.0907, device='cuda:0', dtype=torch.float16)","tensor(0.6810, device='cuda:0')"
38,1.5664398015609808,50.733342645620894,"tensor(0.0735, device='cuda:0', dtype=torch.float16)","tensor(0.6807, device='cuda:0')"
39,1.563381891165461,50.900963821762815,"tensor(0.0763, device='cuda:0', dtype=torch.float16)","tensor(0.6765, device='cuda:0')"
40,1.5584337801805563,50.97080597848861,"tensor(0.0657, device='cuda:0', dtype=torch.float16)","tensor(0.6722, device='cuda:0')"
41,1.5540426043527467,51.40382735018857,"tensor(0.0714, device='cuda:0', dtype=torch.float16)","tensor(0.6684, device='cuda:0')"
42,1.5522865227290563,51.1523955859757,"tensor(0.0701, device='cuda:0', dtype=torch.float16)","tensor(0.6653, device='cuda:0')"
43,1.551034760262285,51.19430088001118,"tensor(0.0587, device='cuda:0', dtype=torch.float16)","tensor(0.6642, device='cuda:0')"
