Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5477682451407115,51.120011176826715,0,0
1,1.5477682451407115,51.120011176826715,"tensor(0.0185, device='cuda:0')","tensor(0.8243, device='cuda:0')"
2,1.5899941703038556,50.42145950728822,"tensor(0.0185, device='cuda:0')","tensor(0.8243, device='cuda:0')"
3,1.5231965434338366,51.05481302100312,"tensor(0.0576, device='cuda:0')","tensor(1.4733, device='cuda:0')"
4,1.6126775111825693,50.04424160573744,"tensor(0.0201, device='cuda:0')","tensor(0.9344, device='cuda:0')"
5,1.635887097389925,49.504028314627675,"tensor(0.0222, device='cuda:0')","tensor(1.0739, device='cuda:0')"
6,1.5991738452797843,49.746192893401016,"tensor(0.0159, device='cuda:0')","tensor(1.0598, device='cuda:0')"
7,1.561301654825608,50.11409677269128,"tensor(0.0021, device='cuda:0')","tensor(0.9506, device='cuda:0')"
8,1.537187139193217,50.705537186233876,"tensor(-0.0048, device='cuda:0')","tensor(0.8926, device='cuda:0')"
9,1.5128164765025889,51.20849438830159,"tensor(-0.0048, device='cuda:0')","tensor(0.9184, device='cuda:0')"
10,1.4876593608586561,51.567084245331344,"tensor(-0.0025, device='cuda:0')","tensor(0.9329, device='cuda:0')"
11,1.4748527916769187,51.706794579239045,"tensor(-0.0005, device='cuda:0')","tensor(0.9093, device='cuda:0')"
12,1.4813420863023825,51.44134494481442,"tensor(-0.0008, device='cuda:0')","tensor(0.8694, device='cuda:0')"
13,1.5017675716607344,51.17589531038979,"tensor(0.0007, device='cuda:0')","tensor(0.8433, device='cuda:0')"
14,1.5234859562700702,50.4773436408513,"tensor(0.0016, device='cuda:0')","tensor(0.8490, device='cuda:0')"
15,1.5334102669287295,50.11409677269128,"tensor(0.0014, device='cuda:0')","tensor(0.8544, device='cuda:0')"
16,1.5344088015456994,49.73222186001025,"tensor(-0.0006, device='cuda:0')","tensor(0.8463, device='cuda:0')"
17,1.5292975836921305,49.69962278209845,"tensor(-0.0043, device='cuda:0')","tensor(0.8251, device='cuda:0')"
18,1.523591579958087,49.86261817165743,"tensor(-0.0051, device='cuda:0')","tensor(0.8090, device='cuda:0')"
