Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5060345145563285,54.53189108541589,0,0
1,1.5060345145563285,54.53189108541589,"tensor(0.1216, device='cuda:0')","tensor(0.8478, device='cuda:0')"
2,1.3108281732669897,55.87001118985453,"tensor(0.1216, device='cuda:0')","tensor(0.8478, device='cuda:0')"
3,1.322217908909633,55.68351361432301,"tensor(0.0409, device='cuda:0')","tensor(1.6828, device='cuda:0')"
4,1.3952498185847486,54.16822081312943,"tensor(0.0358, device='cuda:0')","tensor(2.2853, device='cuda:0')"
5,1.4938523107696147,52.214658709436776,"tensor(0.0484, device='cuda:0')","tensor(2.3875, device='cuda:0')"
6,1.547436787436406,50.75065274151436,"tensor(0.0637, device='cuda:0')","tensor(2.4621, device='cuda:0')"
7,1.5616361043815101,49.84147706079821,"tensor(0.0673, device='cuda:0')","tensor(2.5720, device='cuda:0')"
8,1.570761774267469,48.94162625885863,"tensor(0.0547, device='cuda:0')","tensor(2.7174, device='cuda:0')"
9,1.5883703326717729,47.85527788138754,"tensor(0.0433, device='cuda:0')","tensor(2.9237, device='cuda:0')"
10,1.5979739287424655,46.99738903394256,"tensor(0.0363, device='cuda:0')","tensor(3.1187, device='cuda:0')"
11,1.585723468058166,46.885490488623645,"tensor(0.0302, device='cuda:0')","tensor(3.1391, device='cuda:0')"
12,1.5685283871633666,47.095300261096604,"tensor(0.0190, device='cuda:0')","tensor(2.9654, device='cuda:0')"
13,1.5568012582759063,47.18388660947408,"tensor(0.0099, device='cuda:0')","tensor(2.6981, device='cuda:0')"
14,1.5536275431513786,47.42167101827676,"tensor(0.0030, device='cuda:0')","tensor(2.4778, device='cuda:0')"
15,1.5512888094498998,47.75270421484521,"tensor(0.0009, device='cuda:0')","tensor(2.3277, device='cuda:0')"
16,1.5420069337955542,48.400783289817234,"tensor(0.0035, device='cuda:0')","tensor(2.2957, device='cuda:0')"
17,1.52490063632528,49.55706825811264,"tensor(0.0052, device='cuda:0')","tensor(2.3194, device='cuda:0')"
18,1.5114695812974657,50.16318537859008,"tensor(0.0090, device='cuda:0')","tensor(2.3678, device='cuda:0')"
19,1.5004605587039674,50.77862737784409,"tensor(0.0123, device='cuda:0')","tensor(2.3853, device='cuda:0')"
20,1.4918387791230565,51.36609474076837,"tensor(0.0179, device='cuda:0')","tensor(2.3550, device='cuda:0')"
21,1.4834046892466999,51.860313315926895,"tensor(0.0237, device='cuda:0')","tensor(2.2983, device='cuda:0')"
22,1.4780990800687246,52.191346512495336,"tensor(0.0283, device='cuda:0')","tensor(2.2673, device='cuda:0')"
23,1.4709608991231238,52.401156284968295,"tensor(0.0337, device='cuda:0')","tensor(2.2899, device='cuda:0')"
24,1.4683053280626024,52.424468481909734,"tensor(0.0364, device='cuda:0')","tensor(2.3959, device='cuda:0')"
