Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.2205239133465857,61.713965122259104,0,0
1,1.2205239133465857,61.713965122259104,"tensor(0.1646, device='cuda:0')","tensor(0.8436, device='cuda:0')"
2,1.2250433473714761,61.37734349431951,"tensor(0.1646, device='cuda:0')","tensor(0.8436, device='cuda:0')"
3,1.215587848886138,61.751367525363506,"tensor(0.1335, device='cuda:0')","tensor(1.3553, device='cuda:0')"
4,1.2661007739426124,60.47501051942587,"tensor(0.1043, device='cuda:0')","tensor(0.9276, device='cuda:0')"
5,1.268544799249087,60.395530412829025,"tensor(0.1008, device='cuda:0')","tensor(1.0215, device='cuda:0')"
6,1.248153119126246,60.334751507784375,"tensor(0.0972, device='cuda:0')","tensor(1.0021, device='cuda:0')"
7,1.2354927896743728,60.306699705456076,"tensor(0.0900, device='cuda:0')","tensor(0.9178, device='cuda:0')"
8,1.2203599512577057,60.68072373650007,"tensor(0.0846, device='cuda:0')","tensor(0.9250, device='cuda:0')"
9,1.2007019381437982,61.13890317452896,"tensor(0.0776, device='cuda:0')","tensor(0.9361, device='cuda:0')"
10,1.1897254930365653,61.58305671139371,"tensor(0.0688, device='cuda:0')","tensor(0.9052, device='cuda:0')"
11,1.192426841351248,61.957080742437704,"tensor(0.0632, device='cuda:0')","tensor(0.8815, device='cuda:0')"
12,1.2021225431845302,61.72799102342326,"tensor(0.0661, device='cuda:0')","tensor(0.8793, device='cuda:0')"
13,1.2102448063946905,61.73734162419935,"tensor(0.0689, device='cuda:0')","tensor(0.8751, device='cuda:0')"
14,1.2140799364341157,61.592407312169804,"tensor(0.0747, device='cuda:0')","tensor(0.8512, device='cuda:0')"
15,1.2222884706265869,61.15760437608116,"tensor(0.0774, device='cuda:0')","tensor(0.8270, device='cuda:0')"
16,1.2274313290559111,60.92383935667867,"tensor(0.0811, device='cuda:0')","tensor(0.8304, device='cuda:0')"
17,1.227472507705291,60.816307447753516,"tensor(0.0813, device='cuda:0')","tensor(0.8437, device='cuda:0')"
18,1.224797809496522,60.78825564542522,"tensor(0.0777, device='cuda:0')","tensor(0.8323, device='cuda:0')"
19,1.223013670228067,60.72280143999252,"tensor(0.0733, device='cuda:0')","tensor(0.8118, device='cuda:0')"
20,1.2259620452033622,60.80228154658937,"tensor(0.0705, device='cuda:0')","tensor(0.8014, device='cuda:0')"
21,1.2263197590197836,60.85370985085792,"tensor(0.0688, device='cuda:0')","tensor(0.8078, device='cuda:0')"
22,1.2227678562381439,61.031371265603816,"tensor(0.0678, device='cuda:0')","tensor(0.8097, device='cuda:0')"
23,1.2216882824542976,61.00331946327552,"tensor(0.0666, device='cuda:0')","tensor(0.7975, device='cuda:0')"
24,1.2222055041541655,61.18565617840946,"tensor(0.0665, device='cuda:0')","tensor(0.7829, device='cuda:0')"
