Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.506141177068154,48.88629465328041,0,0
1,1.5306431108287402,47.65818351622694,"tensor(-0.4893, device='cuda:0')","tensor(1.3110, device='cuda:0')"
2,1.550144761091187,47.89166472098996,"tensor(-0.1333, device='cuda:0')","tensor(1.4720, device='cuda:0')"
3,1.5225887914143859,48.59677795937427,"tensor(-0.2602, device='cuda:0')","tensor(1.4060, device='cuda:0')"
4,1.5169589684477873,48.82091991594677,"tensor(-0.2024, device='cuda:0')","tensor(1.2974, device='cuda:0')"
5,1.5176944276761442,48.811580667756246,"tensor(-0.2819, device='cuda:0')","tensor(1.3246, device='cuda:0')"
6,1.5137567172447841,49.063740368900305,"tensor(-0.3392, device='cuda:0')","tensor(1.3545, device='cuda:0')"
7,1.517735759417216,49.02171375204296,"tensor(-0.2624, device='cuda:0')","tensor(1.3036, device='cuda:0')"
8,1.5300015037258465,48.704179313565255,"tensor(-0.5121, device='cuda:0')","tensor(1.2629, device='cuda:0')"
9,1.5462798919706118,47.947700210133085,"tensor(-0.3457, device='cuda:0')","tensor(1.2620, device='cuda:0')"
10,1.553198480535121,47.49474667289283,"tensor(-0.2849, device='cuda:0')","tensor(1.2793, device='cuda:0')"
11,1.5513744804830778,47.16787298622461,"tensor(-0.4156, device='cuda:0')","tensor(1.2795, device='cuda:0')"
12,1.5483048363100915,47.205229978986694,"tensor(-0.5041, device='cuda:0')","tensor(1.2587, device='cuda:0')"
13,1.5470352917909622,47.345318701844505,"tensor(-0.3024, device='cuda:0')","tensor(1.2436, device='cuda:0')"
14,1.5491684325748967,47.57413028251226,"tensor(-0.2043, device='cuda:0')","tensor(1.2331, device='cuda:0')"
15,1.551892652398064,47.75624562222741,"tensor(-0.1702, device='cuda:0')","tensor(1.2337, device='cuda:0')"
16,1.5550501110653083,47.9336913378473,"tensor(0.0639, device='cuda:0')","tensor(1.2370, device='cuda:0')"
17,1.5597473241034008,47.6395050198459,"tensor(-0.1135, device='cuda:0')","tensor(1.2332, device='cuda:0')"
18,1.5616713936130207,47.508755545178616,"tensor(-0.3209, device='cuda:0')","tensor(1.2241, device='cuda:0')"
19,1.5647046030277298,47.28928321270138,"tensor(-0.2098, device='cuda:0')","tensor(1.2128, device='cuda:0')"
20,1.5669651485624767,47.16320336212935,"tensor(-0.3834, device='cuda:0')","tensor(1.2055, device='cuda:0')"
21,1.5679296585065978,47.06047163203362,"tensor(-0.1725, device='cuda:0')","tensor(1.2060, device='cuda:0')"
22,1.566410444676876,47.149194489843566,"tensor(-0.1721, device='cuda:0')","tensor(1.2070, device='cuda:0')"
23,1.5640135517432576,47.07915012841466,"tensor(-0.2022, device='cuda:0')","tensor(1.2019, device='cuda:0')"
24,1.5630917705240703,47.15386411393883,"tensor(-0.1316, device='cuda:0')","tensor(1.1939, device='cuda:0')"
25,1.561150690274579,47.49007704879757,"tensor(-0.1096, device='cuda:0')","tensor(1.1866, device='cuda:0')"
26,1.5610236145910763,47.64884426803642,"tensor(-0.0527, device='cuda:0')","tensor(1.1855, device='cuda:0')"
27,1.5608589187974022,47.74690637403689,"tensor(-0.2287, device='cuda:0')","tensor(1.1857, device='cuda:0')"
28,1.56126339822298,47.77492411860845,"tensor(-0.1812, device='cuda:0')","tensor(1.1842, device='cuda:0')"
29,1.5636073356228215,47.653513892131684,"tensor(-0.0449, device='cuda:0')","tensor(1.1800, device='cuda:0')"
30,1.5666206134926706,47.47606817651179,"tensor(-0.1054, device='cuda:0')","tensor(1.1748, device='cuda:0')"
31,1.571251515831266,47.04646275974784,"tensor(-0.1169, device='cuda:0')","tensor(1.1730, device='cuda:0')"
32,1.5735288326229369,46.91571328508055,"tensor(0.0525, device='cuda:0')","tensor(1.1730, device='cuda:0')"
33,1.573771470714183,46.88302591641373,"tensor(-0.0764, device='cuda:0')","tensor(1.1717, device='cuda:0')"
34,1.5719884176339423,46.73826756946066,"tensor(-0.2075, device='cuda:0')","tensor(1.1662, device='cuda:0')"
35,1.5705622807145119,46.93439178146159,"tensor(-0.0936, device='cuda:0')","tensor(1.1622, device='cuda:0')"
36,1.5717027900474412,47.083819752509925,"tensor(0.0183, device='cuda:0')","tensor(1.1588, device='cuda:0')"
37,1.5731543561532384,47.06514125612888,"tensor(-0.0892, device='cuda:0')","tensor(1.1570, device='cuda:0')"
38,1.574173826546896,46.97174877422368,"tensor(-0.2191, device='cuda:0')","tensor(1.1551, device='cuda:0')"
39,1.5750812334673745,46.976418398318934,"tensor(-0.1416, device='cuda:0')","tensor(1.1532, device='cuda:0')"
40,1.5752790034526871,47.04179313565258,"tensor(-0.0388, device='cuda:0')","tensor(1.1503, device='cuda:0')"
41,1.575106451553958,46.99509689469998,"tensor(-0.1464, device='cuda:0')","tensor(1.1489, device='cuda:0')"
42,1.5742652114658129,47.07915012841466,"tensor(0.0546, device='cuda:0')","tensor(1.1484, device='cuda:0')"
43,1.5736886525437945,47.07915012841466,"tensor(0.0535, device='cuda:0')","tensor(1.1465, device='cuda:0')"
44,1.5738526838166373,47.130515993462524,"tensor(0.0388, device='cuda:0')","tensor(1.1428, device='cuda:0')"
45,1.5742789223080589,47.20056035489143,"tensor(-0.0600, device='cuda:0')","tensor(1.1391, device='cuda:0')"
46,1.5748313910194807,47.0744805043194,"tensor(0.0538, device='cuda:0')","tensor(1.1380, device='cuda:0')"
47,1.5777543123279298,47.03712351155732,"tensor(0.0622, device='cuda:0')","tensor(1.1381, device='cuda:0')"
48,1.57888955977701,46.90637403689003,"tensor(0.0582, device='cuda:0')","tensor(1.1374, device='cuda:0')"
49,1.5788085428731782,46.789633434508524,"tensor(0.0689, device='cuda:0')","tensor(1.1327, device='cuda:0')"
50,1.5780464896843547,46.88302591641373,"tensor(-0.0758, device='cuda:0')","tensor(1.1312, device='cuda:0')"
51,1.5770432963257743,46.976418398318934,"tensor(-0.2352, device='cuda:0')","tensor(1.1302, device='cuda:0')"
52,1.5757257203970636,47.06981088022414,"tensor(0.2100, device='cuda:0')","tensor(1.1273, device='cuda:0')"
53,1.5756590341528256,47.18188185851039,"tensor(0.0898, device='cuda:0')","tensor(1.1260, device='cuda:0')"
54,1.5744053033136187,47.03712351155732,"tensor(0.1676, device='cuda:0')","tensor(1.1232, device='cuda:0')"
55,1.5757176425485384,47.0978286247957,"tensor(0.1371, device='cuda:0')","tensor(1.1227, device='cuda:0')"
56,1.5767389684915543,46.94373102965211,"tensor(0.1841, device='cuda:0')","tensor(1.1214, device='cuda:0')"
57,1.578835051329363,46.78496381041326,"tensor(0.0603, device='cuda:0')","tensor(1.1204, device='cuda:0')"
58,1.5810216995222228,46.65888395984123,"tensor(-0.0441, device='cuda:0')","tensor(1.1183, device='cuda:0')"
59,1.5823985451743716,46.45809012374504,"tensor(0.2210, device='cuda:0')","tensor(1.1159, device='cuda:0')"
60,1.58257921146495,46.50011674060238,"tensor(-0.0357, device='cuda:0')","tensor(1.1133, device='cuda:0')"
61,1.5819806971010708,46.44408125145926,"tensor(0.1982, device='cuda:0')","tensor(1.1122, device='cuda:0')"
62,1.5825069958255404,46.546812981554986,"tensor(-0.0214, device='cuda:0')","tensor(1.1106, device='cuda:0')"
63,1.5823633752408481,46.61685734298389,"tensor(0.1221, device='cuda:0')","tensor(1.1090, device='cuda:0')"
64,1.5821229276202975,46.7102498248891,"tensor(0.1494, device='cuda:0')","tensor(1.1070, device='cuda:0')"
65,1.581942903144019,46.7102498248891,"tensor(-0.0184, device='cuda:0')","tensor(1.1045, device='cuda:0')"
66,1.58170549677951,46.87835629231847,"tensor(0.2083, device='cuda:0')","tensor(1.1022, device='cuda:0')"
67,1.5817285517141932,46.89703478869951,"tensor(-0.0187, device='cuda:0')","tensor(1.1008, device='cuda:0')"
68,1.582348574130308,46.83632967546112,"tensor(0.0035, device='cuda:0')","tensor(1.0994, device='cuda:0')"
69,1.5819397224556833,46.864347420032686,"tensor(0.2612, device='cuda:0')","tensor(1.0972, device='cuda:0')"
70,1.580778769439175,46.89236516460425,"tensor(0.0861, device='cuda:0')","tensor(1.0962, device='cuda:0')"
