Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.2205239133465857,61.713965122259104,0,0
1,1.2249580307730608,61.45682360091636,"tensor(0.0817, device='cuda:0')","tensor(0.7890, device='cuda:0')"
2,1.2414162796700285,61.297863387722664,"tensor(0.1131, device='cuda:0')","tensor(1.1414, device='cuda:0')"
3,1.2996590577420735,59.99812987984478,"tensor(0.0864, device='cuda:0')","tensor(0.8370, device='cuda:0')"
4,1.269368471489066,60.47968581981392,"tensor(0.0966, device='cuda:0')","tensor(0.9763, device='cuda:0')"
5,1.2308962245782216,61.04539716676796,"tensor(0.0837, device='cuda:0')","tensor(0.8740, device='cuda:0')"
6,1.2110977946292787,61.30253868811071,"tensor(0.0769, device='cuda:0')","tensor(0.7995, device='cuda:0')"
7,1.1964651232674008,61.48020010285661,"tensor(0.0743, device='cuda:0')","tensor(0.8312, device='cuda:0')"
8,1.1851093041754903,62.0973397540792,"tensor(0.0857, device='cuda:0')","tensor(0.8399, device='cuda:0')"
9,1.1872076683988173,62.0318855486465,"tensor(0.0783, device='cuda:0')","tensor(0.8044, device='cuda:0')"
10,1.2031673515836399,61.80279582963205,"tensor(0.0658, device='cuda:0')","tensor(0.7790, device='cuda:0')"
11,1.2216175030029954,61.681238019542754,"tensor(0.0817, device='cuda:0')","tensor(0.7807, device='cuda:0')"
12,1.231887292205578,61.42409649820001,"tensor(0.0807, device='cuda:0')","tensor(0.7749, device='cuda:0')"
13,1.2415902937452,61.01267006405161,"tensor(0.0721, device='cuda:0')","tensor(0.7460, device='cuda:0')"
14,1.2484637211476053,60.811632147365465,"tensor(0.0778, device='cuda:0')","tensor(0.7261, device='cuda:0')"
15,1.251058294127385,60.37215391088878,"tensor(0.0785, device='cuda:0')","tensor(0.7357, device='cuda:0')"
16,1.2418507965547698,60.451634017485624,"tensor(0.0801, device='cuda:0')","tensor(0.7442, device='cuda:0')"
17,1.2297111618376912,60.69007433727617,"tensor(0.0793, device='cuda:0')","tensor(0.7312, device='cuda:0')"
18,1.2216573322103137,60.877086352798166,"tensor(0.0633, device='cuda:0')","tensor(0.7104, device='cuda:0')"
19,1.2204756117647602,60.993968862499415,"tensor(0.0723, device='cuda:0')","tensor(0.7009, device='cuda:0')"
20,1.2188919470423745,61.031371265603816,"tensor(0.0686, device='cuda:0')","tensor(0.7125, device='cuda:0')"
21,1.216032591337959,61.11085137220066,"tensor(0.0733, device='cuda:0')","tensor(0.7156, device='cuda:0')"
22,1.2146060732858521,61.297863387722664,"tensor(0.0710, device='cuda:0')","tensor(0.7005, device='cuda:0')"
23,1.2183707807035673,61.297863387722664,"tensor(0.0796, device='cuda:0')","tensor(0.6841, device='cuda:0')"
24,1.224755221090856,61.12487727336482,"tensor(0.0747, device='cuda:0')","tensor(0.6821, device='cuda:0')"
25,1.2312705896440006,61.03604656599187,"tensor(0.0718, device='cuda:0')","tensor(0.6842, device='cuda:0')"
26,1.2355838374545176,60.98461826172331,"tensor(0.0759, device='cuda:0')","tensor(0.6820, device='cuda:0')"
27,1.2368667823750348,60.900462854738414,"tensor(0.0769, device='cuda:0')","tensor(0.6741, device='cuda:0')"
28,1.2357012303989559,60.811632147365465,"tensor(0.0717, device='cuda:0')","tensor(0.6653, device='cuda:0')"
29,1.2310744490297068,60.88176165318622,"tensor(0.0621, device='cuda:0')","tensor(0.6672, device='cuda:0')"
30,1.223494803532958,60.965917060171115,"tensor(0.0714, device='cuda:0')","tensor(0.6668, device='cuda:0')"
31,1.2200902552299557,60.86306045163402,"tensor(0.0670, device='cuda:0')","tensor(0.6601, device='cuda:0')"
32,1.2175867392548494,60.92383935667867,"tensor(0.0592, device='cuda:0')","tensor(0.6556, device='cuda:0')"
33,1.2200163944313924,60.900462854738414,"tensor(0.0552, device='cuda:0')","tensor(0.6579, device='cuda:0')"
34,1.2241004172357774,61.059423067932116,"tensor(0.0676, device='cuda:0')","tensor(0.6526, device='cuda:0')"
35,1.2291453813335724,60.900462854738414,"tensor(0.0696, device='cuda:0')","tensor(0.6459, device='cuda:0')"
36,1.2341328092096817,60.84903455046987,"tensor(0.0667, device='cuda:0')","tensor(0.6428, device='cuda:0')"
37,1.2347066963002795,60.77890504464912,"tensor(0.0711, device='cuda:0')","tensor(0.6415, device='cuda:0')"
38,1.230620900878594,60.905138155126465,"tensor(0.0660, device='cuda:0')","tensor(0.6410, device='cuda:0')"
39,1.2267708377469153,60.88176165318622,"tensor(0.0692, device='cuda:0')","tensor(0.6362, device='cuda:0')"
40,1.224750919888417,60.85370985085792,"tensor(0.0680, device='cuda:0')","tensor(0.6322, device='cuda:0')"
41,1.2226216342477572,60.83500864930572,"tensor(0.0669, device='cuda:0')","tensor(0.6335, device='cuda:0')"
42,1.2218078659581286,60.76487914348497,"tensor(0.0584, device='cuda:0')","tensor(0.6317, device='cuda:0')"
43,1.223209408865798,60.79293094581327,"tensor(0.0519, device='cuda:0')","tensor(0.6282, device='cuda:0')"
44,1.2242658144483964,60.783580345037166,"tensor(0.0651, device='cuda:0')","tensor(0.6244, device='cuda:0')"
45,1.2246440309321596,60.89578755435037,"tensor(0.0680, device='cuda:0')","tensor(0.6238, device='cuda:0')"
46,1.2230779788501205,60.989293562111364,"tensor(0.0564, device='cuda:0')","tensor(0.6219, device='cuda:0')"
47,1.221586512845187,61.04539716676796,"tensor(0.0695, device='cuda:0')","tensor(0.6187, device='cuda:0')"
48,1.2205424560677438,61.04072186637991,"tensor(0.0572, device='cuda:0')","tensor(0.6168, device='cuda:0')"
49,1.219374105334282,61.12487727336482,"tensor(0.0676, device='cuda:0')","tensor(0.6140, device='cuda:0')"
50,1.2209043542721443,60.97994296133527,"tensor(0.0682, device='cuda:0')","tensor(0.6106, device='cuda:0')"
51,1.2207437382035313,60.928514657066714,"tensor(0.0666, device='cuda:0')","tensor(0.6085, device='cuda:0')"
52,1.2223749801161743,60.839683949693764,"tensor(0.0683, device='cuda:0')","tensor(0.6077, device='cuda:0')"
53,1.2214014257880903,60.82098274814157,"tensor(0.0636, device='cuda:0')","tensor(0.6075, device='cuda:0')"
54,1.221741049240033,60.83033334891767,"tensor(0.0572, device='cuda:0')","tensor(0.6042, device='cuda:0')"
55,1.2205687940475487,60.91916405629062,"tensor(0.0598, device='cuda:0')","tensor(0.6052, device='cuda:0')"
56,1.2188044841445627,60.85838515124597,"tensor(0.0567, device='cuda:0')","tensor(0.6024, device='cuda:0')"
57,1.2186464293017274,60.92383935667867,"tensor(0.0591, device='cuda:0')","tensor(0.6000, device='cuda:0')"
58,1.2163911962083407,61.143578474917014,"tensor(0.0674, device='cuda:0')","tensor(0.5988, device='cuda:0')"
59,1.2167297552916265,61.07812426948431,"tensor(0.0594, device='cuda:0')","tensor(0.5976, device='cuda:0')"
60,1.2170050683475675,61.148253775305065,"tensor(0.0570, device='cuda:0')","tensor(0.5969, device='cuda:0')"
61,1.216035876334423,61.06877366870822,"tensor(0.0483, device='cuda:0')","tensor(0.5946, device='cuda:0')"
62,1.2182584928259963,61.082799569872364,"tensor(0.0643, device='cuda:0')","tensor(0.5928, device='cuda:0')"
