Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.0887061109145482,67.4683072334079,0,0
1,2.9873012625390576,52.58668903803132,"tensor(-0.3816, device='cuda:0')","tensor(0.5999, device='cuda:0')"
2,1.5744568776516688,59.94593586875466,"tensor(1.1066, device='cuda:0')","tensor(17.4731, device='cuda:0')"
3,1.5697843569907404,59.99720357941835,"tensor(0.3451, device='cuda:0')","tensor(4.2965, device='cuda:0')"
4,1.4591046273708344,61.148396718866515,"tensor(0.1351, device='cuda:0')","tensor(4.0924, device='cuda:0')"
5,1.3236769845797902,61.05052199850858,"tensor(0.2985, device='cuda:0')","tensor(4.1492, device='cuda:0')"
6,1.229383318729344,61.894108873974645,"tensor(-0.0670, device='cuda:0')","tensor(3.6420, device='cuda:0')"
7,1.2094627077735605,62.919463087248324,"tensor(-0.0469, device='cuda:0')","tensor(3.1910, device='cuda:0')"
8,1.1635182896362883,63.73508575689784,"tensor(-0.0826, device='cuda:0')","tensor(2.8748, device='cuda:0')"
9,1.0997690111398697,65.72986577181209,"tensor(0.0214, device='cuda:0')","tensor(2.4905, device='cuda:0')"
10,1.0985347476033938,65.82774049217002,"tensor(-0.1372, device='cuda:0')","tensor(2.2377, device='cuda:0')"
11,1.108689865186101,65.94425801640567,"tensor(0.0833, device='cuda:0')","tensor(2.1714, device='cuda:0')"
12,1.1276355064695789,65.62266964951529,"tensor(0.0133, device='cuda:0')","tensor(2.0986, device='cuda:0')"
13,1.1539318710565567,65.15193885160328,"tensor(0.1486, device='cuda:0')","tensor(2.0997, device='cuda:0')"
14,1.187542856803962,64.59731543624162,"tensor(0.1005, device='cuda:0')","tensor(2.0443, device='cuda:0')"
15,1.1861328413443906,64.32699478001491,"tensor(0.1380, device='cuda:0')","tensor(2.0300, device='cuda:0')"
16,1.1788678609189533,64.03803131991052,"tensor(-0.0086, device='cuda:0')","tensor(1.9405, device='cuda:0')"
17,1.1589490370381446,64.26640566741239,"tensor(0.1217, device='cuda:0')","tensor(1.8847, device='cuda:0')"
18,1.1270087485512097,64.7930648769575,"tensor(-0.1454, device='cuda:0')","tensor(1.8160, device='cuda:0')"
19,1.1135796528486979,65.09601043997017,"tensor(-0.0069, device='cuda:0')","tensor(1.6904, device='cuda:0')"
20,1.0956876350655442,65.67859806114839,"tensor(-0.1941, device='cuda:0')","tensor(1.6061, device='cuda:0')"
21,1.0595685186840238,66.4382923191648,"tensor(-0.1646, device='cuda:0')","tensor(1.6006, device='cuda:0')"
22,1.0606935776415325,66.5641312453393,"tensor(-0.0459, device='cuda:0')","tensor(1.4936, device='cuda:0')"
23,1.0583937888344128,66.6014168530947,"tensor(-0.0012, device='cuda:0')","tensor(1.4719, device='cuda:0')"
24,1.0726586871203923,66.18195376584639,"tensor(-0.0671, device='cuda:0')","tensor(1.4597, device='cuda:0')"
25,1.0996988393543732,65.61334824757644,"tensor(-0.0158, device='cuda:0')","tensor(1.4076, device='cuda:0')"
26,1.095662240293764,65.73452647278151,"tensor(-0.1558, device='cuda:0')","tensor(1.4105, device='cuda:0')"
27,1.087324834827866,66.01416853094706,"tensor(-0.3702, device='cuda:0')","tensor(1.3677, device='cuda:0')"
28,1.0880351203183334,66.00018642803877,"tensor(0.0020, device='cuda:0')","tensor(1.3518, device='cuda:0')"
29,1.0853224139483202,66.27050708426547,"tensor(-0.0428, device='cuda:0')","tensor(1.3270, device='cuda:0')"
30,1.0665327058661551,66.58277404921701,"tensor(-0.2310, device='cuda:0')","tensor(1.2732, device='cuda:0')"
31,1.0518386853592736,67.10943325876212,"tensor(-0.1295, device='cuda:0')","tensor(1.2472, device='cuda:0')"
32,1.0507863277480716,67.21662938105891,"tensor(-0.1366, device='cuda:0')","tensor(1.2357, device='cuda:0')"
33,1.040044734165782,67.4683072334079,"tensor(-0.1428, device='cuda:0')","tensor(1.2440, device='cuda:0')"
34,1.0545048106993948,67.30984340044743,"tensor(-0.0455, device='cuda:0')","tensor(1.2251, device='cuda:0')"
35,1.0806189865938254,66.8717375093214,"tensor(-0.1845, device='cuda:0')","tensor(1.1995, device='cuda:0')"
36,1.0854399793204808,66.91834451901566,"tensor(-0.1370, device='cuda:0')","tensor(1.1730, device='cuda:0')"
37,1.096257197892382,66.71793437733035,"tensor(-0.0719, device='cuda:0')","tensor(1.1535, device='cuda:0')"
38,1.0807561367040588,66.75055928411633,"tensor(-0.1417, device='cuda:0')","tensor(1.1619, device='cuda:0')"
39,1.0638684380267347,67.15604026845638,"tensor(-0.1361, device='cuda:0')","tensor(1.1228, device='cuda:0')"
40,1.0665794459304638,67.17468307233408,"tensor(-0.0147, device='cuda:0')","tensor(1.0932, device='cuda:0')"
41,1.0538845661850202,67.21196868008948,"tensor(-0.0273, device='cuda:0')","tensor(1.1121, device='cuda:0')"
42,1.0629903727344103,67.053504847129,"tensor(-0.0664, device='cuda:0')","tensor(1.0498, device='cuda:0')"
43,1.0637385589735848,67.15604026845638,"tensor(-0.1458, device='cuda:0')","tensor(1.0991, device='cuda:0')"
44,1.068811394540327,67.1607009694258,"tensor(0.1367, device='cuda:0')","tensor(1.0274, device='cuda:0')"
45,1.0830802658484096,66.37770320656227,"tensor(-0.1426, device='cuda:0')","tensor(1.0225, device='cuda:0')"
46,1.0920336746743746,66.20525727069351,"tensor(-0.1622, device='cuda:0')","tensor(0.9858, device='cuda:0')"
47,1.0666541831479186,66.66200596569725,"tensor(-0.1723, device='cuda:0')","tensor(1.0190, device='cuda:0')"
48,1.0731794876711709,66.46625652498136,"tensor(0.0049, device='cuda:0')","tensor(0.9830, device='cuda:0')"
49,1.0840573544126182,66.34973900074571,"tensor(0.0423, device='cuda:0')","tensor(0.9706, device='cuda:0')"
50,1.0631749968798387,66.73191648023862,"tensor(-0.2562, device='cuda:0')","tensor(0.9452, device='cuda:0')"
51,1.0484149447154432,67.23993288590604,"tensor(-0.2904, device='cuda:0')","tensor(0.9047, device='cuda:0')"
52,1.0402485375248252,67.71066368381804,"tensor(-0.1343, device='cuda:0')","tensor(0.9315, device='cuda:0')"
53,1.0734844615771657,67.10011185682326,"tensor(-0.1964, device='cuda:0')","tensor(0.9055, device='cuda:0')"
54,1.0938277693376655,66.77386278896346,"tensor(-0.2148, device='cuda:0')","tensor(0.9025, device='cuda:0')"
55,1.0862386194722993,66.56879194630872,"tensor(0.0671, device='cuda:0')","tensor(0.8877, device='cuda:0')"
56,1.0783562385255383,66.72259507829978,"tensor(0.0669, device='cuda:0')","tensor(0.8592, device='cuda:0')"
57,1.0683965090484846,66.78784489187174,"tensor(0.1081, device='cuda:0')","tensor(0.8571, device='cuda:0')"
58,1.0908415450581483,66.37770320656227,"tensor(-0.1552, device='cuda:0')","tensor(0.8617, device='cuda:0')"
59,1.1040595056755202,66.30313199105146,"tensor(-0.2348, device='cuda:0')","tensor(0.8517, device='cuda:0')"
60,1.0899568813897313,66.68997017151379,"tensor(-0.1452, device='cuda:0')","tensor(0.8357, device='cuda:0')"
61,1.0608294205296607,67.39839671886652,"tensor(-0.0896, device='cuda:0')","tensor(0.8193, device='cuda:0')"
62,1.0460102774557614,67.77125279642058,"tensor(0.1032, device='cuda:0')","tensor(0.8252, device='cuda:0')"
63,1.0730135389381932,67.13273676360924,"tensor(-0.1340, device='cuda:0')","tensor(0.8454, device='cuda:0')"
64,1.1152653646256243,66.32643549589858,"tensor(0.2613, device='cuda:0')","tensor(0.8059, device='cuda:0')"
65,1.0960872348930155,66.6713273676361,"tensor(-0.0415, device='cuda:0')","tensor(0.8075, device='cuda:0')"
66,1.0333982179207462,67.69202087994034,"tensor(-0.0114, device='cuda:0')","tensor(0.7932, device='cuda:0')"
67,1.0306331337917418,67.58948545861297,"tensor(-0.1287, device='cuda:0')","tensor(0.7977, device='cuda:0')"
68,1.0632974567512672,67.02087994034302,"tensor(0.0499, device='cuda:0')","tensor(0.7913, device='cuda:0')"
69,1.0849573292902537,66.60607755406413,"tensor(-0.1935, device='cuda:0')","tensor(0.7624, device='cuda:0')"
70,1.0717169544881298,66.87639821029083,"tensor(-0.1293, device='cuda:0')","tensor(0.7557, device='cuda:0')"
71,1.069958359712646,67.13273676360924,"tensor(-0.1127, device='cuda:0')","tensor(0.7425, device='cuda:0')"
72,1.076291279069015,67.06282624906785,"tensor(-0.1585, device='cuda:0')","tensor(0.7529, device='cuda:0')"
73,1.0847205908170767,66.89504101416853,"tensor(-0.0899, device='cuda:0')","tensor(0.7591, device='cuda:0')"
74,1.0826326175814582,66.90902311707681,"tensor(0.0709, device='cuda:0')","tensor(0.7639, device='cuda:0')"
75,1.0650240374462945,67.20264727815064,"tensor(-0.1132, device='cuda:0')","tensor(0.7321, device='cuda:0')"
76,1.0382903234234877,67.6826994780015,"tensor(-0.2124, device='cuda:0')","tensor(0.7578, device='cuda:0')"
77,1.090168517615114,66.67598806860552,"tensor(-0.1508, device='cuda:0')","tensor(0.7478, device='cuda:0')"
78,1.1115262233430432,66.32177479492915,"tensor(-0.2272, device='cuda:0')","tensor(0.7651, device='cuda:0')"
79,1.0968832045438743,66.75055928411633,"tensor(-0.0292, device='cuda:0')","tensor(0.7348, device='cuda:0')"
80,1.0615916090706985,67.47296793437734,"tensor(-0.1270, device='cuda:0')","tensor(0.7331, device='cuda:0')"
81,1.0805117872854073,67.07680835197614,"tensor(-0.0717, device='cuda:0')","tensor(0.7356, device='cuda:0')"
82,1.0814849005213805,66.96495152870992,"tensor(-0.1990, device='cuda:0')","tensor(0.7639, device='cuda:0')"
83,1.0906034798494406,66.62938105891126,"tensor(-0.2248, device='cuda:0')","tensor(0.7049, device='cuda:0')"
84,1.0877002530864306,66.75055928411633,"tensor(-0.2173, device='cuda:0')","tensor(0.7237, device='cuda:0')"
