Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.0887061109145482,67.4683072334079,0,0
1,0.9569261201790401,69.95712155108129,"tensor(-0.2308, device='cuda:0')","tensor(0.5999, device='cuda:0')"
2,1.0600837785750628,67.83184190902311,"tensor(-0.2450, device='cuda:0')","tensor(1.4376, device='cuda:0')"
3,1.195479103585794,65.57606263982103,"tensor(-0.2643, device='cuda:0')","tensor(0.9053, device='cuda:0')"
4,1.1648876067428362,66.05611483967189,"tensor(-0.2139, device='cuda:0')","tensor(0.9777, device='cuda:0')"
5,1.1008779918331475,66.86241610738254,"tensor(-0.1914, device='cuda:0')","tensor(0.9205, device='cuda:0')"
6,1.0362591676059223,68.01360924683073,"tensor(-0.1852, device='cuda:0')","tensor(0.8890, device='cuda:0')"
7,1.0008424706757069,68.6055182699478,"tensor(-0.1782, device='cuda:0')","tensor(0.8753, device='cuda:0')"
8,1.0021035603824116,68.66610738255034,"tensor(-0.2209, device='cuda:0')","tensor(0.8226, device='cuda:0')"
9,1.034916688288961,67.99030574198359,"tensor(-0.1277, device='cuda:0')","tensor(0.7883, device='cuda:0')"
10,1.06810874899938,67.28187919463087,"tensor(-0.2207, device='cuda:0')","tensor(0.7859, device='cuda:0')"
11,1.0776130438205742,67.33780760626398,"tensor(-0.1350, device='cuda:0')","tensor(0.8156, device='cuda:0')"
12,1.0604347657589686,67.72930648769575,"tensor(-0.1207, device='cuda:0')","tensor(0.8045, device='cuda:0')"
13,1.0452131096805846,67.92039522744221,"tensor(-0.0664, device='cuda:0')","tensor(0.7861, device='cuda:0')"
14,1.0264719211984248,68.03225205070842,"tensor(-0.0281, device='cuda:0')","tensor(0.7741, device='cuda:0')"
15,1.014204218451466,68.10682326621924,"tensor(-0.2130, device='cuda:0')","tensor(0.7561, device='cuda:0')"
16,1.0110724332431953,68.23732289336316,"tensor(-0.1188, device='cuda:0')","tensor(0.7271, device='cuda:0')"
17,1.0226837833012854,67.94369873228933,"tensor(-0.2779, device='cuda:0')","tensor(0.7099, device='cuda:0')"
18,1.0342708719628197,67.54287844891871,"tensor(0.0130, device='cuda:0')","tensor(0.7148, device='cuda:0')"
19,1.0451298622148377,67.47762863534676,"tensor(-0.2268, device='cuda:0')","tensor(0.7251, device='cuda:0')"
20,1.0509402897386324,67.32848620432513,"tensor(-0.2088, device='cuda:0')","tensor(0.7317, device='cuda:0')"
21,1.0501422291355473,67.29586129753915,"tensor(-0.2024, device='cuda:0')","tensor(0.7153, device='cuda:0')"
22,1.0546415730246477,67.4496644295302,"tensor(-0.2787, device='cuda:0')","tensor(0.6981, device='cuda:0')"
23,1.0594455165167649,67.40305741983595,"tensor(-0.1230, device='cuda:0')","tensor(0.7006, device='cuda:0')"
24,1.06343405268022,67.53355704697987,"tensor(-0.1312, device='cuda:0')","tensor(0.7011, device='cuda:0')"
25,1.058606129671846,67.67803877703207,"tensor(-0.1668, device='cuda:0')","tensor(0.7155, device='cuda:0')"
26,1.0605155069913184,67.60346756152126,"tensor(-0.3006, device='cuda:0')","tensor(0.7164, device='cuda:0')"
27,1.0507918076501006,67.74328859060402,"tensor(-0.0176, device='cuda:0')","tensor(0.7030, device='cuda:0')"
28,1.028844840115025,68.13012677106637,"tensor(-0.0143, device='cuda:0')","tensor(0.6865, device='cuda:0')"
29,1.0229113628821713,68.16275167785236,"tensor(-0.1274, device='cuda:0')","tensor(0.6680, device='cuda:0')"
30,1.0281383663948094,68.1907158836689,"tensor(-0.3199, device='cuda:0')","tensor(0.6693, device='cuda:0')"
31,1.0357858532418807,68.11614466815809,"tensor(-0.2165, device='cuda:0')","tensor(0.6890, device='cuda:0')"
32,1.0428434337178867,67.85980611483967,"tensor(-0.2870, device='cuda:0')","tensor(0.6923, device='cuda:0')"
33,1.047016949703296,67.67803877703207,"tensor(-0.2933, device='cuda:0')","tensor(0.6830, device='cuda:0')"
34,1.0464370044923963,67.59414615958241,"tensor(-0.1421, device='cuda:0')","tensor(0.6743, device='cuda:0')"
35,1.0485603807582742,67.60346756152126,"tensor(-0.1840, device='cuda:0')","tensor(0.6626, device='cuda:0')"
36,1.0568355109010423,67.48695003728561,"tensor(-0.1945, device='cuda:0')","tensor(0.6593, device='cuda:0')"
37,1.0664080111753373,67.41703952274422,"tensor(-0.0585, device='cuda:0')","tensor(0.6642, device='cuda:0')"
38,1.0598369657638527,67.59880686055183,"tensor(0.0676, device='cuda:0')","tensor(0.6763, device='cuda:0')"
39,1.0475236847996712,67.75727069351231,"tensor(0.0909, device='cuda:0')","tensor(0.6665, device='cuda:0')"
40,1.04321210210522,67.82718120805369,"tensor(-0.0338, device='cuda:0')","tensor(0.6530, device='cuda:0')"
41,1.049797973107724,67.62211036539895,"tensor(-0.1872, device='cuda:0')","tensor(0.6486, device='cuda:0')"
42,1.0603396250378518,67.55219985085756,"tensor(-0.0752, device='cuda:0')","tensor(0.6588, device='cuda:0')"
43,1.0763924985769249,67.3238255033557,"tensor(-0.0108, device='cuda:0')","tensor(0.6669, device='cuda:0')"
44,1.0839816264453388,67.09079045488441,"tensor(-0.1901, device='cuda:0')","tensor(0.6581, device='cuda:0')"
45,1.0785754683117073,67.10011185682326,"tensor(-0.2360, device='cuda:0')","tensor(0.6503, device='cuda:0')"
46,1.0700862274638243,67.22595078299776,"tensor(-0.0390, device='cuda:0')","tensor(0.6453, device='cuda:0')"
47,1.0555238807130427,67.4496644295302,"tensor(-0.2532, device='cuda:0')","tensor(0.6371, device='cuda:0')"
48,1.030991308568489,67.87844891871738,"tensor(-0.0718, device='cuda:0')","tensor(0.6296, device='cuda:0')"
49,1.0144233073861826,68.23266219239373,"tensor(-0.2024, device='cuda:0')","tensor(0.6412, device='cuda:0')"
50,1.008708502210322,68.22334079045488,"tensor(-0.1976, device='cuda:0')","tensor(0.6450, device='cuda:0')"
51,1.01337031239555,68.09284116331096,"tensor(-0.2322, device='cuda:0')","tensor(0.6341, device='cuda:0')"
52,1.0378458224946545,67.86912751677852,"tensor(-0.3439, device='cuda:0')","tensor(0.6233, device='cuda:0')"
53,1.0786659226176285,67.2865398956003,"tensor(-0.2450, device='cuda:0')","tensor(0.6161, device='cuda:0')"
54,1.1063396080973602,66.74589858314691,"tensor(-0.0056, device='cuda:0')","tensor(0.6289, device='cuda:0')"
55,1.100716333126738,66.96961222967934,"tensor(-0.1284, device='cuda:0')","tensor(0.6420, device='cuda:0')"
56,1.0712287298270635,67.53355704697987,"tensor(-0.1720, device='cuda:0')","tensor(0.6389, device='cuda:0')"
57,1.0422223476426942,68.0089485458613,"tensor(-0.0126, device='cuda:0')","tensor(0.6269, device='cuda:0')"
58,1.03878966417341,68.027591349739,"tensor(-0.0591, device='cuda:0')","tensor(0.6322, device='cuda:0')"
59,1.0424252686401208,67.86912751677852,"tensor(-0.0236, device='cuda:0')","tensor(0.6193, device='cuda:0')"
60,1.0554420236675512,67.47762863534676,"tensor(-0.1522, device='cuda:0')","tensor(0.6049, device='cuda:0')"
61,1.0728343985087814,67.10011185682326,"tensor(-0.1784, device='cuda:0')","tensor(0.6102, device='cuda:0')"
62,1.0838717065219368,66.75055928411633,"tensor(-0.3961, device='cuda:0')","tensor(0.6204, device='cuda:0')"
63,1.0682089479551429,67.26789709172259,"tensor(-0.3664, device='cuda:0')","tensor(0.6126, device='cuda:0')"
64,1.0528582675116402,67.56152125279642,"tensor(-0.2465, device='cuda:0')","tensor(0.5921, device='cuda:0')"
65,1.041695184118691,67.78523489932886,"tensor(0.0148, device='cuda:0')","tensor(0.5943, device='cuda:0')"
66,1.0454116827320485,67.9017524235645,"tensor(-0.2634, device='cuda:0')","tensor(0.6139, device='cuda:0')"
67,1.0526051070718538,67.71532438478748,"tensor(0.0913, device='cuda:0')","tensor(0.6123, device='cuda:0')"
68,1.067988677039033,67.38441461595824,"tensor(-0.0239, device='cuda:0')","tensor(0.5982, device='cuda:0')"
69,1.0581676816301686,67.3937360178971,"tensor(-0.0575, device='cuda:0')","tensor(0.6035, device='cuda:0')"
70,1.0558012803750378,67.54287844891871,"tensor(-0.2031, device='cuda:0')","tensor(0.5947, device='cuda:0')"
71,1.0674264416808175,67.48228933631619,"tensor(-0.1593, device='cuda:0')","tensor(0.5865, device='cuda:0')"
72,1.0643925799855165,67.3238255033557,"tensor(-0.2682, device='cuda:0')","tensor(0.6055, device='cuda:0')"
73,1.0722440649710951,67.24925428784489,"tensor(-0.1475, device='cuda:0')","tensor(0.5975, device='cuda:0')"
74,1.0671883090620948,67.31450410141686,"tensor(-0.0353, device='cuda:0')","tensor(0.5850, device='cuda:0')"
75,1.0577064576957906,67.48228933631619,"tensor(-0.1859, device='cuda:0')","tensor(0.5850, device='cuda:0')"
76,1.0406795452748026,68.01360924683073,"tensor(-0.0172, device='cuda:0')","tensor(0.5802, device='cuda:0')"
