Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,33.300667319986935,2.462095207756474,0,0
1,17.43431798030706,3.012681299731845,"tensor(2.5249, device='cuda:0')","tensor(0.9855, device='cuda:0')"
2,17.59764804703906,3.3698408660434542,"tensor(2.4011, device='cuda:0')","tensor(6.3680, device='cuda:0')"
3,20.336926594801437,2.9652642398363067,"tensor(2.3394, device='cuda:0')","tensor(7.8000, device='cuda:0')"
4,28.377432451350973,2.5156127902723493,"tensor(2.3091, device='cuda:0')","tensor(4.0224, device='cuda:0')"
5,33.77199122684213,2.421208312823659,"tensor(2.1326, device='cuda:0')","tensor(3.9790, device='cuda:0')"
6,35.125297494050116,2.4134260302498225,"tensor(1.8753, device='cuda:0')","tensor(3.5298, device='cuda:0')"
7,33.52932941341173,2.511806809121654,"tensor(2.0608, device='cuda:0')","tensor(2.8771, device='cuda:0')"
8,31.38737225255495,2.5559454847659384,"tensor(2.0411, device='cuda:0')","tensor(2.8770, device='cuda:0')"
9,28.76942461150777,2.509107981764135,"tensor(2.0671, device='cuda:0')","tensor(2.8137, device='cuda:0')"
10,25.866815997013394,2.493925966322422,"tensor(1.8876, device='cuda:0')","tensor(2.5026, device='cuda:0')"
11,23.561528769424612,2.528352894953319,"tensor(1.7877, device='cuda:0')","tensor(2.3585, device='cuda:0')"
12,22.282887675579822,2.567976181705793,"tensor(1.7823, device='cuda:0')","tensor(2.3931, device='cuda:0')"
13,22.147557048859024,2.603756584227085,"tensor(1.5533, device='cuda:0')","tensor(2.3550, device='cuda:0')"
14,22.142890475523824,2.6683079540019943,"tensor(1.4769, device='cuda:0')","tensor(2.2292, device='cuda:0')"
15,22.22222222222222,2.757157019206456,"tensor(1.5450, device='cuda:0')","tensor(2.1520, device='cuda:0')"
16,22.67021326240142,2.7769893581668534,"tensor(1.9127, device='cuda:0')","tensor(2.1500, device='cuda:0')"
17,23.67819310280461,2.7178923785686493,"tensor(1.4974, device='cuda:0')","tensor(2.1207, device='cuda:0')"
18,24.644173783191004,2.635402973563898,"tensor(1.2192, device='cuda:0')","tensor(2.0403, device='cuda:0')"
19,25.120164263381398,2.5880330109170506,"tensor(1.4732, device='cuda:0')","tensor(1.9897, device='cuda:0')"
20,25.3068271967894,2.572002725941794,"tensor(1.3744, device='cuda:0')","tensor(1.9837, device='cuda:0')"
21,25.498156703532597,2.5807211760963713,"tensor(1.2425, device='cuda:0')","tensor(1.9558, device='cuda:0')"
22,25.694152783610996,2.600843506909552,"tensor(1.1996, device='cuda:0')","tensor(1.8839, device='cuda:0')"
23,25.544822436884594,2.6191421644318673,"tensor(1.3636, device='cuda:0')","tensor(1.8170, device='cuda:0')"
24,25.941481170376594,2.600058988446281,"tensor(1.2057, device='cuda:0')","tensor(1.8058, device='cuda:0')"
25,26.422138223902188,2.5521140872013,"tensor(0.7956, device='cuda:0')","tensor(1.7968, device='cuda:0')"
26,26.632134023986186,2.507546623547872,"tensor(1.2017, device='cuda:0')","tensor(1.7580, device='cuda:0')"
27,26.49213682393019,2.5008486069384075,"tensor(1.2011, device='cuda:0')","tensor(1.7431, device='cuda:0')"
28,26.450137663913388,2.514775792048091,"tensor(0.7930, device='cuda:0')","tensor(1.7371, device='cuda:0')"
29,25.838816557002193,2.554624977565947,"tensor(0.9420, device='cuda:0')","tensor(1.6867, device='cuda:0')"
30,25.194829436744598,2.6089155759130205,"tensor(1.0102, device='cuda:0')","tensor(1.6566, device='cuda:0')"
31,24.947501049979,2.612656940306936,"tensor(1.0686, device='cuda:0')","tensor(1.6714, device='cuda:0')"
32,24.9988333566662,2.581462187426431,"tensor(1.2934, device='cuda:0')","tensor(1.6468, device='cuda:0')"
33,25.110831116710997,2.546528631022998,"tensor(0.8787, device='cuda:0')","tensor(1.5982, device='cuda:0')"
34,25.0361659433478,2.5343413047847294,"tensor(1.0717, device='cuda:0')","tensor(1.6158, device='cuda:0')"
35,24.807503849923002,2.5411000975540707,"tensor(0.7966, device='cuda:0')","tensor(1.6176, device='cuda:0')"
36,24.690839516543,2.576704822835468,"tensor(1.0227, device='cuda:0')","tensor(1.5752, device='cuda:0')"
37,24.01885295627421,2.6199317539022084,"tensor(0.7630, device='cuda:0')","tensor(1.5498, device='cuda:0')"
38,23.93952120957581,2.6368044451588677,"tensor(0.7527, device='cuda:0')","tensor(1.5532, device='cuda:0')"
39,23.920854916235008,2.634132153221539,"tensor(0.9060, device='cuda:0')","tensor(1.5344, device='cuda:0')"
40,24.471510569788606,2.612891048192978,"tensor(0.5913, device='cuda:0')","tensor(1.5361, device='cuda:0')"
41,24.322180223062205,2.5997797506196156,"tensor(0.8112, device='cuda:0')","tensor(1.5367, device='cuda:0')"
42,24.140183862989407,2.6195328008560907,"tensor(0.6556, device='cuda:0')","tensor(1.5194, device='cuda:0')"
43,23.81819030286061,2.6420277449346723,"tensor(0.9055, device='cuda:0')","tensor(1.4919, device='cuda:0')"
44,23.407531849363014,2.6557559285845076,"tensor(0.7484, device='cuda:0')","tensor(1.4863, device='cuda:0')"
45,23.328200102664614,2.654557140810149,"tensor(0.3668, device='cuda:0')","tensor(1.4731, device='cuda:0')"
46,23.580195062765412,2.6573788474003472,"tensor(0.4197, device='cuda:0')","tensor(1.4635, device='cuda:0')"
47,23.71552568948621,2.6516072757187343,"tensor(0.2732, device='cuda:0')","tensor(1.4627, device='cuda:0')"
48,23.77152456950861,2.657469478391466,"tensor(0.6020, device='cuda:0')","tensor(1.4437, device='cuda:0')"
49,23.64086051612301,2.6707788106231463,"tensor(0.4266, device='cuda:0')","tensor(1.4291, device='cuda:0')"
50,23.70619254281581,2.6708478948899677,"tensor(0.2122, device='cuda:0')","tensor(1.4212, device='cuda:0')"
51,23.906855196229408,2.6665961479856852,"tensor(0.4574, device='cuda:0')","tensor(1.4026, device='cuda:0')"
52,23.72952540949181,2.6628020717984153,"tensor(0.8036, device='cuda:0')","tensor(1.3989, device='cuda:0')"
53,24.326846796397405,2.656674310564995,"tensor(0.1646, device='cuda:0')","tensor(1.3891, device='cuda:0')"
54,25.0361659433478,2.629371944282736,"tensor(0.3097, device='cuda:0')","tensor(1.3736, device='cuda:0')"
55,25.124830836716598,2.614037803950764,"tensor(0.8160, device='cuda:0')","tensor(1.3746, device='cuda:0')"
56,24.7328386765598,2.612551293202809,"tensor(0.6515, device='cuda:0')","tensor(1.3554, device='cuda:0')"
57,24.093518129637406,2.6368047424725125,"tensor(0.6100, device='cuda:0')","tensor(1.3597, device='cuda:0')"
58,23.72019226282141,2.6698466489712396,"tensor(0.0564, device='cuda:0')","tensor(1.3437, device='cuda:0')"
