Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,0.9185676606638091,67.78758582037271,0,0
1,6.045190258927288,14.82882630423614,"tensor(0.3263, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,3.9825545626559427,39.00798654897016,"tensor(2.0779, device='cuda:0')","tensor(31.2815, device='cuda:0')"
3,1.6272490054723763,51.96394376722245,"tensor(2.8205, device='cuda:0')","tensor(26.1341, device='cuda:0')"
4,1.634409591023411,50.76362617346224,"tensor(1.3219, device='cuda:0')","tensor(7.9139, device='cuda:0')"
5,1.5384093808631103,52.90738405492504,"tensor(1.1292, device='cuda:0')","tensor(6.6655, device='cuda:0')"
6,1.4009861198386975,55.588249030871985,"tensor(1.3824, device='cuda:0')","tensor(5.7831, device='cuda:0')"
7,1.3060961182096176,57.44710662743449,"tensor(1.0524, device='cuda:0')","tensor(5.3395, device='cuda:0')"
8,1.2459169444406317,57.88146279949559,"tensor(0.9096, device='cuda:0')","tensor(4.9928, device='cuda:0')"
9,1.1952156190361296,58.10564663023679,"tensor(0.8552, device='cuda:0')","tensor(4.6131, device='cuda:0')"
10,1.1942348042059512,57.661949465228155,"tensor(0.8119, device='cuda:0')","tensor(4.4496, device='cuda:0')"
11,1.2258854749656858,57.367708187380316,"tensor(0.9430, device='cuda:0')","tensor(4.4577, device='cuda:0')"
12,1.3823702250208174,51.19331184904956,"tensor(0.6094, device='cuda:0')","tensor(4.2172, device='cuda:0')"
13,1.5716658543263162,43.07598897762832,"tensor(0.4665, device='cuda:0')","tensor(4.1353, device='cuda:0')"
14,1.6570646551748116,40.48386343468311,"tensor(0.6734, device='cuda:0')","tensor(3.9487, device='cuda:0')"
15,1.6242827813894976,40.348419036943625,"tensor(0.6714, device='cuda:0')","tensor(3.7324, device='cuda:0')"
16,1.4794114961155824,42.22595861940124,"tensor(0.5781, device='cuda:0')","tensor(3.5918, device='cuda:0')"
17,1.3328294727419103,46.116482182055954,"tensor(0.3187, device='cuda:0')","tensor(3.3926, device='cuda:0')"
18,1.2288532805229937,52.41231142870487,"tensor(0.3414, device='cuda:0')","tensor(3.2809, device='cuda:0')"
19,1.1433639448313486,58.37186492924198,"tensor(0.3140, device='cuda:0')","tensor(3.2895, device='cuda:0')"
20,1.102085364361604,60.76315912381486,"tensor(0.3049, device='cuda:0')","tensor(3.1390, device='cuda:0')"
21,1.1066831989834707,60.314791462332444,"tensor(0.3843, device='cuda:0')","tensor(2.9488, device='cuda:0')"
22,1.1316150329297496,59.128485357993554,"tensor(0.4476, device='cuda:0')","tensor(2.8487, device='cuda:0')"
23,1.157785484655982,58.1616925879221,"tensor(0.2313, device='cuda:0')","tensor(2.8363, device='cuda:0')"
24,1.1589751978005682,57.39573116622297,"tensor(0.5176, device='cuda:0')","tensor(2.8936, device='cuda:0')"
25,1.1539100234707196,57.00340946242586,"tensor(0.3017, device='cuda:0')","tensor(2.8091, device='cuda:0')"
26,1.129892896860838,58.49796833403391,"tensor(0.3214, device='cuda:0')","tensor(2.7321, device='cuda:0')"
27,1.1197395616521437,59.8337303255336,"tensor(0.2917, device='cuda:0')","tensor(2.6776, device='cuda:0')"
28,1.1317983723822094,59.94582224090421,"tensor(0.2403, device='cuda:0')","tensor(2.6223, device='cuda:0')"
29,1.1410081607422657,59.5721825230022,"tensor(0.0824, device='cuda:0')","tensor(2.5533, device='cuda:0')"
30,1.1445583083799906,59.053757414413155,"tensor(0.2692, device='cuda:0')","tensor(2.4583, device='cuda:0')"
31,1.150507446733259,58.57269627761431,"tensor(0.1996, device='cuda:0')","tensor(2.4096, device='cuda:0')"
32,1.1295702585152216,59.15183784036243,"tensor(0.1246, device='cuda:0')","tensor(2.4230, device='cuda:0')"
33,1.106912837142036,59.91779926206156,"tensor(0.3125, device='cuda:0')","tensor(2.3609, device='cuda:0')"
34,1.1215165857048262,59.92714025500911,"tensor(0.0458, device='cuda:0')","tensor(2.2790, device='cuda:0')"
35,1.1157368201585043,60.44556536359815,"tensor(0.2233, device='cuda:0')","tensor(2.2901, device='cuda:0')"
36,1.0935779888005484,61.0200364298725,"tensor(0.1248, device='cuda:0')","tensor(2.2431, device='cuda:0')"
37,1.0923936200283824,60.61837373312783,"tensor(0.3727, device='cuda:0')","tensor(2.1582, device='cuda:0')"
38,1.1045955525977271,59.969174723273085,"tensor(0.1767, device='cuda:0')","tensor(2.1259, device='cuda:0')"
39,1.1113198477597463,59.922469758535335,"tensor(0.3772, device='cuda:0')","tensor(2.1108, device='cuda:0')"
40,1.109085783007599,60.552986782494976,"tensor(0.0838, device='cuda:0')","tensor(2.0493, device='cuda:0')"
41,1.1167011590053637,60.94997898276587,"tensor(0.0499, device='cuda:0')","tensor(1.9834, device='cuda:0')"
42,1.085887818907698,61.43104011956471,"tensor(-0.0131, device='cuda:0')","tensor(1.9928, device='cuda:0')"
43,1.0580429746991111,61.44038111251226,"tensor(0.2419, device='cuda:0')","tensor(1.9337, device='cuda:0')"
44,1.0500064650106997,61.379664658353185,"tensor(0.2720, device='cuda:0')","tensor(1.8710, device='cuda:0')"
45,1.0405262449667567,61.84204380925692,"tensor(0.0882, device='cuda:0')","tensor(1.8705, device='cuda:0')"
46,1.051892787040699,62.30909345663444,"tensor(-0.0761, device='cuda:0')","tensor(1.8009, device='cuda:0')"
47,1.0696800620782942,62.519265797954326,"tensor(0.4694, device='cuda:0')","tensor(1.7576, device='cuda:0')"
48,1.0904767570041476,61.93545373873243,"tensor(0.1701, device='cuda:0')","tensor(1.7492, device='cuda:0')"
49,1.0945199195827757,61.54313203493531,"tensor(0.0409, device='cuda:0')","tensor(1.6937, device='cuda:0')"
50,1.0718430518394424,61.743963383307644,"tensor(0.2186, device='cuda:0')","tensor(1.6601, device='cuda:0')"
51,1.0592560360119456,62.024193171734154,"tensor(0.2115, device='cuda:0')","tensor(1.6483, device='cuda:0')"
52,1.05228097719096,62.32777544252954,"tensor(-0.0163, device='cuda:0')","tensor(1.6119, device='cuda:0')"
53,1.0523855083932478,62.30909345663444,"tensor(0.1102, device='cuda:0')","tensor(1.5975, device='cuda:0')"
54,1.0496683264417308,62.49124281911167,"tensor(0.0636, device='cuda:0')","tensor(1.5594, device='cuda:0')"
55,1.0551194605373202,62.42585586847882,"tensor(0.0552, device='cuda:0')","tensor(1.5085, device='cuda:0')"
56,1.0551716225842636,62.58932324506095,"tensor(-0.0063, device='cuda:0')","tensor(1.5103, device='cuda:0')"
57,1.0565425015631176,62.69674466395778,"tensor(-0.1022, device='cuda:0')","tensor(1.4718, device='cuda:0')"
58,1.060131162405014,62.66872168511513,"tensor(0.2725, device='cuda:0')","tensor(1.4301, device='cuda:0')"
59,1.047595768191275,62.836859558171035,"tensor(0.1155, device='cuda:0')","tensor(1.4334, device='cuda:0')"
60,1.0464142851886296,62.39316239316239,"tensor(0.2085, device='cuda:0')","tensor(1.4088, device='cuda:0')"
61,1.0518054345711356,62.12227359768343,"tensor(-0.1401, device='cuda:0')","tensor(1.4228, device='cuda:0')"
62,1.0515866778968346,62.09425061884078,"tensor(-0.0281, device='cuda:0')","tensor(1.3580, device='cuda:0')"
63,1.0349466630390711,62.892905515856334,"tensor(0.1226, device='cuda:0')","tensor(1.3626, device='cuda:0')"
64,1.0249374897352286,63.06104338891224,"tensor(0.4795, device='cuda:0')","tensor(1.3383, device='cuda:0')"
65,1.0307889429941064,62.650039699220024,"tensor(0.1972, device='cuda:0')","tensor(1.3263, device='cuda:0')"
66,1.046609326576193,62.31843444958199,"tensor(0.0378, device='cuda:0')","tensor(1.3126, device='cuda:0')"
67,1.0425284427723713,62.579982252113396,"tensor(0.0027, device='cuda:0')","tensor(1.2852, device='cuda:0')"
68,1.0395572699961209,62.77614310401196,"tensor(0.2191, device='cuda:0')","tensor(1.2743, device='cuda:0')"
69,1.0480351344283139,62.341786931950864,"tensor(0.0584, device='cuda:0')","tensor(1.2785, device='cuda:0')"
70,1.0442142159278904,62.43986735790015,"tensor(0.1041, device='cuda:0')","tensor(1.2378, device='cuda:0')"
71,1.030775680783249,62.83218906169726,"tensor(0.3859, device='cuda:0')","tensor(1.2446, device='cuda:0')"
72,1.02315878699578,62.98164494885806,"tensor(0.0527, device='cuda:0')","tensor(1.2479, device='cuda:0')"
73,1.0139966121032125,63.154453318387745,"tensor(-0.0486, device='cuda:0')","tensor(1.2124, device='cuda:0')"
74,1.0217054885412966,62.930269487646534,"tensor(0.2487, device='cuda:0')","tensor(1.1974, device='cuda:0')"
75,1.0372041059391839,62.341786931950864,"tensor(-0.0038, device='cuda:0')","tensor(1.2095, device='cuda:0')"
76,1.0581564748925822,61.9214422493111,"tensor(-0.0239, device='cuda:0')","tensor(1.1759, device='cuda:0')"
77,1.0613917784676665,61.8467143057307,"tensor(0.1097, device='cuda:0')","tensor(1.1596, device='cuda:0')"
78,1.059304485895804,61.59917799262062,"tensor(0.1682, device='cuda:0')","tensor(1.1585, device='cuda:0')"
79,1.0451905832049393,62.01018168231283,"tensor(-0.0580, device='cuda:0')","tensor(1.1406, device='cuda:0')"
80,1.0344424561730452,62.323104946055764,"tensor(0.0240, device='cuda:0')","tensor(1.1308, device='cuda:0')"
81,1.021977522898288,62.95362197001541,"tensor(0.0887, device='cuda:0')","tensor(1.1361, device='cuda:0')"
82,1.02269628493204,63.02367941712204,"tensor(-0.1100, device='cuda:0')","tensor(1.1136, device='cuda:0')"
83,1.0153250441487347,63.53276353276353,"tensor(0.0372, device='cuda:0')","tensor(1.1494, device='cuda:0')"
84,1.0061211044944467,63.85035729298024,"tensor(0.0514, device='cuda:0')","tensor(1.1371, device='cuda:0')"
85,1.0298479561294829,63.02834991359582,"tensor(0.1968, device='cuda:0')","tensor(1.0955, device='cuda:0')"
86,1.0257624405480565,63.26654523375835,"tensor(-0.1004, device='cuda:0')","tensor(1.1317, device='cuda:0')"
87,1.0244573550742297,63.37396665265518,"tensor(0.0690, device='cuda:0')","tensor(1.0979, device='cuda:0')"
88,1.054545019354139,62.509924805006776,"tensor(0.1635, device='cuda:0')","tensor(1.0748, device='cuda:0')"
89,1.0500436703718843,62.08023912941946,"tensor(-0.0080, device='cuda:0')","tensor(1.1167, device='cuda:0')"
90,1.0547022223472595,61.60384848909439,"tensor(-0.0480, device='cuda:0')","tensor(1.0578, device='cuda:0')"
91,1.0713287130707787,61.23954976413993,"tensor(-0.0360, device='cuda:0')","tensor(1.0946, device='cuda:0')"
92,1.0248088914723623,62.95362197001541,"tensor(0.1326, device='cuda:0')","tensor(1.1385, device='cuda:0')"
93,1.0119841456235874,63.58880949044883,"tensor(-0.0207, device='cuda:0')","tensor(1.0429, device='cuda:0')"
94,1.0286581324679511,63.35528466676008,"tensor(-0.0006, device='cuda:0')","tensor(1.1448, device='cuda:0')"
95,1.022320678280223,63.18714679370417,"tensor(0.0433, device='cuda:0')","tensor(1.1826, device='cuda:0')"
96,1.0655548017294634,62.12227359768343,"tensor(0.1156, device='cuda:0')","tensor(1.0111, device='cuda:0')"
97,1.0826089337822937,61.14146933819065,"tensor(0.2258, device='cuda:0')","tensor(1.1779, device='cuda:0')"
98,1.0638962730410553,61.473074587828684,"tensor(0.1786, device='cuda:0')","tensor(1.1551, device='cuda:0')"
99,1.0261591452040844,62.78081360048573,"tensor(-0.0991, device='cuda:0')","tensor(1.0442, device='cuda:0')"
100,0.9966922785554614,63.88772126477045,"tensor(0.0742, device='cuda:0')","tensor(1.1131, device='cuda:0')"
101,0.9904272339883304,64.02316566250992,"tensor(0.0448, device='cuda:0')","tensor(1.1226, device='cuda:0')"
102,0.9931783206051304,64.23800850030358,"tensor(0.2434, device='cuda:0')","tensor(1.0673, device='cuda:0')"
103,1.0207214928453876,63.509411050394654,"tensor(0.2664, device='cuda:0')","tensor(1.0511, device='cuda:0')"
104,1.0682725689950443,62.10826210826211,"tensor(0.0224, device='cuda:0')","tensor(1.1166, device='cuda:0')"
105,1.0781470459131968,61.58516650319929,"tensor(0.0317, device='cuda:0')","tensor(1.0673, device='cuda:0')"
106,1.039716174382539,62.239036009527815,"tensor(0.1113, device='cuda:0')","tensor(1.0414, device='cuda:0')"
107,1.0242427846505529,62.72943813927421,"tensor(-0.0154, device='cuda:0')","tensor(1.0367, device='cuda:0')"
