Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.5477682451407115,51.120011176826715,0,0
1,4.354078543682893,32.74810226796442,"tensor(0.0017, device='cuda:0')","tensor(0.8174, device='cuda:0')"
2,2.3405864229869273,38.45294090252876,"tensor(0.0705, device='cuda:0')","tensor(17.6428, device='cuda:0')"
3,2.1573879919236614,43.063381921482794,"tensor(0.0205, device='cuda:0')","tensor(5.5406, device='cuda:0')"
4,2.022343880363873,44.13915149257207,"tensor(0.0162, device='cuda:0')","tensor(4.2233, device='cuda:0')"
5,1.89004178664514,43.94821403623155,"tensor(0.0132, device='cuda:0')","tensor(3.2717, device='cuda:0')"
6,1.879377711209513,41.82461696083454,"tensor(0.0091, device='cuda:0')","tensor(2.8617, device='cuda:0')"
7,1.853261181995982,41.04689610208168,"tensor(0.0119, device='cuda:0')","tensor(3.0575, device='cuda:0')"
8,1.7610988952219486,41.810645927443765,"tensor(0.0166, device='cuda:0')","tensor(3.1758, device='cuda:0')"
9,1.6477854484248728,42.99352675452894,"tensor(0.0171, device='cuda:0')","tensor(3.0057, device='cuda:0')"
10,1.5638670639267989,43.94355702510129,"tensor(0.0134, device='cuda:0')","tensor(2.7242, device='cuda:0')"
11,1.525340222354446,44.65142271690029,"tensor(0.0131, device='cuda:0')","tensor(2.4955, device='cuda:0')"
12,1.5212056386683668,44.92618637358543,"tensor(0.0142, device='cuda:0')","tensor(2.3423, device='cuda:0')"
13,1.5384582309495836,44.8330461509803,"tensor(0.0134, device='cuda:0')","tensor(2.2187, device='cuda:0')"
14,1.5606157939348901,44.283518837610025,"tensor(0.0130, device='cuda:0')","tensor(2.1215, device='cuda:0')"
15,1.5819870146612327,43.347459600428444,"tensor(0.0149, device='cuda:0')","tensor(2.0467, device='cuda:0')"
16,1.5987664056675774,42.206491873515574,"tensor(0.0139, device='cuda:0')","tensor(1.9995, device='cuda:0')"
17,1.6085576468280383,40.72556233409398,"tensor(0.0161, device='cuda:0')","tensor(1.9654, device='cuda:0')"
18,1.6053074672818184,40.50668281097192,"tensor(0.0144, device='cuda:0')","tensor(1.9385, device='cuda:0')"
19,1.5933649986982346,40.45079867740884,"tensor(0.0150, device='cuda:0')","tensor(1.9060, device='cuda:0')"
20,1.5772049125461352,41.195920458249894,"tensor(0.0147, device='cuda:0')","tensor(1.8765, device='cuda:0')"
21,1.5579015871598607,42.206491873515574,"tensor(0.0154, device='cuda:0')","tensor(1.8519, device='cuda:0')"
22,1.536283378977151,43.333488567037676,"tensor(0.0167, device='cuda:0')","tensor(1.8209, device='cuda:0')"
23,1.5182221006779444,44.04135425883668,"tensor(0.0154, device='cuda:0')","tensor(1.7769, device='cuda:0')"
24,1.5065840823309762,44.64210869463978,"tensor(0.0157, device='cuda:0')","tensor(1.7209, device='cuda:0')"
25,1.50220140956697,45.28477623061519,"tensor(0.0148, device='cuda:0')","tensor(1.6637, device='cuda:0')"
26,1.5063598170166923,45.624738043123926,"tensor(0.0149, device='cuda:0')","tensor(1.6120, device='cuda:0')"
27,1.5162862177406038,45.9274437665906,"tensor(0.0138, device='cuda:0')","tensor(1.5803, device='cuda:0')"
28,1.5269315716411387,45.93675778885112,"tensor(0.0129, device='cuda:0')","tensor(1.5628, device='cuda:0')"
29,1.5310618632606097,46.020583989195735,"tensor(0.0138, device='cuda:0')","tensor(1.5519, device='cuda:0')"
30,1.5312720177074273,46.011269966935224,"tensor(0.0131, device='cuda:0')","tensor(1.5337, device='cuda:0')"
31,1.5254100660483043,46.020583989195735,"tensor(0.0119, device='cuda:0')","tensor(1.4992, device='cuda:0')"
32,1.5216857106203125,46.365202812834724,"tensor(0.0133, device='cuda:0')","tensor(1.4612, device='cuda:0')"
33,1.518466282813322,46.3139756904019,"tensor(0.0121, device='cuda:0')","tensor(1.4294, device='cuda:0')"
34,1.5159772625636487,46.37917384622549,"tensor(0.0128, device='cuda:0')","tensor(1.4051, device='cuda:0')"
35,1.515078875990141,46.467657057700364,"tensor(0.0138, device='cuda:0')","tensor(1.3819, device='cuda:0')"
36,1.5183298834377812,46.44902901317934,"tensor(0.0118, device='cuda:0')","tensor(1.3543, device='cuda:0')"
37,1.5271570822667508,46.374516835095235,"tensor(0.0113, device='cuda:0')","tensor(1.3288, device='cuda:0')"
38,1.537199781231937,46.043869044847014,"tensor(0.0098, device='cuda:0')","tensor(1.3127, device='cuda:0')"
39,1.54688261449337,45.666651143296235,"tensor(0.0112, device='cuda:0')","tensor(1.2964, device='cuda:0')"
40,1.5557341181806155,45.25683416383365,"tensor(0.0105, device='cuda:0')","tensor(1.2788, device='cuda:0')"
41,1.5623644709232307,45.061239696362875,"tensor(0.0095, device='cuda:0')","tensor(1.2628, device='cuda:0')"
42,1.567796243088586,44.921529362455175,"tensor(0.0099, device='cuda:0')","tensor(1.2434, device='cuda:0')"
43,1.569371388249454,44.972756484888,"tensor(0.0102, device='cuda:0')","tensor(1.2255, device='cuda:0')"
44,1.568727079601515,45.26614818609416,"tensor(0.0105, device='cuda:0')","tensor(1.2062, device='cuda:0')"
45,1.5661500089225315,45.61542402086341,"tensor(0.0097, device='cuda:0')","tensor(1.1832, device='cuda:0')"
46,1.5643512404390745,46.043869044847014,"tensor(0.0100, device='cuda:0')","tensor(1.1637, device='cuda:0')"
47,1.5624468156269617,46.40711591300703,"tensor(0.0098, device='cuda:0')","tensor(1.1458, device='cuda:0')"
48,1.5613171472435905,46.7005076142132,"tensor(0.0100, device='cuda:0')","tensor(1.1286, device='cuda:0')"
49,1.5607971687402045,47.00787034881014,"tensor(0.0093, device='cuda:0')","tensor(1.1153, device='cuda:0')"
50,1.5607639929013593,47.20812182741117,"tensor(0.0089, device='cuda:0')","tensor(1.0995, device='cuda:0')"
