Adaption Step,loss,intra_session_acc,statistical_loss,der_loss
0,1.970752429394495,52.07175223057878,0,0
1,8.011383502788487,15.891997944597561,"tensor(0.0014, device='cuda:0')","tensor(0.6435, device='cuda:0')"
2,2.575999246111938,43.186808053440465,"tensor(0.0097, device='cuda:0')","tensor(35.3132, device='cuda:0')"
3,1.7864625975489616,49.465128229083945,"tensor(0.0032, device='cuda:0')","tensor(4.4336, device='cuda:0')"
4,1.8632704143722851,49.23623113934694,"tensor(0.0024, device='cuda:0')","tensor(4.9075, device='cuda:0')"
5,1.97165176077258,47.180828700892235,"tensor(0.0026, device='cuda:0')","tensor(5.6512, device='cuda:0')"
6,2.196202301908107,44.75638809735133,"tensor(0.0025, device='cuda:0')","tensor(5.2615, device='cuda:0')"
7,2.550149424533759,42.71967113560985,"tensor(0.0057, device='cuda:0')","tensor(4.2243, device='cuda:0')"
8,2.591080434576032,42.35997570888027,"tensor(0.0057, device='cuda:0')","tensor(4.6578, device='cuda:0')"
9,2.3339625474597727,44.09305367403186,"tensor(0.0058, device='cuda:0')","tensor(5.0706, device='cuda:0')"
10,2.0155850781039115,46.55953660017751,"tensor(0.0083, device='cuda:0')","tensor(4.7520, device='cuda:0')"
11,1.7909065499192192,48.92324940440043,"tensor(0.0078, device='cuda:0')","tensor(4.1940, device='cuda:0')"
12,1.6968798172615824,49.93226514691456,"tensor(0.0066, device='cuda:0')","tensor(3.8167, device='cuda:0')"
13,1.6934380126850945,49.675339842107725,"tensor(0.0063, device='cuda:0')","tensor(3.6744, device='cuda:0')"
14,1.7226027711516334,49.09141869481945,"tensor(0.0063, device='cuda:0')","tensor(3.6383, device='cuda:0')"
15,1.751177586260296,48.94193488111365,"tensor(0.0046, device='cuda:0')","tensor(3.5507, device='cuda:0')"
16,1.7839859734688486,48.66632409959359,"tensor(0.0058, device='cuda:0')","tensor(3.3495, device='cuda:0')"
17,1.8428781238340197,48.09641705984024,"tensor(0.0058, device='cuda:0')","tensor(3.1285, device='cuda:0')"
18,1.9363938669363658,45.09272667818938,"tensor(0.0059, device='cuda:0')","tensor(2.9480, device='cuda:0')"
19,2.0514038967944326,36.389965899005,"tensor(0.0055, device='cuda:0')","tensor(2.8005, device='cuda:0')"
20,2.1678923308139755,33.70392862147896,"tensor(0.0054, device='cuda:0')","tensor(2.6591, device='cuda:0')"
21,2.255223670530887,32.9751950296632,"tensor(0.0054, device='cuda:0')","tensor(2.5478, device='cuda:0')"
22,2.2946504031618438,32.89578175363199,"tensor(0.0051, device='cuda:0')","tensor(2.4431, device='cuda:0')"
23,2.2818377032166435,33.904797496146124,"tensor(0.0044, device='cuda:0')","tensor(2.3406, device='cuda:0')"
24,2.2524704631595385,34.68491614892325,"tensor(0.0055, device='cuda:0')","tensor(2.2760, device='cuda:0')"
25,2.2445578270015263,35.14271032839725,"tensor(0.0036, device='cuda:0')","tensor(2.2695, device='cuda:0')"
26,2.273679245085943,34.71761573317139,"tensor(0.0042, device='cuda:0')","tensor(2.2150, device='cuda:0')"
27,2.309886532880011,34.32522072219368,"tensor(0.0050, device='cuda:0')","tensor(2.0930, device='cuda:0')"
28,2.296883936794031,34.45134769000794,"tensor(0.0044, device='cuda:0')","tensor(1.9929, device='cuda:0')"
29,2.2228704002641497,35.67991778390246,"tensor(0.0053, device='cuda:0')","tensor(1.9241, device='cuda:0')"
30,2.125674247741699,37.28686878123978,"tensor(0.0050, device='cuda:0')","tensor(1.8420, device='cuda:0')"
31,2.3309186505419865,33.713271359835566,"tensor(0.0035, device='cuda:0')","tensor(1.7947, device='cuda:0')"
32,2.399506532010578,32.39594525155323,"tensor(0.0063, device='cuda:0')","tensor(2.1103, device='cuda:0')"
33,2.3636573801438012,32.255804176204045,"tensor(0.0058, device='cuda:0')","tensor(2.4423, device='cuda:0')"
34,2.2790709428844,32.69491287896482,"tensor(0.0049, device='cuda:0')","tensor(2.3983, device='cuda:0')"
35,2.197655886411667,33.18540664268697,"tensor(0.0057, device='cuda:0')","tensor(2.1830, device='cuda:0')"
36,2.137948999447482,33.77399915915355,"tensor(0.0053, device='cuda:0')","tensor(2.0904, device='cuda:0')"
37,2.0848446938963163,34.65221656467511,"tensor(0.0040, device='cuda:0')","tensor(2.1660, device='cuda:0')"
38,2.0480671897530556,35.698603260615684,"tensor(0.0042, device='cuda:0')","tensor(2.2460, device='cuda:0')"
39,2.0637661871455966,36.06297005652357,"tensor(0.0049, device='cuda:0')","tensor(2.2001, device='cuda:0')"
40,2.141945646987075,35.67524641472416,"tensor(0.0057, device='cuda:0')","tensor(2.0478, device='cuda:0')"
41,2.2516507204799425,34.69893025645817,"tensor(0.0049, device='cuda:0')","tensor(1.9174, device='cuda:0')"
42,2.355324416997887,33.82071285093661,"tensor(0.0041, device='cuda:0')","tensor(1.9123, device='cuda:0')"
43,2.4131806077701703,33.339561825571074,"tensor(0.0052, device='cuda:0')","tensor(1.9750, device='cuda:0')"
44,2.406175714518343,33.80669874340169,"tensor(0.0060, device='cuda:0')","tensor(1.9712, device='cuda:0')"
45,2.3499067482494174,34.960526930443315,"tensor(0.0052, device='cuda:0')","tensor(1.8471, device='cuda:0')"
46,2.2863546262184777,36.324566730508714,"tensor(0.0038, device='cuda:0')","tensor(1.7092, device='cuda:0')"
47,2.2481765715139255,37.174755920960436,"tensor(0.0047, device='cuda:0')","tensor(1.6812, device='cuda:0')"
48,2.2601067789253735,37.184098659317044,"tensor(0.0042, device='cuda:0')","tensor(1.7332, device='cuda:0')"
49,2.3129210408244814,36.698276264773206,"tensor(0.0042, device='cuda:0')","tensor(1.7094, device='cuda:0')"
50,2.3805423446354412,35.99289951884897,"tensor(0.0036, device='cuda:0')","tensor(1.6117, device='cuda:0')"
51,2.4276484506470815,35.642546830476014,"tensor(0.0047, device='cuda:0')","tensor(1.5555, device='cuda:0')"
52,2.4304145319121226,36.34325220722194,"tensor(0.0041, device='cuda:0')","tensor(1.5406, device='cuda:0')"
53,2.3877381774641218,37.632550100434436,"tensor(0.0045, device='cuda:0')","tensor(1.5291, device='cuda:0')"
54,2.3204583110553876,39.78137992245527,"tensor(0.0048, device='cuda:0')","tensor(1.4939, device='cuda:0')"
55,2.2529788709112575,41.846125099266594,"tensor(0.0052, device='cuda:0')","tensor(1.4506, device='cuda:0')"
56,2.2092939487525394,43.733358247302284,"tensor(0.0036, device='cuda:0')","tensor(1.4265, device='cuda:0')"
57,2.1823839775863147,44.92922875694866,"tensor(0.0034, device='cuda:0')","tensor(1.4224, device='cuda:0')"
58,2.17143106673445,45.485121689167094,"tensor(0.0036, device='cuda:0')","tensor(1.4047, device='cuda:0')"
59,2.165955878084614,45.76540383986546,"tensor(0.0035, device='cuda:0')","tensor(1.3649, device='cuda:0')"
60,2.166217361177717,46.03167188302891,"tensor(0.0040, device='cuda:0')","tensor(1.3289, device='cuda:0')"
61,2.162003410359224,46.288597187835755,"tensor(0.0034, device='cuda:0')","tensor(1.3159, device='cuda:0')"
62,2.153619638511113,46.58756481524735,"tensor(0.0042, device='cuda:0')","tensor(1.3010, device='cuda:0')"
63,2.1401476558475268,46.93791750362031,"tensor(0.0039, device='cuda:0')","tensor(1.2690, device='cuda:0')"
64,2.1321312189102173,47.017330779651516,"tensor(0.0030, device='cuda:0')","tensor(1.2412, device='cuda:0')"
65,2.129659917382967,47.0079880412949,"tensor(0.0043, device='cuda:0')","tensor(1.2293, device='cuda:0')"
66,2.1302620729520205,47.06871584061288,"tensor(0.0036, device='cuda:0')","tensor(1.2197, device='cuda:0')"
67,2.1393173972056028,47.120100901574254,"tensor(0.0043, device='cuda:0')","tensor(1.1898, device='cuda:0')"
68,2.1524830336372056,46.99397393375998,"tensor(0.0033, device='cuda:0')","tensor(1.1604, device='cuda:0')"
69,2.1633423314917657,46.96127434951184,"tensor(0.0036, device='cuda:0')","tensor(1.1521, device='cuda:0')"
70,2.163124171041307,47.120100901574254,"tensor(0.0042, device='cuda:0')","tensor(1.1419, device='cuda:0')"
71,2.152561396005608,47.166814593357316,"tensor(0.0039, device='cuda:0')","tensor(1.1243, device='cuda:0')"
72,2.1361378601619174,47.442425374877374,"tensor(0.0043, device='cuda:0')","tensor(1.1045, device='cuda:0')"
73,2.122868480072135,47.54052412762181,"tensor(0.0034, device='cuda:0')","tensor(1.0903, device='cuda:0')"
74,2.117566244942801,47.40038305227262,"tensor(0.0030, device='cuda:0')","tensor(1.0828, device='cuda:0')"
75,2.127350440692334,47.101415424861024,"tensor(0.0030, device='cuda:0')","tensor(1.0702, device='cuda:0')"
76,2.140864760393188,46.68099219881347,"tensor(0.0033, device='cuda:0')","tensor(1.0521, device='cuda:0')"
77,2.1507224894705272,46.20918391180455,"tensor(0.0035, device='cuda:0')","tensor(1.0406, device='cuda:0')"
78,2.149599032387847,46.097071051525205,"tensor(0.0034, device='cuda:0')","tensor(1.0285, device='cuda:0')"
79,2.1423910288583663,46.38669594058018,"tensor(0.0034, device='cuda:0')","tensor(1.0144, device='cuda:0')"
80,2.1380496344396045,46.59223618442566,"tensor(0.0030, device='cuda:0')","tensor(1.0028, device='cuda:0')"
81,2.1430147662758827,46.68566356799178,"tensor(0.0035, device='cuda:0')","tensor(0.9999, device='cuda:0')"
82,2.1602802365308715,46.55953660017751,"tensor(0.0033, device='cuda:0')","tensor(0.9887, device='cuda:0')"
83,2.177593341185933,46.12977063577335,"tensor(0.0027, device='cuda:0')","tensor(0.9724, device='cuda:0')"
84,2.18245385125989,45.93824449946279,"tensor(0.0031, device='cuda:0')","tensor(0.9610, device='cuda:0')"
85,2.1704695675344694,46.167141589199794,"tensor(0.0031, device='cuda:0')","tensor(0.9543, device='cuda:0')"
86,2.149717900724638,46.484794693324616,"tensor(0.0030, device='cuda:0')","tensor(0.9446, device='cuda:0')"
87,2.1368543431162834,46.50348017003784,"tensor(0.0030, device='cuda:0')","tensor(0.9362, device='cuda:0')"
88,2.1398382009494874,46.433409632363244,"tensor(0.0030, device='cuda:0')","tensor(0.9299, device='cuda:0')"
89,2.1525019322122847,46.19516980426963,"tensor(0.0026, device='cuda:0')","tensor(0.9187, device='cuda:0')"
90,2.1583740657993724,46.20451254262625,"tensor(0.0031, device='cuda:0')","tensor(0.9090, device='cuda:0')"
91,2.153395789897158,46.51282290839445,"tensor(0.0039, device='cuda:0')","tensor(0.9033, device='cuda:0')"
92,2.1358689892859686,46.765076844022985,"tensor(0.0032, device='cuda:0')","tensor(0.8942, device='cuda:0')"
93,2.123514263935032,46.942588872798616,"tensor(0.0030, device='cuda:0')","tensor(0.8870, device='cuda:0')"
94,2.1191611751204444,47.045358994721354,"tensor(0.0035, device='cuda:0')","tensor(0.8812, device='cuda:0')"
95,2.118133154121183,47.12477227075256,"tensor(0.0032, device='cuda:0')","tensor(0.8727, device='cuda:0')"
96,2.117623928402151,47.19484280842715,"tensor(0.0024, device='cuda:0')","tensor(0.8646, device='cuda:0')"
97,2.1148180904842557,47.20418554678376,"tensor(0.0032, device='cuda:0')","tensor(0.8569, device='cuda:0')"
98,2.10950322289552,47.27425608445836,"tensor(0.0031, device='cuda:0')","tensor(0.8504, device='cuda:0')"
99,2.109319910939251,47.250899238566824,"tensor(0.0025, device='cuda:0')","tensor(0.8451, device='cuda:0')"
100,2.1141606748458885,47.0827299481478,"tensor(0.0027, device='cuda:0')","tensor(0.8373, device='cuda:0')"
